Desc,ID,Size,Colors
Bov,H4912,0,"Red,  Green"
Dar,P5336,2," Yellow,  Red,  Green, Black"
Deh,F7804,2," Green, Black,  Yellow"
Det,F4478,0,"Green,  Red,  Black"
Dut,F2709,1," Black, Yellow"
Fes,J2948,2," Blue, Yellow,  Red"
Fik,K4149,2," Black, Red"
Goh,N6858,3," Red, Blue"
Hag,T4758,2," Green, Blue"
Hic,S4162,0," Blue, Yellow,  Green"
Huc,S3840,2," Green,  Black, Yellow"
Juc,N9050,2," Red, Blue,  Black"
Keg,K1919,1," Black,  Red,  Green, Blue"
Kid,M4124,3," Green, Blue,  Red"
Leg,F3006,1,"Red,  Black,  Blue,  Green"
Len,N3316,1,2
Luh,N5050,0,"Blue,  Yellow,  Red"
Moc,D6429,3," Black, Green"
Nef,G4058,2," Black, Green,  Blue,  Yellow"
Nif,M2228,2,"Yellow,  Blue"
Nup,D3028,2,1
Pav,H1756,2," Yellow, Red,  Black"
Pec,B2448,1,1
Rif,P8966,2,0
Sav,J7355,0,0
Sep,H5408,0,2
Teb,D6219,0," Blue, Black"
Viv,N5044,2,Black
Vof,D5368,0,"Blue,  Yellow,  Red"
Wum,N9551,1,0
