Desc,ID,Size,Colors
Huc,S3840,2, Green
Det,F4478,0,Green
Kid,M4124,3, Green
Luh,N5050,0,Blue
Juc,N9050,2, Red
Viv,N5044,2,Black
Leg,F3006,1,Red
Vof,D5368,0,Blue
Dar,P5336,2, Yellow
Nif,M2228,2,Yellow
Huc,S3840,2, Black
Huc,S3840,2,Yellow
Fik,K4149,2, Black
Fes,J2948,2, Blue
Dar,P5336,2, Red
Sav,J7355,0,0
Moc,D6429,3, Black
Leg,F3006,1, Black
Wum,N9551,1,0
Hag,T4758,2, Green
Pec,B2448,1,1
Nef,G4058,2, Black
Nef,G4058,2,Green
Hic,S4162,0, Blue
Goh,N6858,3, Red
Dut,F2709,1, Black
Bov,H4912,0,Red
Hic,S4162,0,Yellow
Moc,D6429,3,Green
Goh,N6858,3,Blue
Leg,F3006,1, Blue
Juc,N9050,2,Blue
Teb,D6219,0, Blue
Leg,F3006,1, Green
Teb,D6219,0,Black
Luh,N5050,0, Yellow
Pav,H1756,2, Yellow
Dar,P5336,2, Green
Pav,H1756,2,Red
Keg,K1919,1, Black
Sep,H5408,0,2
Hag,T4758,2,Blue
Pav,H1756,2, Black
Nup,D3028,2,1
Vof,D5368,0, Yellow
Nef,G4058,2, Blue
Det,F4478,0, Red
Luh,N5050,0, Red
Nif,M2228,2, Blue
Keg,K1919,1, Red
Fes,J2948,2,Yellow
Bov,H4912,0, Green
Kid,M4124,3,Blue
Dut,F2709,1,Yellow
Deh,F7804,2, Green
Hic,S4162,0, Green
Keg,K1919,1, Green
Deh,F7804,2,Black
Fes,J2948,2, Red
Fik,K4149,2,Red
Nef,G4058,2, Yellow
Kid,M4124,3, Red
Dar,P5336,2,Black
Len,N3316,1,2
Keg,K1919,1,Blue
Deh,F7804,2, Yellow
Det,F4478,0, Black
Vof,D5368,0, Red
Juc,N9050,2, Black
Rif,P8966,2,0
