ID,Size,Price,Colors
B2448,1,47.69,1
D3028,2,13.62,1
D5368,0,89.03,"Blue,  Red,  Yellow"
D6219,0,92.6, Blue
F2709,1,53.46, Black
F3006,1,10.15," Black,  Blue,  Green"
F4478,0,86.32," Black,  Red"
F7804,2,39.13,"Black,  Green"
G4058,2,16.85,"Green,  Blue,  Yellow,  Black"
H1756,2,30.42,"Red,  Yellow"
H4912,0,13.88,"Red,  Green"
H5408,0,46.42,2
J2948,2,55.84," Red,  Blue"
J7355,0,98.53,0
K1919,1,65.67," Green, Blue,  Red"
K4149,2,79.77,"Red,  Black"
M4124,3,35.4," Green, Blue,  Red"
N5044,2,32.05,Black
N5050,0,18.57," Red, Blue,  Yellow"
N6858,3,24.81, Red
N9050,2,82.26," Red, Blue"
N9551,1,56.75,0
P5336,2,94.3,"Black,  Green,  Yellow"
P8966,2,29.97,0
S3840,2,25.32,"Yellow,  Green"
S4162,0,32.66," Green,  Blue, Yellow"
T4758,2,33.37," Green, Blue"
