ID,Size,Price,Colors
J2948,2,55.84, Red
M4124,3,35.4, Green
H5408,0,46.42,2
N5050,0,18.57, Red
K4149,2,79.77,Red
K1919,1,65.67, Green
F7804,2,39.13,Black
H1756,2,30.42,Red
S3840,2,25.32,Yellow
G4058,2,16.85,Green
M4124,3,35.4,Blue
G4058,2,16.85, Blue
G4058,2,16.85, Yellow
P5336,2,94.3,Black
H4912,0,13.88,Red
S3840,2,25.32, Green
N5050,0,18.57,Blue
T4758,2,33.37, Green
P8966,2,29.97,0
F3006,1,10.15, Black
P5336,2,94.3, Green
N6858,3,24.81, Red
F3006,1,10.15, Blue
K4149,2,79.77, Black
M4124,3,35.4, Red
D5368,0,89.03,Blue
D3028,2,13.62,1
N5044,2,32.05,Black
D6219,0,92.6, Blue
D5368,0,89.03, Red
F4478,0,86.32, Black
S4162,0,32.66, Green
H1756,2,30.42, Yellow
N9551,1,56.75,0
J2948,2,55.84, Blue
H4912,0,13.88, Green
F7804,2,39.13, Green
N9050,2,82.26, Red
F4478,0,86.32, Red
K1919,1,65.67,Blue
F2709,1,53.46, Black
J7355,0,98.53,0
F3006,1,10.15, Green
G4058,2,16.85, Black
N9050,2,82.26,Blue
N5050,0,18.57, Yellow
K1919,1,65.67, Red
S4162,0,32.66, Blue
T4758,2,33.37,Blue
D5368,0,89.03, Yellow
P5336,2,94.3, Yellow
S4162,0,32.66,Yellow
B2448,1,47.69,1
