Desc,ID,Size,Price,Colors
Nef,G4058,2,16.85, Blue
Len,N3316,1,84.06,2
Juc,N9050,2,82.26,Blue
Hic,S4162,0,32.66, Green
Pav,H1756,2,30.42, Black
Kid,M4124,3,35.4,Blue
Moc,D6429,3,38.34, Black
Pec,B2448,1,47.69,1
Dar,P5336,2,94.3, Green
Bov,H4912,0,13.88, Green
Nef,G4058,2,16.85, Black
Dar,P5336,2,94.3, Red
Teb,D6219,0,92.6, Blue
Dar,P5336,2,94.3, Yellow
Leg,F3006,1,10.15, Green
Keg,K1919,1,65.67, Green
Deh,F7804,2,39.13, Yellow
Fik,K4149,2,79.77, Black
Hic,S4162,0,32.66,Yellow
Leg,F3006,1,10.15, Black
Luh,N5050,0,18.57, Yellow
Nif,M2228,2,22.27,Yellow
Fes,J2948,2,55.84, Red
Luh,N5050,0,18.57,Blue
Leg,F3006,1,10.15, Blue
Fes,J2948,2,55.84,Yellow
Wum,N9551,1,56.75,0
Goh,N6858,3,24.81,Blue
Keg,K1919,1,65.67, Red
Juc,N9050,2,82.26, Black
Goh,N6858,3,24.81, Red
Dut,F2709,1,53.46, Black
Luh,N5050,0,18.57, Red
Kid,M4124,3,35.4, Red
Vof,D5368,0,89.03, Yellow
Fik,K4149,2,79.77,Red
Keg,K1919,1,65.67,Blue
Sav,J7355,0,98.53,0
