Desc,Size,Price,Colors
Bov,0,13.88," Green, Red"
Dar,2,94.3," Red, Black,  Yellow"
Deh,2,39.13," Yellow,  Green, Black"
Det,0,86.32," Black,  Red, Green"
Dut,1,53.46,Yellow
Fes,2,55.84,"Yellow,  Red,  Blue"
Fik,2,79.77,"Red,  Black"
Goh,3,24.81," Red, Blue"
Hag,2,33.37," Green, Blue"
Hic,0,32.66," Blue, Yellow,  Green"
Huc,2,25.32," Green, Yellow,  Black"
Juc,2,82.26," Black,  Red, Blue"
Keg,1,65.67," Green,  Red, Blue"
Kid,3,35.4," Green, Blue,  Red"
Leg,1,10.15," Green, Red,  Blue,  Black"
Len,1,84.06,2
Luh,0,18.57,"Blue,  Yellow,  Red"
Moc,3,38.34," Black, Green"
Nef,2,16.85,"Green,  Yellow,  Blue"
Nif,2,22.27," Blue, Yellow"
Nup,2,13.62,1
Pav,2,30.42," Yellow,  Black, Red"
Pec,1,47.69,1
Rif,2,29.97,0
Sep,0,46.42,2
Teb,0,92.6," Blue, Black"
Viv,2,32.05,Black
Vof,0,89.03," Red,  Yellow, Blue"
Wum,1,56.75,0
