Desc,Size,Price,Colors
Leg,1,10.15,Red
Hic,0,32.66, Green
Pec,1,47.69,1
Hic,0,32.66,Yellow
Nif,2,22.27,Yellow
Hag,2,33.37,Blue
Keg,1,65.67, Black
Pav,2,30.42, Black
Keg,1,65.67,Blue
Fes,2,55.84, Blue
Dut,1,53.46, Black
Nef,2,16.85, Blue
Deh,2,39.13,Black
Keg,1,65.67, Red
Juc,2,82.26, Red
Fik,2,79.77,Red
Nef,2,16.85, Yellow
Fik,2,79.77, Black
Bov,0,13.88, Green
Goh,3,24.81,Blue
Nef,2,16.85,Green
Nef,2,16.85, Black
Hag,2,33.37, Green
Fes,2,55.84, Red
Wum,1,56.75,0
Det,0,86.32, Black
Dar,2,94.3, Red
Huc,2,25.32, Black
Fes,2,55.84,Yellow
Rif,2,29.97,0
Det,0,86.32,Green
Leg,1,10.15, Green
Vof,0,89.03, Yellow
Luh,0,18.57, Yellow
Pav,2,30.42, Yellow
Goh,3,24.81, Red
Dut,1,53.46,Yellow
Moc,3,38.34, Black
Huc,2,25.32, Green
Leg,1,10.15, Black
Luh,0,18.57, Red
Keg,1,65.67, Green
Juc,2,82.26, Black
Teb,0,92.6,Black
Juc,2,82.26,Blue
Bov,0,13.88,Red
Teb,0,92.6, Blue
Vof,0,89.03, Red
Leg,1,10.15, Blue
Pav,2,30.42,Red
Len,1,84.06,2
Dar,2,94.3, Green
Viv,2,32.05,Black
Hic,0,32.66, Blue
Kid,3,35.4,Blue
Kid,3,35.4, Red
Sep,0,46.42,2
Det,0,86.32, Red
Moc,3,38.34,Green
Nup,2,13.62,1
Dar,2,94.3,Black
Dar,2,94.3, Yellow
Huc,2,25.32,Yellow
Kid,3,35.4, Green
Deh,2,39.13, Yellow
Nif,2,22.27, Blue
Deh,2,39.13, Green
