Column1,Heat,Drought,Shade,Flood,"Low
Fert","Growth
Habit",Median,+/-,Aliases
Annual ryegrass,1,1,3,3,1,0,6.5,0.5,Italian ryegrass
Barley,0,3,2,1,3,0,7.25,1.25,NaN
Berseem clover,3,2,3,2,2,1,6.6,0.4,"Bigbee,  multicut"
Buckwheat,1,0,1,1,1,1,6.0,1.0,NaN
Cereal rye,1,3,3,2,4,0,6.0,1.0,winter or grain rye
Cowpeas,2,3,2,1,4,2,6.0,0.5,"crowder peas,  southern peas"
Crimson clover,1,1,3,1,2,0,6.75,1.25,NaN
Field peas,3,2,1,1,1,2,6.5,0.5," black peas, winter peas"
Hairy vetch,1,2,2,1,1,2,6.5,1.0,winter vetch
Medics,2,3,3,1,2,3,6.5,0.5,NaN
Mustards,1,3,2,1,1,0,6.5,1.0," yellow,  white,  oriental, brown"
Oats,1,1,1,2,2,0,6.0,1.5,spring oats
Radish,2,1,2,1,2,0,6.75,0.75,"oilseed,  forage,  Daikon"
Rapeseed,3,2,2,1,1,0,6.75,1.25,"rape,  canola"
Red clover,1,1,3,2,1,0,6.6,0.4,NaN
Sorghum–sudangrass,2,4,2,2,2,0,6.5,0.5,Sudax
Subterranean clover,1,3,3,2,4,3,6.25,0.75,subclover
Sweetclovers,0,4,1,1,4,0,7.0,0.25,NaN
Wheat,2,2,2,0,2,0,6.75,0.75,NaN
White clover,1,2,3,3,2,3,6.5,0.5,white dutch ladino
Woollypod vetch,3,3,2,2,3,Semi-prostrate,7.0,1.0,Lana
