A,B
Date1,Territory1
Date10,"Territory56, Territory52, Territory51, Territory53, Territory55"
Date11,"Territory62, Territory58, Territory61, Territory63, Territory60, Territory57, Territory64, Territory59"
Date12,"Territory67, Territory69, Territory70, Territory68, Territory65, Territory66"
Date13,"Territory71, Territory73, Territory72"
Date14,"Territory76, Territory79, Territory77, Territory78, Territory74, Territory75"
Date15,"Territory81, Territory83, Territory82, Territory86, Territory80, Territory84, Territory85"
Date16,"Territory88, Territory87, Territory92, Territory93, Territory91, Territory90, Territory94"
Date17,"Territory96, Territory97, Territory95, Territory98"
Date18,"Territory102, Territory104, Territory103, Territory99, Territory105, Territory100, Territory106, Territory101"
Date19,"Territory107, Territory108, Territory109"
Date2,"Territory3, Territory8, Territory4, Territory9, Territory5, Territory7, Territory6"
Date20,Territory110
Date3,"Territory11, Territory12, Territory13"
Date4,"Territory15, Territory14, Territory17"
Date5,"Territory18, Territory19"
Date6,"Territory24, Territory26, Territory23, Territory20, Territory22, Territory21, Territory27, Territory25"
Date7,"Territory31, Territory33, Territory35, Territory36"
Date8,"Territory39, Territory37, Territory41, Territory40, Territory38"
Date9,"Territory50, Territory42, Territory45, Territory47, Territory48, Territory44, Territory46, Territory43"
