A,B
Date8,Territory38
Date4,Territory15
Date17,Territory96
Date1,Territory1
Date10,Territory53
Date10,Territory51
Date11,Territory63
Date15,Territory83
Date10,Territory54
Date6,Territory26
Date16,Territory94
Date4,Territory17
Date13,Territory72
Date20,Territory110
Date4,Territory14
Date15,Territory86
Date9,Territory47
Date11,Territory64
Date18,Territory103
Date6,Territory24
Date19,Territory108
Date7,Territory34
Date2,Territory9
Date7,Territory36
Date14,Territory78
Date18,Territory101
Date14,Territory75
Date9,Territory49
Date16,Territory90
Date7,Territory35
Date7,Territory31
Date2,Territory10
Date16,Territory93
Date10,Territory55
Date9,Territory50
Date15,Territory82
Date13,Territory73
Date7,Territory29
Date12,Territory69
Date15,Territory84
Date2,Territory6
Date9,Territory48
Date2,Territory5
Date2,Territory4
Date2,Territory7
Date9,Territory46
Date12,Territory65
Date19,Territory109
Date4,Territory16
Date9,Territory45
Date18,Territory106
Date7,Territory30
Date16,Territory88
Date3,Territory11
Date10,Territory52
Date16,Territory87
Date3,Territory12
Date8,Territory39
Date8,Territory37
Date18,Territory104
Date12,Territory67
Date10,Territory56
Date17,Territory95
Date6,Territory25
Date12,Territory68
Date11,Territory62
Date11,Territory58
Date15,Territory81
Date18,Territory105
Date18,Territory100
Date14,Territory77
Date8,Territory40
Date7,Territory33
Date11,Territory57
Date13,Territory71
Date6,Territory21
Date2,Territory3
Date11,Territory59
Date9,Territory44
