# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP.,EXP Y/N,Score,Open BACK ODDS,SUCCESS,WON B/L,Goals (minutes)
0,4,41733,UJPEST,0,FERENCVAROS,0,3.43,0,1,1.9,0,0,"23, 4, 87"
0,5,41733,CRETEIL,0,LAVAL,0,3.14,0,Apr-00,2.06,0,0,"34, 19, 5, 3"
0,6,41733,WILLEM II,0,0,0,3.02,0,3,1.56,0,0,"90, 3, 68"
0,8,41733,HEIST,0,WESTERLO,0,3.47,0,5,1.78,0,0,"13, 79, 89"
0,11,41734,AUGSBURG,0,1,0,3.13,1,4,1.7,3,1,31
0,12,41734,BREMEN,0,2,0,3.15,1,7,1.6,2,1,"33, 15"
0,13,41734,VFB STUTTGART,0,FREIBURG,0,3.21,1,8,1.74,3,1,"69, 89"
0,14,41734,COVENTRY,0,MK DONS,0,3.57,0,1,1.95,2,0,"57, 39, 66"
0,15,41734,2,0,ROTHERHAM,0,3.29,0,4-Mar,1.8,2,0,"30, 84, 57, 86, 69, 93"
0,16,41734,ST. MIRREN,0,MOTHERWELL,0,3.01,0,9,1.72,2,0,"86, 87, 17, 42, 27"
0,17,41734,FALKIRK,0,COWDENBEATH,0,3.17,0,10,1.68,2,0,"28, 40, 54, 16, 48"
0,18,41734,PSG,0,REIMS,0,3.41,0,11,1.69,2,0,"48, 89, 43"
0,19,41734,OLIVEIRENSE,0,BENFICA B,0,4.3,0,1,1.77,2,0,"26, 34, 52"
0,20,41734,STURM GRAZ,0,ADMIRA,0,3.41,1,7,1.76,2,1,"43, 65"
0,21,41734,ZADAR,0,DINAMO ZAGREB,0,3.11,0,1,1.79,2,0,"38, 4, 70"
0,22,41734,DEBRECEN,0,GYOR,0,3.07,0,0,1.73,2,0,"22, 11, 25"
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,3.08,0,1-Jun,1.89,2,0,"89, 78, 53, 24, 7, 78, 13"
0,24,41734,FERREIRA,0,SPORTING,0,3.19,0,12,2.06,2,0,"66, 54, 33, 14"
0,25,41735,BASEL,0,3,0,3.03,1,13,1.69,3,1,0
0,26,41735,JIHLAVA,0,MLADA BOLESLAV,0,3.1,0,6,2.01,2,0,"61, 64, 33"
0,27,41735,WEST HAM,0,LIVERPOOL,0,3.42,0,1,1.7,2,0,"44, 47, 71"
0,28,41735,PANATHINAIKOS,0,LEVADIAKOS,0,3.33,0,3,1.49,2,0,"39, 41, 77, 63"
0,29,41735,PARMA,0,NAPOLI,0,3.08,1,4,1.92,3,1,55
0,46,41741,NOTTS COUNTY,0,8,0,3.37,0,2-Apr,1.67,0,0,"27, 85, 13, 34, 25, 48"
0,66,41744,VELEZ SARSFIELD,0,QUILMES,0,3.21,0,12,2.4,0,0,"5, 8, 28, 17"
0,82,41748,FOREST GREEN,0,WOKING,0,3.42,0,0,1.74,0,0,"91, 68, 90, 33"
0,83,41748,HALIFAX,0,MACCLESFIELD,0,3.34,0,6,1.74,0,0,"45, 22, 18"
0,84,41748,DUMBARTON,0,QUEEN OF SOUTH,0,3.25,0,5,1.7,1,0,"17, 52, 66 (NOT IN PLAY)"
0,91,41749,GRODIG,0,RAPID VIENNA,0,3.12,0,0,1.73,0,0,"43, 25, 51, 12"
0,92,41749,AALBORG,0,RANDERS,0,3.13,0,1,1.77,0,0,"37, 15, 11"
1,1,41733,ADELAIDE,0,MELBOURNE,0,3.24,0,0,1.8,0,0,"1, 93, 42, 33"
1,2,41733,0,0,DUSSELDORF,0,3.26,0,1,1.97,0,0,"53, 42, 76"
1,3,41733,SPARTAK MOSCOW,0,URAL,0,3.57,1,2,1.9,1,1,20
1,7,41733,TEPLICE,0,PRIBRAM,0,3.71,1,4,1.84,1,1,84
1,9,41733,MARSEILLE,0,AJACCIO,0,3.04,0,3,1.71,2,0,"61, 76, 4, 60"
1,10,41733,1,0,LEVERKUSEN,0,3.3,0,6,1.67,2,0,"4, 82, 58"
1,30,41736,3,0,4,0,3.99,1,8,1.7,2,1,"35, 32"
1,31,41736,JONG ALAX,0,EINDHOVEN,0,4.01,0,1,1.7,2,0,"56, 37, 42"
1,32,41736,JONG PSV,0,DEN BOSCH,0,3.27,0,4-Jan,1.7,2,0,"62, 14, 72, 85, 35"
1,33,41736,DIN. BUCURESTI,0,OTELUL,0,3.06,0,3,2.14,2,0,"60, 65, 52, 44"
1,34,41736,METZ,0,5,0,3.23,0,6,2.18,2,0,"18, 53, 39"
