itemID,brand,categories
32671,782,648.0
29161,908,3540.0
20945,966,813.0
14744,441,NaN
10900,966,3915.0
11025,615,2872.0
21895,75,379.0
31217,568,3901.0
17618,77,3900.0
6378,1366,NaN
30139,231,2470.0
9051,193,1939.0
18657,1169,595.0
24758,1483,3932.0
8875,194,2790.0
32160,598,NaN
31678,734,1079.0
16544,150,NaN
14100,203,NaN
5646,1180,2341.0
14516,322,1984.0
8206,1338,3138.0
1178,718,1895.0
25068,549,3532.0
31015,406,1772.0
6331,1445,1170.0
23795,1320,178.0
25071,765,3303.0
10310,962,276.0
3484,908,300.0
3037,771,3928.0
32046,1133,1760.0
17031,829,2179.0
21239,453,2927.0
27820,1217,2099.0
10844,1180,2209.0
2542,317,1855.0
30487,554,3755.0
6379,926,284.0
28714,1435,657.0
17428,389,3903.0
7226,1436,650.0
9053,571,3834.0
19149,1342,2553.0
505,560,2731.0
11749,1383,2467.0
18083,906,3639.0
13632,813,NaN
10050,150,3968.0
7078,1355,1807.0
3581,196,411.0
14885,325,3419.0
26787,1036,1186.0
1671,580,1212.0
429,812,237.0
21133,1445,2209.0
23888,1410,2470.0
25767,853,NaN
16920,323,3587.0
23593,1282,3047.0
13279,1496,3344.0
11178,194,1546.0
15845,205,1348.0
2833,1130,2619.0
479,406,1021.0
9897,1163,1529.0
29534,963,3676.0
19069,1368,3903.0
18376,772,3455.0
29824,1025,568.0
8450,564,3688.0
22561,928,3138.0
20127,1368,1354.0
22682,771,1083.0
998,116,1807.0
54,1277,NaN
27458,157,4201.0
16579,604,2136.0
6761,827,2473.0
13970,1265,1098.0
13613,829,2710.0
26351,19,3967.0
22884,430,2259.0
23531,1130,736.0
2620,771,2864.0
14019,887,3903.0
10912,1126,1060.0
31373,1180,2259.0
25180,1180,931.0
30541,648,2528.0
9272,1111,1138.0
22422,1433,545.0
3169,1054,NaN
3361,1023,1085.0
1936,1383,3194.0
30567,847,2894.0
14557,734,3905.0
9274,514,1124.0
6919,133,NaN
30094,993,3901.0
10944,615,3259.0
20046,771,1904.0
17043,841,3901.0
29408,322,2756.0
9938,1411,1772.0
5529,43,3937.0
9210,238,3393.0
19887,772,1138.0
21636,1410,2176.0
19567,20,1000.0
14902,1277,NaN
