itemID,brand,categories
1,1006,"274.0, 4124.0"
2,464,NaN
3,389,"807.0, 3403.0"
4,1291,"3800.0, 1114.0, 281.0"
5,389,NaN
6,1496,"327.0, 2897.0, 4028.0, 3920.0, 4027.0, 3413.0"
7,105,NaN
8,1048,3949.0
9,1065,"30.0, 2104.0, 1060.0, 3268.0, 3937.0"
10,1065,"3228.0, 1390.0"
11,615,4196.0
12,150,1772.0
14,19,"702.0, 3970.0"
15,780,"592.0, 2049.0"
16,258,"3948.0, 1772.0"
17,1277,NaN
18,174,NaN
19,771,1138.0
20,1207,3810.0
21,120,"2064.0, 1138.0, 578.0, 146.0"
23,1113,4002.0
24,340,"3901.0, 3902.0, 2790.0, 3900.0"
25,745,"2995.0, 3900.0"
26,1383,"1088.0, 1138.0"
27,441,"2354.0, 2091.0"
28,274,1307.0
29,61,1554.0
30,617,"3812.0, 1454.0, 2256.0, 1390.0, 3915.0, 3042.0, 1705.0"
31,950,"2808.0, 1807.0, 2894.0"
32,642,"1646.0, 3254.0"
34,617,"3914.0, 3042.0, 2209.0, 3924.0, 385.0, 3915.0, 2256.0, 1705.0, 1213.0, 388.0, 3460.0, 1760.0, 1454.0"
36,400,57.0
37,1161,"3479.0, 3424.0"
38,1006,1705.0
39,124,"3903.0, 3900.0, 846.0, 3902.0"
40,367,"3775.0, 4101.0, 156.0"
43,249,"288.0, 578.0, 870.0, 518.0"
44,827,"1366.0, 2256.0, 3910.0, 3901.0, 3905.0"
45,1023,"146.0, 1578.0, 1138.0, 1085.0"
46,504,NaN
47,73,"2116.0, 2580.0, 1760.0, 2690.0, 3156.0"
48,1277,NaN
49,150,3473.0
51,898,274.0
52,799,1403.0
54,1277,NaN
55,203,NaN
57,322,981.0
58,772,2997.0
59,1207,1221.0
60,936,"3625.0, 2804.0, 3619.0"
61,580,"2371.0, 2209.0, 758.0"
62,8,"2269.0, 3827.0"
63,234,3497.0
64,412,"2833.0, 386.0"
65,147,"2973.0, 227.0, 743.0"
66,196,2197.0
67,322,1440.0
68,356,"1903.0, 450.0, 1085.0"
69,1424,NaN
70,127,218.0
72,1496,"1711.0, 2222.0"
73,389,"2126.0, 3792.0"
74,523,"870.0, 2370.0"
75,258,"1780.0, 3701.0"
76,1344,"2079.0, 308.0, 3913.0, 2487.0"
78,322,NaN
