# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP.,EXP Y/N,Score,Open BACK ODDS,WON B/L,Goals (minutes)
0,4,41733,UJPEST,0,FERENCVAROS,0,3.43,0,1,1.9,0,"23, 4, 87"
0,5,41733,CRETEIL,0,LAVAL,0,3.14,0,Apr-00,2.06,0,"5, 19, 34, 3"
0,6,41733,WILLEM II,0,0,0,3.02,0,3,1.56,0,"68, 90, 3, 34"
0,8,41733,HEIST,0,WESTERLO,0,3.47,0,5,1.78,0,"13, 89"
0,11,41734,AUGSBURG,0,1,0,3.13,1,4,1.7,1,31
0,12,41734,BREMEN,0,2,0,3.15,1,7,1.6,1,"33, 15"
0,13,41734,VFB STUTTGART,0,FREIBURG,0,3.21,1,8,1.74,1,"89, 69"
0,14,41734,COVENTRY,0,MK DONS,0,3.57,0,1,1.95,0,"66, 39, 57"
0,15,41734,2,0,ROTHERHAM,0,3.29,0,4-Mar,1.8,0,"69, 30, 86, 93, 2, 84, 57"
0,16,41734,ST. MIRREN,0,MOTHERWELL,0,3.01,0,9,1.72,0,"86, 17, 87, 42, 27"
0,17,41734,FALKIRK,0,COWDENBEATH,0,3.17,0,10,1.68,0,"48, 16, 28, 40, 54"
0,18,41734,PSG,0,REIMS,0,3.41,0,11,1.69,0,"89, 43, 48"
0,19,41734,OLIVEIRENSE,0,BENFICA B,0,4.3,0,1,1.77,0,"52, 26, 34"
0,20,41734,STURM GRAZ,0,ADMIRA,0,3.41,1,7,1.76,1,"43, 65"
0,21,41734,ZADAR,0,DINAMO ZAGREB,0,3.11,0,1,1.79,0,"4, 70, 38"
0,22,41734,DEBRECEN,0,GYOR,0,3.07,0,0,1.73,0,"25, 11, 22, 60"
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,3.08,0,1-Jun,1.89,0,"13, 78, 78, 7, 89, 24, 53"
0,24,41734,FERREIRA,0,SPORTING,0,3.19,0,12,2.06,0,"66, 33, 14, 54"
0,25,41735,BASEL,0,3,0,3.03,1,13,1.69,1,0
0,26,41735,JIHLAVA,0,MLADA BOLESLAV,0,3.1,0,6,2.01,0,"64, 33, 61"
0,27,41735,WEST HAM,0,LIVERPOOL,0,3.42,0,1,1.7,0,"71, 47, 44"
0,28,41735,PANATHINAIKOS,0,LEVADIAKOS,0,3.33,0,3,1.49,0,"41, 77, 39"
0,29,41735,PARMA,0,NAPOLI,0,3.08,1,4,1.92,1,55
0,46,41741,NOTTS COUNTY,0,8,0,3.37,0,2-Apr,1.67,0,"13, 25, 27, 85, 48"
0,66,41744,VELEZ SARSFIELD,0,QUILMES,0,3.21,0,12,2.4,0,"17, 28, 5, 8"
0,82,41748,FOREST GREEN,0,WOKING,0,3.42,0,0,1.74,0,"68, 90, 33, 91"
0,83,41748,HALIFAX,0,MACCLESFIELD,0,3.34,0,6,1.74,0,"22, 18, 45"
0,84,41748,DUMBARTON,0,QUEEN OF SOUTH,0,3.25,0,5,1.7,0,"66 (NOT IN PLAY), 17, 52"
0,91,41749,GRODIG,0,RAPID VIENNA,0,3.12,0,0,1.73,0,"51, 25, 43, 12"
0,92,41749,AALBORG,0,RANDERS,0,3.13,0,1,1.77,0,"37, 11, 15"
1,1,41733,ADELAIDE,0,MELBOURNE,0,3.24,0,0,1.8,0,"33, 1, 93, 42"
1,2,41733,0,0,DUSSELDORF,0,3.26,0,1,1.97,0,"42, 53, 76"
1,3,41733,SPARTAK MOSCOW,0,URAL,0,3.57,1,2,1.9,1,20
1,7,41733,TEPLICE,0,PRIBRAM,0,3.71,1,4,1.84,1,84
1,9,41733,MARSEILLE,0,AJACCIO,0,3.04,0,3,1.71,0,"4, 76, 61, 60"
1,10,41733,1,0,LEVERKUSEN,0,3.3,0,6,1.67,0,"4, 58, 82"
1,30,41736,3,0,4,0,3.99,1,8,1.7,1,"32, 35"
1,31,41736,JONG ALAX,0,EINDHOVEN,0,4.01,0,1,1.7,0,"42, 56, 37"
1,32,41736,JONG PSV,0,DEN BOSCH,0,3.27,0,4-Jan,1.7,0,"72, 14, 35, 85"
1,33,41736,DIN. BUCURESTI,0,OTELUL,0,3.06,0,3,2.14,0,"65, 44, 60, 52"
1,34,41736,METZ,0,5,0,3.23,0,6,2.18,0,"39, 53, 18"
1,35,41737,WATFORD,0,LEEDS,0,3.19,0,11,1.85,0,"9, 67, 32"
1,36,41737,4,0,GILLINGHAM,0,3.3,1,8,1.8,1,"58, 42"
1,37,41740,BELUPO,0,6,0,3.19,0,6,1.75,0,"79, 81, 69"
1,38,41740,M.DONETSK,0,SEVASTOPOL,0,3.96,0,11,1.97,0,"16, 36, 18"
1,39,41740,ISTRES,0,CAEN,0,3.38,0,14,2.05,0,"63, 22, 17, 25"
1,40,41740,TOURS,0,7,0,4.18,0,1,1.75,0,"15, 92, 86"
1,41,41740,SCHALKE,0,EIN. FRANKFURT,0,3.13,1,8,1.57,1,"59, 91"
1,43,41741,HANNOVER,0,HAMBURG,0,3.47,0,6,1.97,0,"26, 9, 48"
1,44,41741,MGLADBACH,0,STUTTGART,0,3.43,1,7,1.69,1,"89, 12"
1,47,41741,4,0,COVENTRY,0,3.72,1,4,1.82,1,6
1,48,41741,NACIONAL,0,MARITIMO,0,3.13,1,8,2.12,1,"7, 89"
1,49,41741,ZENIT,0,9,0,3.42,0,1-Apr,1.76,0,"81, 94, 52, 21, 64"
1,50,41741,GORNIK,0,LECH POZNAN,0,3.17,0,5,1.99,0,"51, 31, 34"
1,51,41741,AC WOLFSBERGER,0,GRODIG,0,3.79,0,1,1.64,0,"93, 89, 19"
1,52,41741,SABADELL,0,GIJON,0,3.29,1,8,1.83,1,"85, 89"
1,53,41742,LOCOMOTIV,0,ANZHI,0,3.02,1,13,2.14,1,0
1,54,41742,BETIS,0,SEVILLA,0,3.25,1,15,1.86,1,"30, 82"
1,55,41742,LYNGBY,0,HVIDORE,0,3.05,0,9,1.92,0,"34, 59, 85, 24, 76"
1,57,41742,PLZEN,0,JIHLAVA,0,3.94,1,7,1.76,1,"46, 82"
1,58,41742,FC PORTO,0,OLIVEIRENSE,0,3.29,0,1,1.98,0,"29, 68, 64"
1,63,41743,PANDURII,0,NAVODARI,0,3.29,1,13,2.14,1,0
1,64,41743,ESTORIL,0,FERREIRA,0,3.26,1,4,2.44,1,41
1,65,41744,RIJEKA,0,ZADAR,0,3.23,0,11,1.67,0,"25, 70, 16"
1,67,41745,DINAMO KIEV,0,SHAKHTAR,0,3.5,1,15,1.86,1,"34, 10"
1,70,41746,HVIDORE,0,FREDERICA,0,3.1,0,6,2.06,0,"68, 9"
1,71,41746,MARIENLYST,0,LYNGBY,0,3.59,0,5,1.6,0,"88, 70, 82"
1,72,41746,AUE,0,DRESDEN,0,2.74,1,8,2.14,1,"19, 6"
1,73,41746,FRANKFURT,0,HANNOVER,0,2.8,0,14,1.74,0,"13, 68, 20, 29, 2"
1,74,41747,BRISTOL CITY,0,NOTTS COUNTRY,0,3.64,0,6,1.8,0,"30, 86, 13"
1,75,41747,2,0,TRANMERE,0,3.31,1,8,1.82,1,"93, 78"
1,76,41747,NIMES,0,5,0,3.53,1,4,1.98,1,67
1,77,41747,TROYES,0,7,0,3.48,0,5,1.68,0,"70, 20, 30"
1,78,41748,TOTTENHAM,0,FULHAM,0,3.4,0,3,1.7,0,"34, 37,  62, 48"
1,79,41748,AC MILAN,0,4,0,3.39,0,11,1.65,0,"84, 43, 51"
1,80,41748,BRAUNSCHWEIG,0,1,0,3.13,1,15,1.47,1,"86, 75"
1,81,41748,NOTTS FOREST,0,BIRMINGHAM,0,3.22,1,4,1.76,1,2
1,85,41748,CHELSEA,0,SUNDERLAND,0,3.1,0,1,1.7,0,"18, 11, 80"
1,86,41748,1,0,WOLFSBERG,0,3.69,0,12,1.7,0,"58, 49, 2, 42"
1,87,41748,3,0,BOLOGNA,0,3.16,1,2,1.7,1,63
1,88,41749,0,0,GREUTHER FURTH,0,3.69,0,0,2.12,0,"92, 74, 35, 59"
1,89,41749,DYNAMO MOSCOW,0,9,0,3.42,0,1,2.06,0,"27, 73, 81"
1,90,41749,HORSENS,0,AB,0,3.79,1,13,1.75,1,0
1,93,41749,STUTTGART,0,2,0,3.38,0,3,1.76,0,"59, 69, 54, 23"
1,95,41750,BIRMINGHAM,0,BLACKBURN,0,2.9,0,4-Feb,1.82,0,"10, 48, 20, 63, 24"
1,96,41750,ROTHERHAM,0,8,0,3.68,1,4,1.75,1,79
1,97,41750,HAJDUK SPLIT,0,6,0,3.09,0,0,1.79,0,"52, 31, 66, 56"
