brand,categories
-1,"1060.0, 3936.0, 403.0"
0,"3882.0, 1920.0, 3907.0, 1560.0, 2658.0, 4047.0"
1,NaN
2,2483.0
3,"922.0, 2731.0"
4,"4246.0, NaN, NaN, 344.0, NaN, 407.0, NaN, 1348.0, 3004.0, 1720.0, NaN, 549.0, NaN, 2097.0, NaN, 1720.0, NaN, 4246.0, NaN, 2801.0, 60.0, NaN, NaN, NaN, 1373.0, 247.0, NaN, NaN, 247.0, 4246.0, 560.0, 1803.0, 407.0, NaN, 2022.0, 2754.0, NaN, 2567.0, NaN, NaN, NaN, 2861.0, 3558.0, 1494.0, NaN, 1727.0, NaN, 287.0, 287.0, 247.0, 824.0, NaN, 1422.0, NaN, NaN, 3004.0, NaN, NaN, 407.0, NaN, 1037.0, NaN, NaN, 3254.0, NaN, NaN, 3558.0"
5,"NaN, NaN, NaN, NaN, NaN, NaN, 136.0, NaN, 1608.0, NaN, NaN, NaN, NaN, 3019.0, NaN, NaN, NaN, NaN, 975.0, 3903.0, NaN, 4107.0, 975.0, NaN, NaN, NaN, 3459.0, NaN, 2464.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1463.0, 1807.0, NaN, NaN, NaN, NaN, NaN, 1807.0, NaN, NaN, 4013.0, 4107.0, NaN, NaN, NaN, 1807.0, NaN, NaN, 3543.0, NaN, NaN, NaN, NaN, 975.0, NaN, NaN, NaN, NaN, 3910.0, NaN, NaN, 3903.0, 3902.0, 3903.0, NaN, NaN, NaN, NaN, NaN, NaN"
6,"2973.0, 30.0, 4026.0, 4030.0, 2939.0, 3960.0, 1002.0, 3936.0, 2547.0, 2977.0, 2259.0, 1711.0, 3234.0, 2612.0, 169.0, 4106.0, 3916.0, 3913.0, 3268.0, 2547.0, 3935.0, 2547.0, 2827.0, 3936.0, 2259.0, 1879.0, 2827.0, 3051.0, 990.0, 2738.0, 1500.0, 2977.0, 2738.0, 776.0, 2089.0, 4020.0, 2005.0, 3047.0, 30.0, 4106.0, 1772.0, 169.0, 2738.0, 741.0, 1772.0, 4113.0, 1260.0, 2574.0, 1668.0, 2226.0, 3900.0, 3920.0, 776.0, 1879.0, 47.0, 220.0, 3901.0, 2939.0, 3668.0, 1711.0, 1059.0, 3514.0, 1260.0, 3668.0, 2939.0, 327.0, 1000.0, 3514.0, 614.0, 3960.0, 2158.0, 2827.0, 2104.0, 935.0, 2547.0, 3514.0, 2977.0, 3944.0, 3901.0, 2738.0, 3268.0, 3946.0, 1395.0, 3920.0, 279.0, 2437.0, 1500.0, 776.0, 29.0, 3900.0, 2437.0, 3047.0, 776.0, 3915.0, 2259.0, 3897.0, 285.0, 3732.0, 2104.0, 614.0, 2738.0, 169.0, 2977.0, 2925.0, 3732.0, 2612.0, 3668.0, 2738.0, 3915.0, 2057.0, 1287.0, 1711.0, 3413.0, 4158.0, 1002.0, 4087.0, 2259.0, 3268.0, 747.0, 2897.0, 3586.0, 614.0, 169.0, 2178.0, 3936.0, 90.0, 1500.0, 4113.0, 2919.0, 3897.0, 2389.0, 3962.0, 2738.0, 2977.0, 1711.0, 3514.0, 1685.0, 2919.0, 4028.0, 1685.0, 2977.0, 3221.0, 2.0, 2738.0, 1287.0, 2977.0, 4030.0, 2005.0, 4089.0, 3867.0, 2089.0, 1883.0, 839.0, 3936.0, 2939.0, 2939.0, 47.0, 4040.0, 3867.0, 1124.0, 614.0, 747.0, 169.0, 3916.0, 2932.0, 1500.0, 3913.0, 2389.0, 1060.0, 2865.0, 2612.0, 679.0, 2089.0, 3901.0, 3935.0, 1879.0, 2829.0, 3924.0, 2450.0, 2827.0, 2437.0, 747.0, 614.0, 545.0, 30.0, 2104.0, 3916.0, 2104.0, 1943.0, 3902.0, 1259.0, 1879.0, 2332.0, 1500.0, 3963.0, 3937.0, 30.0, 3902.0, 3413.0, 3668.0, 3924.0, 3514.0, 3937.0, 1500.0, 3485.0, 1879.0, 3900.0, 2259.0, 1260.0, 1760.0, 3937.0, 2089.0, 3113.0, 3935.0, 2738.0, 3945.0, 1711.0, 3457.0, 3900.0, 377.0, 30.0, 2844.0, 2547.0, 1879.0, 585.0, 1395.0, 3268.0, 2977.0, 3901.0, 3937.0, 3514.0, 4026.0, 169.0, 3937.0, 2547.0, 2738.0, 4140.0, 3253.0, 776.0, 2919.0, 776.0, 47.0, 3186.0, 2437.0, 747.0, 2897.0, 2547.0, 2977.0, 3760.0, 585.0, 3897.0, 3935.0, 747.0, 3937.0, 4027.0, 2104.0, 4088.0, 4113.0, 2612.0, 2259.0, 2612.0, 4106.0, 3444.0, 3047.0, 3466.0, 3912.0, 3668.0, 3916.0, 4025.0, 1500.0, 776.0, 2547.0, 3900.0, 3668.0, 3915.0, 3920.0, 1943.0, 2919.0, 2389.0, 2977.0, 1500.0, 3946.0, 1060.0, 3902.0, 2897.0, 776.0, 3935.0, 3912.0, 776.0, 2547.0, 2158.0, 1711.0, 2259.0, 2844.0, 2977.0, 169.0, 2977.0, 4113.0, 1060.0, 3514.0, 3466.0, 3915.0, 480.0, 3268.0, 2738.0, 2827.0, 1879.0, 776.0"
7,"1085.0, 1085.0, 667.0, 667.0"
8,"3838.0, 3254.0, 3827.0, 1373.0, 1373.0, 1611.0, 1505.0, 2022.0, 1373.0, 1611.0, 3827.0, 1505.0, 2022.0, 3838.0, 397.0, 3838.0, 1453.0, 3902.0, 3903.0, 3827.0, 3901.0, 1505.0, 2754.0, 1505.0, 2269.0, 3827.0, 3827.0, 3254.0, NaN, 3900.0, 1779.0, 1505.0, 3827.0, 821.0, 3916.0, 1110.0, 1373.0, 3827.0, 1373.0, NaN, 1505.0, 1505.0, NaN, 3827.0, 821.0, 2269.0, 3911.0, 1142.0, 3254.0, 3827.0, 3254.0, 1505.0, 3473.0, 3254.0, 1441.0, 1343.0, 2022.0, 2022.0, 1794.0, 1505.0, 1505.0, 3669.0, 3827.0, 821.0, 3838.0, 2995.0, 3254.0, NaN, 397.0, 1373.0, 3459.0, 3827.0, 3827.0, 1734.0, 1505.0, 3903.0, 3827.0, 3910.0, NaN, 3827.0, 2091.0, 1505.0, 3838.0, 3005.0, 2022.0, 3827.0, 2022.0, 4014.0, 1505.0, 3827.0, 1505.0, 2269.0, 807.0, 1373.0, 3900.0, 1611.0, 1373.0, 2022.0, 3625.0, 3947.0, 3838.0, 3838.0, 3947.0, 1441.0, NaN, NaN"
9,"326.0, 3072.0, 3072.0, 326.0, 326.0, 1365.0, 1397.0, 2962.0, 326.0, 2198.0, 1349.0, 2962.0, 2964.0, 326.0, 3350.0, 3072.0, 326.0, 326.0, 1365.0, 3072.0, 326.0, 2962.0, 3903.0, 1365.0, 3916.0, 1365.0, 3910.0, 3900.0, 2962.0, 1365.0, 2011.0, 2964.0, 3916.0, 1397.0, 1365.0, 2198.0, 2011.0, 3903.0, 1365.0, 3910.0, 326.0, 3916.0, 2962.0, 2011.0, 1397.0, 2198.0, NaN, 2964.0, 2198.0, 1365.0, 1397.0, 2198.0, 326.0, 2198.0, 3725.0"
10,"NaN, NaN, NaN, 407.0"
11,"646.0, 2808.0, 975.0, 646.0, 914.0, 646.0, 2096.0"
12,76.0
14,"1537.0, 118.0, 3907.0, 2035.0, 1405.0, NaN, 4036.0, 1405.0, 289.0, 1998.0, 1505.0, 1405.0, 1509.0, NaN, 289.0, NaN, 482.0, 1998.0, 862.0, 289.0, NaN, 1313.0, NaN, 3980.0, 4055.0, 1505.0, 3625.0"
15,"407.0, 3800.0, 407.0, 407.0, 1291.0, 2501.0, NaN, 3900.0, 407.0, NaN, 3902.0, 2011.0, NaN, NaN, 323.0, NaN, 3722.0, 1114.0, 1186.0, 924.0, 3901.0, NaN, 4014.0, 2126.0, NaN, NaN, 2772.0, NaN"
16,"NaN, NaN, 1756.0, NaN, NaN, NaN, NaN, 3009.0, 3171.0, 855.0, 3009.0, NaN, 4035.0"
17,"81.0, 1807.0, 807.0"
18,"30.0, 2259.0, 3668.0, 2259.0, 1716.0, 530.0, 2738.0, 3668.0, 1980.0, 839.0, 2330.0, 327.0, 3668.0, 169.0, 2547.0, 3047.0, 4094.0, 1763.0, 2259.0, 3079.0, 3945.0, 993.0, 4132.0, 2612.0, 3900.0, 2731.0, 3047.0, 3625.0, 614.0, 2383.0, 4026.0, 4030.0, 3611.0, 4087.0, 30.0, 3641.0, 3051.0, 3693.0, 3905.0, 3668.0, 747.0, 3373.0, 4005.0, 2919.0, 4020.0, 1763.0, 2470.0, 1974.0, 240.0, 3937.0, 3047.0, 3611.0, 1772.0, 3924.0, 1879.0, 1133.0, 2316.0, 3514.0, 2316.0, 3903.0, 4027.0, 3611.0, 2670.0, 3457.0, 1760.0, 2330.0, 3910.0, 3514.0, 3051.0, 4197.0, 803.0, 1711.0, 2919.0, 1772.0, 3920.0, 2330.0, 919.0, 1711.0, 3668.0, 1711.0, 3900.0, 2612.0, 3963.0, 2337.0, 3514.0, 3079.0, 3514.0, 4026.0, 3530.0, 1395.0, 3867.0, 3611.0, 2547.0, 30.0, 3922.0, 2615.0, 2738.0, 530.0, 3903.0, 3901.0, 2872.0, 1395.0, 2316.0, 2547.0, 507.0, 2797.0, 1772.0, 3047.0, 2259.0, 4034.0, 56.0, 3173.0, 914.0, 3901.0, 2316.0, 2612.0, 3079.0, 2670.0, 2270.0, 1763.0, 2316.0, 2547.0, 3937.0, 1608.0, 3922.0, 2353.0, 280.0, 4060.0, 3668.0, 47.0, 3907.0, 3897.0, 240.0, 2443.0, 4088.0, 3051.0, 2383.0, 3051.0, 1879.0, 3047.0, 2259.0, 1716.0, 1772.0, 3935.0, 1244.0, 30.0, 2443.0, 3514.0, 2383.0, 4106.0, 2738.0, 3409.0, 3914.0, 646.0, 2353.0, 3444.0, 327.0, 4025.0, 1711.0, 4089.0, 2089.0, 4133.0, 1711.0, 2547.0, 2738.0, 3936.0, 1330.0, 3944.0, 4133.0, 614.0, 922.0, 3946.0, 2096.0, 2829.0, 679.0, 1775.0, 3253.0, 4132.0, 2612.0, 803.0, 2919.0, 3079.0, 3611.0, 3922.0, 3902.0, 3668.0, 3900.0, 3903.0, 1515.0, 1608.0, 1638.0, 3641.0, 3611.0, 545.0, 813.0, 3268.0, 4028.0, 3902.0, 2919.0, 3901.0, 1980.0, 1772.0, 169.0, 2330.0, 1763.0, 4132.0, 4132.0, 1124.0, 3911.0, 457.0, 2096.0, 4025.0, 1371.0, 2738.0, 2897.0, 3611.0, 1527.0, 1772.0, 2096.0, 2738.0, 614.0, 3079.0, 2897.0, 3921.0, 3902.0, 3900.0, 935.0, 3268.0, 2872.0, 2005.0, 3668.0, 3516.0, 3902.0, 1772.0, 4106.0, 2383.0, 990.0, 2612.0, 2389.0, 3986.0, 871.0, 2316.0, 1330.0, 480.0, 3924.0, 2316.0, 3459.0, 1793.0, 1883.0, 3228.0, 1772.0, 2330.0, 585.0, 4087.0, 747.0, 3051.0, 1371.0, 1879.0, 1879.0, 3047.0, 3047.0, 3911.0, 2612.0, 2547.0, 1754.0, 1570.0, 1716.0, 3960.0, 3457.0, 48.0, 3775.0, 1763.0, 3915.0, 3668.0, 3900.0, 1395.0, 47.0, 2104.0, 3915.0, 3047.0, 2797.0, 1060.0, 47.0, 2353.0, 4088.0, 1244.0, 2897.0, 3910.0, 2612.0, 4027.0, 169.0, 3138.0, 2738.0, 4217.0, 2316.0, 1793.0, 1505.0, 2259.0, 3920.0, 4197.0, 2330.0, 1244.0, 3670.0, 3945.0, 327.0, 254.0, 3936.0, 2389.0, 4035.0, 2330.0, 3641.0, 2829.0, 2612.0, 4049.0, 3514.0, 3914.0, 3268.0, 1570.0, 2547.0, 3910.0, 2383.0, 922.0, 2419.0, 3514.0, 1668.0, 3457.0, 3259.0, 2612.0, 3907.0, 3079.0, 2738.0, 1793.0, 2226.0, 1000.0, 2383.0, 2612.0, 1395.0, 3871.0, 1060.0, 4089.0, 2330.0, 1879.0, 4020.0, 2104.0, 2470.0, 2353.0, 3040.0, 1883.0, 3051.0, 3670.0, 327.0, 3173.0, 2615.0, 2919.0, 3963.0, 3173.0, 327.0, 3514.0, 871.0, 2470.0, 279.0, 614.0, 327.0, 1443.0, 3268.0, 2738.0, 2547.0, 990.0, 614.0, 2470.0, 2389.0, 2330.0, 646.0, 2316.0, 2316.0, 4028.0, 614.0, 4040.0, 3221.0, 3960.0, 90.0, 3413.0, 3905.0, 530.0, 3053.0, 3668.0, 3905.0, 1879.0, 1772.0, 3936.0, 2330.0, 327.0, 3902.0, 3079.0"
