Index,imdb_id,revenue,cast
975,tt1194173,276572938, Edward Norton
1033,tt1656186,2106557, Sami Gayle
1033,tt1656186,2106557,Nicolas Cage
1034,tt1430626,118338361, Brian Blessed
1043,tt1599348,208076205, Vera Farmiga
1012,tt1707386,441809770, Amanda Seyfried
984,tt1667889,877244782, Seann William Scott
1031,tt1486192,29657751, Luke Evans
1040,tt1596365,127730736, Sidney Johnston
1046,tt1931533,19422261, Christopher Walken
1006,tt1611224,112265139, Anthony Mackie
1073,tt1047540,119772232,Billy Crystal
974,tt1074638,1108561013,Daniel Craig
973,tt1853728,425368238, Kerry Washington
1034,tt1430626,118338361, Salma Hayek
1008,tt1482459,348840316, Taylor Swift
1036,tt1195478,53909751, Alison Brie
979,tt0948470,752215857, Rhys Ifans
1043,tt1599348,208076205, Brendan Gleeson
991,tt1392170,691210692, Elizabeth Banks
999,tt1605630,234989584, Seann William Scott
981,tt1735898,396600000, Ian McShane
1072,tt0337692,8784318, Tom Sturridge
1077,tt1480656,6063556, Samantha Morton
1048,tt1433811,3428048,Jason Bateman
1001,tt1259521,66486080,Kristen Connolly
1008,tt1482459,348840316, Ed Helms
1075,tt1925431,4636169, 50 Cent
1021,tt1706593,145000000, Michael Kelly
1027,tt1636826,100000000, Dax Flame
992,tt1386703,198802074, Bill Nighy
971,tt1496025,132400000, Theo James
986,tt0790724,218340595, Werner Herzog
1038,tt1592525,32204030, Peter Stormare
994,tt1764651,312573423, Arnold Schwarzenegger
1053,tt1764234,37930465, James Gandolfini
1017,tt1790885,132820716, Mark Strong
1015,tt1276104,47042000, Paul Dano
1027,tt1636826,100000000,Oliver Cooper
1077,tt1480656,6063556, Paul Giamatti
1001,tt1259521,66486080, Anna Hutchison
1030,tt1212450,53676580, Jessica Chastain
1054,tt1366365,16863583, Caroline Goodall
1062,tt1441951,59520298, Michael Gambon
990,tt1409024,624026776,Will Smith
983,tt0454876,609016565, Irrfan Khan
976,tt0903624,1017003568,Ian McKellen
983,tt0454876,609016565, Gautam Belur
1050,tt1714203,8493728, Matt Bush
1073,tt1047540,119772232, Bette Midler
1000,tt1915581,167221571, Alex Pettyfer
998,tt1024648,232324128, Alan Arkin
1028,tt1524137,63100000, Kate Beckinsale
1011,tt1440129,303025485, Brooklyn Decker
1077,tt1480656,6063556,Robert Pattinson
1065,tt2023453,77112176, Rachael Harris
1033,tt1656186,2106557, Danny Huston
1021,tt1706593,145000000, Anna Wood
989,tt1981677,115350426,Anna Kendrick
1062,tt1441951,59520298,Maggie Smith
974,tt1074638,1108561013, Judi Dench
1022,tt1591479,81272766, Nestor Serrano
1013,tt1667353,183018522, Martin Klebba
1004,tt1397514,355692760, Luis GuzmÃ¡n
975,tt1194173,276572938, Scott Glenn
1011,tt1440129,303025485, Rihanna
993,tt1371111,130482868, Jim Broadbent
1080,tt2215719,32726956, Rachael Markarian
1068,tt1663143,11417362,Victoria Justice
1020,tt1800741,140470746, Ryan Guzman
1048,tt1433811,3428048, Frank Grillo
1031,tt1486192,29657751, Brendan Gleeson
1038,tt1592525,32204030, Lennie James
972,tt1345836,1081041287, Michael Caine
1069,tt1547234,31083599, WolÃ© Parks
1008,tt1482459,348840316, Rob Riggle
1042,tt1232200,58058367, Eva Amurri Martino
1015,tt1276104,47042000, Emily Blunt
1074,tt1621045,96070507, Regina Hall
1062,tt1441951,59520298, Tom Courtenay
1066,tt1566501,9622846,Eva Longoria
1041,tt1142977,81491068, Winona Ryder
999,tt1605630,234989584, Chris Klein
1018,tt1506999,33372606, Channing Tatum
1062,tt1441951,59520298, Pauline Collins
980,tt1217209,538983207, Emma Thompson
988,tt1772341,471222889, Sarah Silverman
977,tt1446714,403170142,Noomi Rapace
975,tt1194173,276572938, Rachel Weisz
1056,tt1234719,44806783, Jeffrey Dean Morgan
984,tt1667889,877244782, Chris Wedge
1066,tt1566501,9622846, Peter O'Toole
1013,tt1667353,183018522, Nathan Lane
1060,tt1712170,30353232, Giancarlo Esposito
1071,tt2109184,142817992,Katie Featherston
1040,tt1596365,127730736, Alisa Khazanova
1008,tt1482459,348840316, Danny DeVito
1055,tt1764183,35485056,Richard Gere
1047,tt1430615,24719215, Kristen Bell
1036,tt1195478,53909751, Jason Segel
1074,tt1621045,96070507,Michael Ealy
987,tt1649419,180274123, Ewan McGregor
1044,tt1615065,47000000, Taylor Kitsch
1070,tt1840417,13231461, Jeremy Irons
972,tt1345836,1081041287, Anne Hathaway
1052,tt0938330,52302796,Adelaide Clemens
1023,tt0837562,358375603, Kevin James
991,tt1392170,691210692, Liam Hemsworth
1059,tt0763831,22044277, Cliff Curtis
980,tt1217209,538983207, Julie Walters
1067,tt0485985,50365377, Terrence Howard
1067,tt0485985,50365377, Cuba Gooding Jr.
1036,tt1195478,53909751, Rhys Ifans
994,tt1764651,312573423, Jason Statham
1049,tt1716777,12434778,Chris Pine
970,tt0848228,1519557910, Chris Evans
1073,tt1047540,119772232, Marisa Tomei
1003,tt1606389,196114570,Rachel McAdams
1018,tt1506999,33372606,Gina Carano
1047,tt1430615,24719215,Drew Barrymore
1064,tt2091473,8138788, Lucas Black
1046,tt1931533,19422261,Colin Farrell
1020,tt1800741,140470746, Stephen Boss
1020,tt1800741,140470746, Jessica Guadix
1045,tt1568338,46221189,Sam Worthington
1002,tt1446192,306941670, Hugh Jackman
1064,tt2091473,8138788,Matt Damon
995,tt1397280,376141306, Maggie Grace
1058,tt1535438,114281051, Steve Carell
1072,tt0337692,8784318, Kirsten Dunst
998,tt1024648,232324128, Victor Garber
996,tt1077368,245527149, Jackie Earle Haley
1073,tt1047540,119772232, Bailee Madison
1042,tt1232200,58058367, Susan Sarandon
994,tt1764651,312573423, Bruce Willis
1000,tt1915581,167221571, Matthew McConaughey
1023,tt0837562,358375603, Selena Gomez
1014,tt0401729,284139100,Taylor Kitsch
1042,tt1232200,58058367, Andy Samberg
1051,tt0431021,85446075, Kyra Sedgwick
1043,tt1599348,208076205, Ryan Reynolds
1031,tt1486192,29657751, Kevin McNally
1018,tt1506999,33372606, Michael Fassbender
1079,tt1876451,24637469, Mike Epps
971,tt1496025,132400000, Stephen Rea
988,tt1772341,471222889, Jack McBrayer
1020,tt1800741,140470746, Megan Boone
1039,tt1655460,24159934,Paul Rudd
