imdb_id,revenue,cast
tt0337692,8784318,"Kristen Stewart,  Garrett Hedlund,  Sam Riley,  Kirsten Dunst,  Tom Sturridge"
tt0383010,54819301,"Sean Hayes,  Will Sasso,  Chris Diamantopoulos,  SofÃ­a Vergara,  Jane Lynch"
tt0401729,284139100,"Taylor Kitsch,  Lynn Collins,  Mark Strong,  Willem Dafoe,  CiarÃ¡n Hinds"
tt0431021,85446075,"Jeffrey Dean Morgan,  Natasha Calis,  Madison Davenport,  Kyra Sedgwick,  Rob LaBelle"
tt0454876,609016565,"Suraj Sharma,  Irrfan Khan,  Ayush Tandon,  Gautam Belur,  Adil Hussain"
tt0485985,50365377,"Bryan Cranston,  David Oyelowo,  Cuba Gooding Jr.,  Daniela Ruah,  Terrence Howard"
tt0763831,22044277,"Eddie Murphy,  Allison Janney,  Cliff Curtis,  Clark Duke,  Kerry Washington"
tt0790724,218340595,"Tom Cruise,  Rosamund Pike,  Richard Jenkins,  David Oyelowo,  Werner Herzog"
tt0837562,358375603,"Adam Sandler,  Steve Buscemi,  David Spade,  Kevin James,  Selena Gomez"
tt0848228,1519557910,"Robert Downey Jr.,  Chris Evans,  Mark Ruffalo,  Chris Hemsworth,  Scarlett Johansson"
tt0903624,1017003568,"Ian McKellen,  Martin Freeman,  Richard Armitage,  Andy Serkis,  Cate Blanchett"
tt0938330,52302796,"Adelaide Clemens,  Kit Harington,  Sean Bean,  Carrie-Anne Moss,  Radha Mitchell"
tt0948470,752215857,"Andrew Garfield,  Emma Stone,  Rhys Ifans,  Denis Leary,  Martin Sheen"
tt1024648,232324128,"Ben Affleck,  Bryan Cranston,  Alan Arkin,  John Goodman,  Victor Garber"
tt1045658,205738714,"Bradley Cooper,  Jennifer Lawrence,  Robert De Niro,  Jacki Weaver,  Chris Tucker"
tt1047540,119772232,"Billy Crystal,  Bette Midler,  Marisa Tomei,  Tom Everett Scott,  Bailee Madison"
tt1074638,1108561013,"Daniel Craig,  Judi Dench,  Javier Bardem,  Ralph Fiennes,  Naomie Harris"
tt1077368,245527149,"Johnny Depp,  Michelle Pfeiffer,  Helena Bonham Carter,  Jackie Earle Haley,  Jonny Lee Miller"
tt1142977,81491068,"Charlie Tahan,  Winona Ryder,  Catherine O'Hara,  Martin Short,  Martin Landau"
tt1194173,276572938,"Jeremy Renner,  Rachel Weisz,  Edward Norton,  Scott Glenn,  Stacy Keach"
tt1195478,53909751,"Emily Blunt,  Alison Brie,  Jason Segel,  Rhys Ifans,  Chris Pratt"
tt1212450,53676580,"Shia LaBeouf,  Tom Hardy,  Guy Pearce,  Jessica Chastain,  Mia Wasikowska"
tt1217209,538983207,"Kelly Macdonald,  Julie Walters,  Billy Connolly,  Emma Thompson,  Kevin McKidd"
tt1232200,58058367,"Adam Sandler,  Susan Sarandon,  Eva Amurri Martino,  Leighton Meester,  Andy Samberg"
tt1232829,201585328,"Channing Tatum,  Jonah Hill,  Brie Larson,  Dave Franco,  Ellie Kemper"
tt1234719,44806783,"Chris Hemsworth,  Josh Hutcherson,  Isabel Lucas,  Adrianne Palicki,  Jeffrey Dean Morgan"
tt1259521,66486080,"Kristen Connolly,  Chris Hemsworth,  Anna Hutchison,  Fran Kranz,  Jesse Williams"
tt1276104,47042000,"Joseph Gordon-Levitt,  Bruce Willis,  Emily Blunt,  Paul Dano,  Noah Segan"
tt1277953,746921274,"Ben Stiller,  Sacha Baron Cohen,  David Schwimmer,  Frances McDormand,  Chris Rock"
tt1336608,59418613,"Tom Cruise,  Alec Baldwin,  Diego Boneta,  Julianne Hough,  Bryan Cranston"
tt1343727,41037742,"Karl Urban,  Olivia Thirlby,  Lena Headey,  Wood Harris,  Jason Cope"
tt1345836,1081041287,"Christian Bale,  Michael Caine,  Gary Oldman,  Anne Hathaway,  Tom Hardy"
tt1366365,16863583,"Henry Cavill,  VerÃ³nica Echegui,  Sigourney Weaver,  Bruce Willis,  Caroline Goodall"
tt1371111,130482868,"Tom Hanks,  Halle Berry,  Jim Broadbent,  Hugo Weaving,  Jim Sturgess"
tt1374992,8106475,"Kirsten Dunst,  Jim Sturgess,  Timothy Spall,  James Kidnie,  Heidi Hawkins"
tt1386703,198802074,"Colin Farrell,  Kate Beckinsale,  Jessica Biel,  Bryan Cranston,  Bill Nighy"
tt1392170,691210692,"Jennifer Lawrence,  Josh Hutcherson,  Liam Hemsworth,  Woody Harrelson,  Elizabeth Banks"
tt1397280,376141306,"Liam Neeson,  Maggie Grace,  Famke Janssen,  Rade Serbedzija,  Luke Grimes"
tt1397514,355692760,"Dwayne Johnson,  Josh Hutcherson,  Kristin Davis,  Vanessa Hudgens,  Luis GuzmÃ¡n"
tt1409024,624026776,"Will Smith,  Tommy Lee Jones,  Josh Brolin,  Michael Stuhlbarg,  Emma Thompson"
tt1430615,24719215,"Drew Barrymore,  John Krasinski,  Kristen Bell,  Vinessa Shaw,  Dermot Mulroney"
tt1430626,118338361,"Hugh Grant,  Brendan Gleeson,  Jeremy Piven,  Brian Blessed,  Salma Hayek"
tt1433811,3428048,"Jason Bateman,  Hope Davis,  Frank Grillo,  Paula Patton,  Michael Nyqvist"
tt1433822,9627492,"Ashley Greene,  Sebastian Stan,  Tom Felton,  Julianna Guill,  Luke Pasqualino"
tt1440129,303025485,"Taylor Kitsch,  Alexander SkarsgÃ¥rd,  Rihanna,  Brooklyn Decker,  Tadanobu Asano"
tt1441951,59520298,"Maggie Smith,  Tom Courtenay,  Billy Connolly,  Pauline Collins,  Michael Gambon"
tt1446192,306941670,"Chris Pine,  Alec Baldwin,  Jude Law,  Isla Fisher,  Hugh Jackman"
tt1446714,403170142,"Noomi Rapace,  Michael Fassbender,  Charlize Theron,  Idris Elba,  Guy Pearce"
tt1480656,6063556,"Robert Pattinson,  Sarah Gadon,  Juliette Binoche,  Paul Giamatti,  Samantha Morton"
