imdb_id,revenue,cast
tt0848228,1519557910,Robert Downey Jr.
tt0848228,1519557910, Chris Evans
tt0848228,1519557910, Mark Ruffalo
tt0848228,1519557910, Chris Hemsworth
tt0848228,1519557910, Scarlett Johansson
tt1496025,132400000,Kate Beckinsale
tt1496025,132400000, Stephen Rea
tt1496025,132400000, Michael Ealy
tt1496025,132400000, Theo James
tt1496025,132400000, India Eisley
tt1345836,1081041287,Christian Bale
tt1345836,1081041287, Michael Caine
tt1345836,1081041287, Gary Oldman
tt1345836,1081041287, Anne Hathaway
tt1345836,1081041287, Tom Hardy
tt1853728,425368238,Jamie Foxx
tt1853728,425368238, Christoph Waltz
tt1853728,425368238, Leonardo DiCaprio
tt1853728,425368238, Kerry Washington
tt1853728,425368238, Samuel L. Jackson
tt1074638,1108561013,Daniel Craig
tt1074638,1108561013, Judi Dench
tt1074638,1108561013, Javier Bardem
tt1074638,1108561013, Ralph Fiennes
tt1074638,1108561013, Naomie Harris
tt1194173,276572938,Jeremy Renner
tt1194173,276572938, Rachel Weisz
tt1194173,276572938, Edward Norton
tt1194173,276572938, Scott Glenn
tt1194173,276572938, Stacy Keach
tt0903624,1017003568,Ian McKellen
tt0903624,1017003568, Martin Freeman
tt0903624,1017003568, Richard Armitage
tt0903624,1017003568, Andy Serkis
tt0903624,1017003568, Cate Blanchett
tt1446714,403170142,Noomi Rapace
tt1446714,403170142, Michael Fassbender
tt1446714,403170142, Charlize Theron
tt1446714,403170142, Idris Elba
tt1446714,403170142, Guy Pearce
tt1045658,205738714,Bradley Cooper
tt1045658,205738714, Jennifer Lawrence
tt1045658,205738714, Robert De Niro
tt1045658,205738714, Jacki Weaver
tt1045658,205738714, Chris Tucker
tt0948470,752215857,Andrew Garfield
tt0948470,752215857, Emma Stone
tt0948470,752215857, Rhys Ifans
tt0948470,752215857, Denis Leary
tt0948470,752215857, Martin Sheen
tt1217209,538983207,Kelly Macdonald
tt1217209,538983207, Julie Walters
tt1217209,538983207, Billy Connolly
tt1217209,538983207, Emma Thompson
tt1217209,538983207, Kevin McKidd
