Index,imdb_id,revenue,cast
970,tt0848228,1519557910," Chris Hemsworth,  Chris Evans,  Scarlett Johansson,  Mark Ruffalo, Robert Downey Jr."
971,tt1496025,132400000," Stephen Rea,  Theo James, Kate Beckinsale,  Michael Ealy,  India Eisley"
972,tt1345836,1081041287," Tom Hardy,  Gary Oldman, Christian Bale,  Michael Caine,  Anne Hathaway"
973,tt1853728,425368238,"Jamie Foxx,  Leonardo DiCaprio,  Samuel L. Jackson,  Kerry Washington,  Christoph Waltz"
974,tt1074638,1108561013,"Daniel Craig,  Ralph Fiennes,  Javier Bardem,  Naomie Harris,  Judi Dench"
975,tt1194173,276572938,"Jeremy Renner,  Edward Norton,  Stacy Keach,  Rachel Weisz,  Scott Glenn"
976,tt0903624,1017003568," Richard Armitage, Ian McKellen,  Martin Freeman,  Cate Blanchett,  Andy Serkis"
977,tt1446714,403170142," Guy Pearce,  Michael Fassbender,  Idris Elba,  Charlize Theron, Noomi Rapace"
978,tt1045658,205738714," Robert De Niro,  Jacki Weaver,  Chris Tucker,  Jennifer Lawrence"
979,tt0948470,752215857," Denis Leary,  Emma Stone,  Martin Sheen,  Rhys Ifans, Andrew Garfield"
980,tt1217209,538983207," Kevin McKidd,  Emma Thompson,  Billy Connolly,  Julie Walters, Kelly Macdonald"
981,tt1735898,396600000," Chris Hemsworth,  Ian McShane,  Sam Claflin, Kristen Stewart,  Charlize Theron"
982,tt1232829,201585328," Ellie Kemper,  Dave Franco,  Brie Larson, Channing Tatum,  Jonah Hill"
983,tt0454876,609016565," Irrfan Khan,  Ayush Tandon, Suraj Sharma,  Adil Hussain,  Gautam Belur"
984,tt1667889,877244782," Denis Leary,  Chris Wedge, John Leguizamo,  Ray Romano"
985,tt1637725,549368315,"Mark Wahlberg,  Mila Kunis,  Giovanni Ribisi,  Seth MacFarlane,  Joel McHale"
986,tt0790724,218340595," David Oyelowo,  Werner Herzog, Tom Cruise,  Rosamund Pike"
987,tt1649419,180274123,"Naomi Watts,  Ewan McGregor,  Samuel Joslin,  Oaklee Pendergast"
988,tt1772341,471222889," Jack McBrayer,  Jamie Elman, John C. Reilly,  Jane Lynch"
989,tt1981677,115350426," Rebel Wilson, Anna Kendrick,  Anna Camp"
990,tt1409024,624026776," Emma Thompson, Will Smith,  Josh Brolin,  Michael Stuhlbarg,  Tommy Lee Jones"
991,tt1392170,691210692," Liam Hemsworth,  Josh Hutcherson, Jennifer Lawrence,  Elizabeth Banks,  Woody Harrelson"
992,tt1386703,198802074," Kate Beckinsale,  Bill Nighy,  Bryan Cranston, Colin Farrell,  Jessica Biel"
993,tt1371111,130482868," Jim Sturgess, Tom Hanks,  Hugo Weaving,  Jim Broadbent"
994,tt1764651,312573423," Jason Statham, Sylvester Stallone,  Bruce Willis,  Arnold Schwarzenegger"
995,tt1397280,376141306," Maggie Grace,  Luke Grimes,  Famke Janssen"
996,tt1077368,245527149,"Johnny Depp,  Jackie Earle Haley,  Helena Bonham Carter,  Michelle Pfeiffer,  Jonny Lee Miller"
997,tt1659337,33400000,"Logan Lerman,  Paul Rudd,  Ezra Miller,  Nina Dobrev"
998,tt1024648,232324128," John Goodman, Ben Affleck,  Alan Arkin,  Bryan Cranston"
999,tt1605630,234989584," Chris Klein,  Seann William Scott,  Alyson Hannigan, Jason Biggs,  Thomas Ian Nicholas"
1000,tt1915581,167221571,"Channing Tatum,  Matthew McConaughey,  Olivia Munn,  Cody Horn"
1001,tt1259521,66486080," Jesse Williams,  Anna Hutchison,  Fran Kranz,  Chris Hemsworth, Kristen Connolly"
1002,tt1446192,306941670," Hugh Jackman,  Isla Fisher,  Alec Baldwin, Chris Pine,  Jude Law"
1003,tt1606389,196114570," Jessica Lange, Rachel McAdams,  Scott Speedman,  Sam Neill,  Channing Tatum"
1004,tt1397514,355692760,"Dwayne Johnson,  Josh Hutcherson,  Vanessa Hudgens,  Luis GuzmÃ¡n,  Kristin Davis"
1005,tt1656190,40346186," Catherine Chan,  Chris Sarandon, Jason Statham,  Robert John Burke,  James Hong"
1006,tt1611224,112265139," Dominic Cooper,  Anthony Mackie, Benjamin Walker,  Mary Elizabeth Winstead"
1007,tt1374992,8106475," James Kidnie,  Heidi Hawkins,  Timothy Spall, Kirsten Dunst"
1008,tt1482459,348840316,"Zac Efron,  Danny DeVito,  Rob Riggle,  Taylor Swift,  Ed Helms"
1009,tt1748122,68263166," Edward Norton,  Jared Gilman,  Bill Murray"
1010,tt1343727,41037742," Wood Harris,  Olivia Thirlby,  Jason Cope,  Lena Headey"
1011,tt1440129,303025485,"Taylor Kitsch,  Alexander SkarsgÃ¥rd,  Tadanobu Asano,  Rihanna"
1012,tt1707386,441809770," Sacha Baron Cohen, Hugh Jackman,  Anne Hathaway,  Russell Crowe,  Amanda Seyfried"
1013,tt1667353,183018522," Nathan Lane,  Martin Klebba,  Armie Hammer,  Lily Collins"
1014,tt0401729,284139100," Willem Dafoe,  CiarÃ¡n Hinds, Taylor Kitsch,  Lynn Collins"
1015,tt1276104,47042000," Paul Dano,  Emily Blunt, Joseph Gordon-Levitt,  Noah Segan,  Bruce Willis"
1016,tt1673434,829000000," Robert Pattinson,  Peter Facinelli,  Taylor Lautner, Kristen Stewart"
1017,tt1790885,132820716," Mark Strong,  Jason Clarke,  Chris Pratt"
1018,tt1506999,33372606," Channing Tatum,  Ewan McGregor,  Bill Paxton, Gina Carano"
1019,tt1646987,301000000,"Sam Worthington,  Rosamund Pike,  Liam Neeson,  Edgar RamÃ­rez,  Ralph Fiennes"
1020,tt1800741,140470746," Megan Boone,  Ryan Guzman, Kathryn McCormick,  Jessica Guadix,  Stephen Boss"
1021,tt1706593,145000000,"Dane DeHaan,  Alex Russell,  Michael B. Jordan,  Anna Wood,  Michael Kelly"
1022,tt1591479,81272766," Nestor Serrano,  Gonzalo Menendez, Roselyn SÃ¡nchez,  Emilio Rivera"
1023,tt0837562,358375603," Selena Gomez, Adam Sandler,  David Spade,  Steve Buscemi"
1024,tt1855199,48126384," Natalie Martinez,  Anna Kendrick,  David Harbour, Jake Gyllenhaal,  Michael PeÃ±a"
1025,tt1586265,79700000," Elizabeth Banks,  Jennifer Lopez,  Brooklyn Decker, Cameron Diaz,  Anna Kendrick"
1026,tt1645170,179379533," Sayed Badreya, Sacha Baron Cohen,  Megan Fox"
1027,tt1636826,100000000," Dax Flame,  Thomas Mann,  Kirby Bliss Blanton,  Jonathan Daniel Brown"
1028,tt1524137,63100000," Kate Beckinsale,  J.K. Simmons,  Giovanni Ribisi, Mark Wahlberg,  Ben Foster"
1029,tt1277953,746921274," Chris Rock,  Sacha Baron Cohen, Ben Stiller,  Frances McDormand,  David Schwimmer"
1030,tt1212450,53676580," Jessica Chastain,  Tom Hardy,  Guy Pearce, Shia LaBeouf,  Mia Wasikowska"
1031,tt1486192,29657751," Kevin McNally, John Cusack,  Luke Evans,  Brendan Gleeson,  Alice Eve"
1032,tt1336608,59418613," Alec Baldwin,  Julianne Hough,  Bryan Cranston, Tom Cruise"
1033,tt1656186,2106557," Josh Lucas,  Malin Ã…kerman,  Sami Gayle, Nicolas Cage,  Danny Huston"
1034,tt1430626,118338361," Jeremy Piven,  Brendan Gleeson,  Brian Blessed, Hugh Grant,  Salma Hayek"
1035,tt1560747,28258060," Philip Seymour Hoffman,  Amy Adams,  Jesse Plemons,  Laura Dern"
1036,tt1195478,53909751," Rhys Ifans, Emily Blunt,  Alison Brie,  Chris Pratt,  Jason Segel"
1037,tt1758830,88058786," Jason Segel, Paul Rudd,  Leslie Mann,  Megan Fox,  Maude Apatow"
1038,tt1592525,32204030," Lennie James, Guy Pearce,  Maggie Grace,  Joseph Gilgun,  Peter Stormare"
1039,tt1655460,24159934," Jennifer Aniston, Paul Rudd,  Malin Ã…kerman,  Lauren Ambrose"
1040,tt1596365,127730736," Alisa Khazanova,  Mary Stockley,  Sidney Johnston, Daniel Radcliffe"
1041,tt1142977,81491068," Martin Short, Charlie Tahan,  Martin Landau,  Catherine O'Hara,  Winona Ryder"
1042,tt1232200,58058367,"Adam Sandler,  Eva Amurri Martino,  Leighton Meester,  Susan Sarandon"
1043,tt1599348,208076205,"Denzel Washington,  Joel Kinnaman,  Vera Farmiga,  Brendan Gleeson"
1044,tt1615065,47000000," Taylor Kitsch, Blake Lively,  Aaron Taylor-Johnson,  Benicio del Toro,  Salma Hayek"
