Index,revenue,cast
970,1519557910,Robert Downey Jr.
970,1519557910, Chris Evans
970,1519557910, Mark Ruffalo
970,1519557910, Chris Hemsworth
970,1519557910, Scarlett Johansson
971,132400000,Kate Beckinsale
971,132400000, Stephen Rea
971,132400000, Michael Ealy
971,132400000, Theo James
971,132400000, India Eisley
972,1081041287,Christian Bale
972,1081041287, Michael Caine
972,1081041287, Gary Oldman
972,1081041287, Anne Hathaway
972,1081041287, Tom Hardy
973,425368238,Jamie Foxx
973,425368238, Christoph Waltz
973,425368238, Leonardo DiCaprio
973,425368238, Kerry Washington
973,425368238, Samuel L. Jackson
974,1108561013,Daniel Craig
974,1108561013, Judi Dench
974,1108561013, Javier Bardem
974,1108561013, Ralph Fiennes
974,1108561013, Naomie Harris
975,276572938,Jeremy Renner
975,276572938, Rachel Weisz
975,276572938, Edward Norton
975,276572938, Scott Glenn
975,276572938, Stacy Keach
976,1017003568,Ian McKellen
976,1017003568, Martin Freeman
976,1017003568, Richard Armitage
976,1017003568, Andy Serkis
976,1017003568, Cate Blanchett
977,403170142,Noomi Rapace
977,403170142, Michael Fassbender
977,403170142, Charlize Theron
977,403170142, Idris Elba
977,403170142, Guy Pearce
978,205738714,Bradley Cooper
978,205738714, Jennifer Lawrence
978,205738714, Robert De Niro
978,205738714, Jacki Weaver
978,205738714, Chris Tucker
979,752215857,Andrew Garfield
979,752215857, Emma Stone
979,752215857, Rhys Ifans
979,752215857, Denis Leary
979,752215857, Martin Sheen
980,538983207,Kelly Macdonald
980,538983207, Julie Walters
980,538983207, Billy Connolly
980,538983207, Emma Thompson
980,538983207, Kevin McKidd
981,396600000,Kristen Stewart
981,396600000, Charlize Theron
981,396600000, Chris Hemsworth
981,396600000, Sam Claflin
981,396600000, Ian McShane
982,201585328,Channing Tatum
982,201585328, Jonah Hill
982,201585328, Brie Larson
982,201585328, Dave Franco
982,201585328, Ellie Kemper
983,609016565,Suraj Sharma
983,609016565, Irrfan Khan
983,609016565, Ayush Tandon
983,609016565, Gautam Belur
983,609016565, Adil Hussain
984,877244782,John Leguizamo
984,877244782, Ray Romano
984,877244782, Chris Wedge
984,877244782, Denis Leary
984,877244782, Seann William Scott
985,549368315,Mark Wahlberg
985,549368315, Mila Kunis
985,549368315, Seth MacFarlane
985,549368315, Joel McHale
985,549368315, Giovanni Ribisi
986,218340595,Tom Cruise
986,218340595, Rosamund Pike
986,218340595, Richard Jenkins
986,218340595, David Oyelowo
986,218340595, Werner Herzog
987,180274123,Naomi Watts
987,180274123, Ewan McGregor
987,180274123, Tom Holland
987,180274123, Samuel Joslin
987,180274123, Oaklee Pendergast
988,471222889,John C. Reilly
988,471222889, Sarah Silverman
988,471222889, Jane Lynch
988,471222889, Jack McBrayer
988,471222889, Jamie Elman
989,115350426,Anna Kendrick
989,115350426, Skylar Astin
989,115350426, Brittany Snow
989,115350426, Anna Camp
989,115350426, Rebel Wilson
990,624026776,Will Smith
990,624026776, Tommy Lee Jones
990,624026776, Josh Brolin
990,624026776, Michael Stuhlbarg
990,624026776, Emma Thompson
991,691210692,Jennifer Lawrence
991,691210692, Josh Hutcherson
991,691210692, Liam Hemsworth
991,691210692, Woody Harrelson
991,691210692, Elizabeth Banks
992,198802074,Colin Farrell
992,198802074, Kate Beckinsale
992,198802074, Jessica Biel
992,198802074, Bryan Cranston
992,198802074, Bill Nighy
993,130482868,Tom Hanks
993,130482868, Halle Berry
993,130482868, Jim Broadbent
993,130482868, Hugo Weaving
993,130482868, Jim Sturgess
994,312573423,Sylvester Stallone
994,312573423, Jason Statham
994,312573423, Dolph Lundgren
994,312573423, Bruce Willis
994,312573423, Arnold Schwarzenegger
995,376141306,Liam Neeson
995,376141306, Maggie Grace
995,376141306, Famke Janssen
995,376141306, Rade Serbedzija
995,376141306, Luke Grimes
996,245527149,Johnny Depp
996,245527149, Michelle Pfeiffer
996,245527149, Helena Bonham Carter
996,245527149, Jackie Earle Haley
996,245527149, Jonny Lee Miller
997,33400000,Logan Lerman
997,33400000, Emma Watson
997,33400000, Ezra Miller
997,33400000, Paul Rudd
997,33400000, Nina Dobrev
998,232324128,Ben Affleck
998,232324128, Bryan Cranston
998,232324128, Alan Arkin
998,232324128, John Goodman
998,232324128, Victor Garber
999,234989584,Jason Biggs
999,234989584, Alyson Hannigan
999,234989584, Seann William Scott
999,234989584, Chris Klein
999,234989584, Thomas Ian Nicholas
1000,167221571,Channing Tatum
1000,167221571, Matthew McConaughey
1000,167221571, Olivia Munn
1000,167221571, Cody Horn
1000,167221571, Alex Pettyfer
1001,66486080,Kristen Connolly
1001,66486080, Chris Hemsworth
1001,66486080, Anna Hutchison
1001,66486080, Fran Kranz
1001,66486080, Jesse Williams
1002,306941670,Chris Pine
1002,306941670, Alec Baldwin
1002,306941670, Jude Law
1002,306941670, Isla Fisher
1002,306941670, Hugh Jackman
1003,196114570,Rachel McAdams
1003,196114570, Channing Tatum
1003,196114570, Sam Neill
1003,196114570, Scott Speedman
1003,196114570, Jessica Lange
1004,355692760,Dwayne Johnson
1004,355692760, Josh Hutcherson
1004,355692760, Kristin Davis
1004,355692760, Vanessa Hudgens
1004,355692760, Luis GuzmÃ¡n
1005,40346186,Jason Statham
1005,40346186, Chris Sarandon
1005,40346186, James Hong
1005,40346186, Catherine Chan
1005,40346186, Robert John Burke
1006,112265139,Benjamin Walker
1006,112265139, Dominic Cooper
1006,112265139, Anthony Mackie
1006,112265139, Mary Elizabeth Winstead
1006,112265139, Rufus Sewell
1007,8106475,Kirsten Dunst
1007,8106475, Jim Sturgess
1007,8106475, Timothy Spall
1007,8106475, James Kidnie
1007,8106475, Heidi Hawkins
1008,348840316,Zac Efron
1008,348840316, Danny DeVito
1008,348840316, Taylor Swift
1008,348840316, Ed Helms
1008,348840316, Rob Riggle
1009,68263166,Bruce Willis
1009,68263166, Edward Norton
1009,68263166, Jared Gilman
