Index,imdb_id,genres
276,tt0448011, Drama
336,tt0375568, Science Fiction
392,tt0963966,Fantasy
392,tt0963966, Adventure
1346,tt0399295, Thriller
1675,tt0465234, Thriller
914,tt0268126, Drama
727,tt1502404,Fantasy
825,tt1674784, Drama
276,tt0448011, Mystery
276,tt0448011, Science Fiction
1683,tt0259324,Thriller
1675,tt0465234,Action
921,tt0245562, History
825,tt1674784,Crime
168,tt2467046,Thriller
1473,tt0429589, Adventure
784,tt0479997, Action
1033,tt1656186, Thriller
1568,tt0368891, Thriller
1473,tt0429589, Comedy
330,tt1095217, Crime
687,tt0814022,Action
1818,tt0187078,Action
1683,tt0259324, Horror
168,tt2467046, Action
1509,tt0469641, Thriller
276,tt0448011, Adventure
1675,tt0465234, Adventure
392,tt0963966, Drama
1838,tt0218967, Drama
764,tt1071875, Thriller
276,tt0448011,Action
1509,tt0469641, History
764,tt1071875, Fantasy
727,tt1502404, Action
1033,tt1656186, Crime
1838,tt0218967, Fantasy
1675,tt0465234, Mystery
727,tt1502404, Thriller
833,tt1214962, Drama
1838,tt0218967, Romance
1818,tt0187078, Crime
1473,tt0429589, Family
336,tt0375568, Action
1473,tt0429589, Animation
687,tt0814022, Crime
1473,tt0429589,Fantasy
1224,tt0481499, Comedy
825,tt1674784, Thriller
914,tt0268126, Crime
833,tt1214962, Thriller
