Index,imdb_id,genres
168,tt2467046," Action,  Science Fiction, Thriller"
276,tt0448011," Adventure,  Drama, Action,  Science Fiction"
330,tt1095217," Crime, Drama"
336,tt0375568,"Animation,  Family,  Action"
386,tt1250777, Crime
392,tt0963966," Comedy, Fantasy,  Drama,  Action,  Adventure"
687,tt0814022," Crime, Action,  Thriller"
727,tt1502404,"Fantasy,  Thriller,  Crime,  Action"
764,tt1071875," Thriller,  Fantasy, Action"
784,tt0479997," Action, Adventure,  Fantasy"
825,tt1674784,"Crime,  Thriller,  Drama"
833,tt1214962,"Action,  Thriller,  Drama"
914,tt0268126," Crime,  Drama, Comedy"
921,tt0245562," History, Drama,  Action,  War"
1033,tt1656186," Crime,  Drama, Action"
1224,tt0481499," Comedy,  Fantasy,  Animation, Adventure"
1280,tt2005374,"Thriller,  Crime"
1346,tt0399295," Drama,  Thriller, Crime"
1390,tt0384680," Drama, Comedy"
1473,tt0429589," Comedy,  Animation, Fantasy,  Family,  Adventure"
1509,tt0469641," History, Drama,  Thriller"
1568,tt0368891," Thriller,  Action, Adventure,  Mystery"
1675,tt0465234," Mystery,  Thriller,  Adventure, Action"
1683,tt0259324," Horror, Thriller,  Action,  Fantasy"
1722,tt0435705," Thriller, Action,  Science Fiction"
1818,tt0187078,"Action,  Thriller,  Crime"
1838,tt0218967," Romance,  Fantasy, Comedy,  Drama"
