title_length,production_companies
8, CBS Films
15, Happy Madison Productions
19,Celador Films
10, Dentsu
10, Metro-Goldwyn-Mayer (MGM)
25, Jerry Bruckheimer Films
10,Oceana Media Finance
10, Genre Films
8, C.O.R.E. Feature Animation
14, Robert Simonds Productions
21, China Film Co-Production Corporation
32, Nouvelles Ã‰ditions de Films (NEF)
5,Universal Pictures
20,20th Century Fox
10, Scott Free Productions
7,Columbia Pictures
10, Troublemaker Studios
14,Village Roadshow Pictures
6,Lionsgate
11, Scott Free Productions
8,Blumhouse Productions
5, Pinewood Studios
29, Three Strange Angels
13, Carousel Picture Company
13,Village Roadshow Pictures
15, Canal+
12, Top Rope
13, Flan de Coco Films
10, TÃ©lÃ©film Canada
14, Imaginary Forces
18, Film i VÃ¤st
42, Second Mate Productions
12, Pathe
16,Fox 2000 Pictures
14,Universal Pictures
7, StudioCanal
25,Mandalay Pictures
9, Malpaso Productions
19, Cort/Madden Productions
16, The
10, Universal Pictures International (UPI)
8,Columbia Pictures
10, LStar Capital
5, The
12, Warner Bros.
7, AFG Talons Productions
12,Legendary Pictures
8, Y Productions
9, Big Primate Pictures
8,Village Roadshow Pictures
13, Bona Fide Productions
24,Impact Pictures
3,Columbia Pictures Corporation
8, Scott Free Productions
8, Donners' Company
13, DNA Films
7,Cinerenta Medienbeteiligungs KG
18, Village Roadshow Pictures
8, Mediastream Vierte Film GmbH & Co. Vermarktungs KG
13,Universal Pictures
14, Section Eight
18, Davis Entertainment
22,Columbia Pictures
9, Dune Entertainment III
7, Columbia Pictures Corporation
35, Amblin Entertainment
14,Treehouse Pictures
13,20th Century Fox
13, StudioCanal
9,Dimension Films
8, Flynn Picture Company
16,BBC Films
11, Lawrence Bender Productions
6, Charenton Productions
17, Government of Malta
18,Birdsong Pictures
14,Universal Pictures
15, Strike Entertainment
8,Darkwoods Productions
20,Imagine Entertainment
3, Media Rights Capital
15, Working Title Films
14, Everyman Pictures
5, Marvel Enterprises
10, Underworld Produktions GmbH
14, EuropaCorp
19, Davis Entertainment
11,Universal Pictures
25,Big Beach Productions
8, Lion Rock Productions
17, Morgan Creek Productions
4, Walt Disney Animation Studios
16,Fox Searchlight Pictures
9, Adam Schroeder Productions
16, MacDonald/Parkes Productions
8, Miramax
7, Lawrence Gordon Productions
14, Constantin Film.
7, Great Wight Productions/ Osford Films
56, Walden Media
22, Warner Bros.
3,Universal Pictures
3,Universal Pictures
19, The
7,Paramount Pictures
9, Film4
21,Twentieth Century Fox Film Corporation
8,Legendary Pictures
36,Blumhouse Productions
13, Dimension Films
9,DreamWorks SKG
40, Nickelodeon Movies
8,Universal Pictures
14,Universal Pictures
15, Warner Bros.
18, Regency Enterprises
4, QED International
16, River Road Entertainment
15, Stuber Productions
12, Trancas International Films
9, Many Rivers Productions
10, Endgame Entertainment
12, Appian Way
9, Blinding Edge Pictures
14, Universal Pictures
10,Atlas Entertainment
11, Sony Pictures Entertainment (SPE)
18,Columbia Pictures Corporation
5, Millennium Films
10,Universal Pictures
12,Village Roadshow Pictures
12, Cheyenne Enterprises
9,Touchstone Pictures
31,Lionsgate
20, Zehnte Babelsberg
7, Whamaphram Productions
14,DNA Films
22, Apatow Productions
13, Pariah Entertainment Group
8,Gary Sanchez Productions
12, Pixar Animation Studios
3, Province of British Columbia Production Services Tax Credit
21, DisneyToon Studios
8,Imagine Entertainment
10,Relativity Media
11,Jerry Bruckheimer Films
11, Flynn Picture Company
9, Clubdeal
9, Screenland Pictures
9, Kennedy/Marshall Company
28,Lonely Film Productions GmbH & Co. KG.
15, Rat Entertainment
9, Brothers Dowdle Productions
18, Bristol Automotive
14, Touchstone Pictures
8, Province of British Columbia Film Incentive BC
19, Hypnotic
8,Spyglass Entertainment
18, Dante Entertainment
4,Twentieth Century Fox Film Corporation
26,Warner Independent Pictures (WIP)
20, Ludlum Entertainment
17, Regency Enterprises
15, Legendary Pictures
8, Pioneer Pictures
19,Working Title Films
24, Participant Media
22,Original Film
5, Number 9 Films
49,WingNut Films
13, Broken Road Productions
12, MTV Films
7, Radar Pictures
28, Baltimore Spring Creek Productions
3, Legendary Pictures
9, Montecito Picture Company
10, Original Film
4, De Milo
15, Zephyr Films
16, Double Feature Films
9,Twentieth Century Fox Film Corporation
21, Atmosphere Entertainment MM
16,New Line Cinema
8, Columbia Pictures Corporation
18,DreamWorks SKG
18,New Line Cinema
10,Columbia Pictures
8,Paramount Pictures
9,Hammer Film Productions
6, SKA Films
19, Montecito Picture Company
12,Summit Entertainment
17, Infogrames Entertainment
10, Eden Rock Media
12, Wes Craven Films
26, Neal Street Productions
12,Warner Bros. Pictures
8, Wessler Entertainment
24, Reliance Entertainment
31, Hasbro
7, Castel Film Romania
10, Wintergreen Productions
38,Warner Bros.
8,Scott Free Productions
11,Dune Entertainment
20, Province of British Columbia Production Services Tax Credit
35,Columbia Pictures
17,Appian Way
8, Ocean Pictures
50, Fox 2000 Pictures
7,DreamWorks SKG
11,Bac Films
17, DreamWorks SKG
17, K5 International
17, X-Filme Creative Pool
8, Bob Yari Productions
12, Cruel and Unusual Films
9,Universal Pictures
14, Zide-Perry Productions
13, Illumination Entertainment
11, Isle of Man Film
20, Lauren Levine Productions Inc.
21, New Wave Entertainment
6, Kalis Productions GmbH & Co. Zweite KG
9, Skydance Productions
28, Warner Bros.
8, Vaughn Productions
15, Fellowship Adventure Group
31, Big Screen Productions
18, De Line Pictures
13, Castelao Producciones
20, Ecosse Films
16, Madacy Entertainment
18,Regency Enterprises
4, Good Machine
26, Province of British Columbia Production Services Tax Credit
10, DreamWorks Animation
11, Mark Canton Productions
11, Canal+Polska
7, Canal+
13, Donners' Company
8,Nick Wechsler Productions
10,Universal Pictures
14, Emmett/Furla Films
4,Walt Disney Pictures
12, Di Bonaventura Pictures
19, Spyglass Entertainment
7, Gulfstream Pictures
19, Craven-Maddalena Films
25, Millar Gough Ink
24, Vertigo Entertainment
16, Castle Rock Entertainment
15, Castle Rock Entertainment
10,Lionsgate
9, Seed Productions
7,Miramax Films
28, TSG Entertainment
23, Warner Bros.
10, NPV Entertainment
12,Regency Enterprises
12, Working Title Films
5, Pacific Data Images (PDI)
30, Studio Babelsberg
25,Walt Disney Pictures
7, Aversano Films
10, Apatow Productions
17, Dune Films
5, Metrol Technology
36,Universal Pictures
13, MBC Beteiligungs Filmproduktion
9, Lakeshore Entertainment
19, Annapurna Pictures
28,The Weinstein Company
14, Mediastream Dritte Film
12, Muse Entertainment Enterprises
7, Black Label Media
14, Dune Entertainment
7,Regency Enterprises
9, Kennedy/Marshall Company
9,DreamWorks SKG
7,Cheyenne Enterprises
8, Ingenious Media
36, TC Productions
25, Warner Independent Pictures (WIP)
7, Newmarket Capital Group
13, Canal+
8,Paramount Pictures
10, Warner Bros.
10,Summit Entertainment
11, Dimension Films
11,Regency Enterprises
15, Stillking Films
14,United Artists
10,Metanoia Films
12, DreamWorks Animation
26, Mad Hatter Entertainment
18,Paramount Pictures
7, Color Force
8, Open Road Films
14, FilmNation Entertainment
19, Roth Films
14,Summit Entertainment
41, Sunswept Entertainment
30, UW3 Film Productions
16, Warner Bros.
12,Village Roadshow Pictures
16, Happy Madison Productions
9, Abandon Entertainment
30, Di Bonaventura Pictures
12, NPV Entertainment
10,Dune Entertainment
17, Working Title Films
21, Samuels Media
15, Wildwood Enterprises
18, The
12, Imagenation Abu Dhabi FZ
22, Chernin Entertainment
8, Thunder Road Pictures
12, Amblin Entertainment
