original_title,title_length,production_companies
(500) Days of Summer,20," Watermark,  Dune Entertainment III, Fox Searchlight Pictures"
"10,000 BC",9," Moonlighting Films,  The Department of Trade and Industry of South Africa,  Legendary Pictures,  Warner Bros., Centropolis Entertainment"
102 Dalmatians,14," Cruella Productions, Walt Disney Pictures"
12 Rounds,9," Fox Atomic,  WWE Studios,  20th Century Fox Home Entertainment, The Mark Gordon Company,  Midnight Sun Pictures"
12 Years a Slave,16," River Road Entertainment, Plan B Entertainment,  Regency Enterprises,  New Regency Pictures,  Film4"
127 Hours,9," Cloud Eight Films,  Warner Bros.,  Darlow Smithson Productions,  Dune Entertainment, Fox Searchlight Pictures"
13 Going On 30,14," Revolution Studios,  Thirteen Productions, Columbia Pictures"
1408,4,Dimension Films
15 Minutes,10," Industry Entertainment,  Tribeca Productions, New Line Cinema,  New Redemption Pictures"
16 Blocks,9,"Donners' Company,  Alcon Entertainment,  Cheyenne Enterprises,  Nu Image Entertainment GmbH,  Millennium Films"
17 Again,8," Offspring Entertainment, New Line Cinema"
2 Fast 2 Furious,16," Universal Pictures,  Original Film,  Ardustry Entertainment, Mikona Productions GmbH & Co. KG"
2 Guns,6," Marc Platt Productions,  Emmett/Furla Films, Universal Studios,  Envision Entertainment Corporation"
2012,4," Centropolis Entertainment,  The Mark Gordon Company, Columbia Pictures,  Farewell Productions"
21,2,"Columbia Pictures,  Relativity Media"
21 & Over,9," Virgin Produced, Relativity Media,  Mandeville Films,  SkyLand Entertainment"
21 Grams,8,"This Is That Productions,  Y Productions,  Mediana Productions Filmgesellschaft"
21 Jump Street,14,"Columbia Pictures,  Stephen J. Cannell Productions,  Relativity Media,  Metro-Goldwyn-Mayer (MGM),  Original Film"
22 Jump Street,14," Media Rights Capital,  Cannell Studios, Columbia Pictures,  Original Film,  Metro-Goldwyn-Mayer (MGM)"
27 Dresses,10,"Spyglass Entertainment,  Dune Entertainment III,  Fox 2000 Pictures"
28 Days Later...,16," British Film Council, DNA Films"
28 Weeks Later,14," Fox Atomic,  UK Film Council,  Figment Films, DNA Films,  Sociedad General de Cine S.A."
3 Idiots,8,Vidhu Vinod Chopra Productions
30 Days of Night,16," HorrorFlix, Columbia Pictures,  Dark Horse Entertainment,  Ghost House Pictures"
30 Minutes or Less,18,Columbia Pictures
300,3," Atmosphere Entertainment MM,  Warner Bros.,  Legendary Pictures, Virtual Studios,  Hollywood Gang Productions"
3000 Miles to Graceland,23," Morgan Creek Productions, Franchise Pictures,  Warner Bros."
300: Rise of an Empire,22," Nimar Studios, Legendary Pictures,  Warner Bros.,  Hollywood Gang Productions,  Atmosphere Entertainment MM"
3:10 to Yuma,12," Relativity Media,  Lionsgate, Tree Line Films,  Yuma"
42,2,Warner Bros.
47 Ronin,8," Moving Picture Company (MPC),  Universal, Mid Atlantic Films,  Stuber Productions,  H2F Entertainment"
4: Rise of the Silver Surfer,28," 1492 Pictures,  Twentieth Century Fox Film Corporation, Ingenious Film Partners,  Constantin Film Produktion,  Dune Entertainment"
50 First Dates,14,"Columbia Pictures Corporation,  Flower Films (II),  Happy Madison Productions,  Anonymous Content"
50/50,5,"Summit Entertainment,  Mandate Pictures"
8 Mile,6," Mikona Productions GmbH & Co. KG, Imagine Entertainment"
88 Minutes,10," Brightlight Pictures,  Nu Image Entertainment, TriStar Pictures"
9,1," Relativity Media, Focus Films,  Tim Burton Productions,  Arc Productions,  Starz Animation"
A Beautiful Mind,16,"Imagine Entertainment,  Universal Pictures,  DreamWorks SKG"
A Christmas Carol,17," ImageMovers, Walt Disney"
A Cinderella Story,18,"Gaylord Films,  Clifford Werber Productions,  Dylan Sellers Productions,  Warner Bros."
A Dangerous Method,18," Lago Film,  Millbrook Pictures,  The Movie Network,  Prospero Pictures, Recorded Pictures Company"
A Good Day to Die Hard,22," Big Screen Productions,  Dune Entertainment,  Twentieth Century Fox Film Corporation,  Mid Atlantic Films, Ingenious Media"
A Good Year,11,"Fox 2000 Pictures,  Scott Free Productions"
A Guy Thing,11," David Ladd Films, Metro-Goldwyn-Mayer (MGM)"
A History of Violence,21," DC Comics, New Line Cinema,  BenderSpink"
A Knight's Tale,15," Finestkind,  Escape Artists,  Black and Blu Entertainment, Columbia Pictures Corporation"
A Lot Like Love,15," Touchstone Pictures,  Beacon Pictures,  Kevin Messick Productions, Mile High Productions"
A Man Apart,11," Newman/Tooley Films, New Line Cinema,  Joseph Nittolo Entertainment,  ""DIA"" Productions GmbH & Co. KG"
A Mighty Heart,14,"Plan B Entertainment,  Paramount Vantage,  Revolution Films"
A Mighty Wind,13,Castle Rock Entertainment
A Most Violent Year,19," Before the Door Pictures,  Imagenation Abu Dhabi FZ,  Washington Square Films, Participant Media,  FilmNation Entertainment"
A Nightmare on Elm Street,25," Platinum Dunes, New Line Cinema"
A Perfect Getaway,17,"Davis Entertainment,  QED International,  Tooley Productions,  Relativity Media,  Rogue"
A Scanner Darkly,16," Section Eight Productions,  Detour Filmproduction, Thousand Words,  Warner Independent Pictures (WIP)"
A Serious Man,13," Focus Features,  Relativity Media, Mike Zoss Productions,  Working Title Films,  Studio Canal"
A Sound of Thunder,18,"Epsilon Motion Pictures,  Crusader Entertainment,  Baldwin Entertainment Group,  Dante Entertainment,  Franchise Pictures"
