original_title,production_companies
Sweeney Todd: The Demon Barber of Fleet Street, Zanuck Company
The Core,Paramount Pictures
The Equalizer,Columbia Pictures
Journey 2: The Mysterious Island,New Line Cinema
Jarhead, Neal Street Productions
Brokeback Mountain, Good Machine
Alpha and Omega, Relativity Media
Johnny English, StudioCanal
Remember the Titans,Walt Disney Pictures
Big Fish, Columbia Pictures Corporation
Tooth Fairy, Walden Media
A Serious Man, Working Title Films
Monte Carlo, Regency Enterprises
Old Dogs,Walt Disney Pictures
BloodRayne,Boll KG
Rent, 1492 Pictures
The Hundred-Foot Journey, Harpo Films
Lo imposible, Canal+ Espa̱a
The Man from U.N.C.L.E.,Davis Entertainment
We Bought a Zoo, LBI Entertainment
Bride Wars,Dune Entertainment
Furry Vengeance,Summit Entertainment
The Cabin in the Woods,Lionsgate
Battleship, Film 44
Bruce Almighty, Pit Bull Productions
The Guardian,Contrafilm
Rambo, Emmett/Furla Films
High Fidelity,Buena Vista
The Express, IDEA Filmproduktions
Django Unchained,Columbia Pictures
Underworld,Lakeshore Entertainment
A Dangerous Method, Lago Film
Indiana Jones and the Kingdom of the Crystal Skull, Paramount Pictures
Don't Say a Word, NPV Entertainment
The Rocker,Fox Atomic
Dirty Dancing: Havana Nights, Lawrence Bender Productions
Twisted, Blackout Productions Inc.
K-19: The Widowmaker, Palomar Pictures (II)
Insomnia, Alcon Entertainment
Clockstoppers, Valhalla Motion Pictures
Hercules, Metro-Goldwyn-Mayer (MGM)
Legion,Bold Films
Eternal Sunshine of the Spotless Mind,Anonymous Content
What Happens in Vegas, Penn Station Entertainment
Wedding Crashers,New Line Cinema
The Girl Next Door, Daybreak
The Day After Tomorrow, Mark Gordon Productions
Fahrenheit 9/11, Fellowship Adventure Group
Fire with Fire,Industry Entertainment
Trapped,Senator Film Produktion
Elysium, QED International
Victor Frankenstein,Twentieth Century Fox Film Corporation
Pay It Forward, Warner Bros.
Bring It On,Beacon Communications
Memento, Newmarket Capital Group
The Punisher, VIP 3 Medienfonds
The Matrix Reloaded,Village Roadshow Pictures
The Rum Diary,FilmEngine
The League of Extraordinary Gentlemen, International Production Company
No Escape,Bold Films
