original_title,title_length,production_companies
Sherlock Holmes,15, Internationale Filmproduktion Blackbird Dritte
Silent Hill,11, Davis-Films
Attack the Block,16, Studio Canal
A Serious Man,13, Relativity Media
Blue Crush,10, Mikona Productions GmbH & Co. KG
Kingsman: The Secret Service,28,Twentieth Century Fox Film Corporation
Green Lantern,13,De Line Pictures
Out of the Furnace,18, Red Granite Pictures
What Happens in Vegas,21, Mosaic Media Group
The Danish Girl,15, Working Title Films
Captain America: The First Avenger,34,Marvel Studios
The Chronicles of Narnia: The Voyage of the Dawn Treader,56, Fox 2000 Pictures
Did You Hear About The Morgans?,31, Relativity Media
Ladder 49,9, Fantail Films Inc.
Ghost Ship,10,Village Roadshow Pictures
Into the Storm,14,New Line Cinema
The Lego Movie,14, Vertigo Entertainment
A Thousand Words,16, Varsity Pictures
Bandslam,8, Walden Media
I Know Who Killed Me,20, 360 Pictures
The Road,8,2929 Productions
Nanny McPhee,12, Studio Canal
Cars 2,6, Pixar Animation Studios
London Boulevard,16, Henceforth
Ð¡Ñ‚Ð°Ð»Ð¸Ð½Ð³Ñ€Ð°Ð´,20,Art Pictures Studio
My Best Friend's Girl,21, Superfinger Entertainment
Kicking & Screaming,19,Universal Pictures
The Good Dinosaur,17, Buena Vista
Sicario,7, Thunder Road Pictures
A Dangerous Method,18, Millbrook Pictures
Starsky & Hutch,15, Dimension Films
Hot Tub Time Machine,20,United Artists
Jack Reacher,12, Mutual Film Company
Are We There Yet?,17, Revolution Studios
Syriana,7,Section Eight
27 Dresses,10,Spyglass Entertainment
Man on Fire,11,Regency Enterprises
The Weather Man,15,Paramount Pictures
Kiss of the Dragon,18, EuropaCorp
The Master,10, The Weinstein Company
Speed Racer,11,Village Roadshow Pictures
Smart People,12, Corduroy Films
Side Effects,12, Universal
J. Edgar,8, Malpaso Productions
St. Vincent,11,The Weinstein Company
21,2, Relativity Media
Chicago,7, Producers Circle
The Conjuring,13, Evergreen Media Group
Clash of the Titans,19, Thunder Road Pictures
The Matrix Revolutions,22, NPV Entertainment
Outlander,9, Virtual Films
The Manchurian Candidate,24,Paramount Pictures
Epic Movie,10, Paul Schiff Productions
The Next Three Days,19,Lionsgate
Carnage,7, Canal+
The Incredible Burt Wonderstone,31,New Line Cinema
Johnson Family Vacation,23, Bird and a Bear Entertainment
This Must Be the Place,22,ARP SÃ©lection
White House Down,16,Columbia Pictures
The Core,8,Paramount Pictures
Magic Mike XXL,14,Warner Bros.
Stuck on You,12,Twentieth Century Fox Film Corporation
The Perfect Game,16, Prelude Pictures
Sky Captain and the World of Tomorrow,37, Natural Nylon Entertainment
Apollo 18,9,Bazelevs Production
No Country for Old Men,22,Miramax Films
Two Weeks Notice,16,Village Roadshow Pictures
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,83, Four By Two Productions
The Interpreter,15, Misher Films
Tropic Thunder,14,DreamWorks SKG
The Animal,10,Revolution Studios
Meet Dave,9, Regency Enterprises
What Happens in Vegas,21, Regency Enterprises
Philomena,9, Yucaipa Films
Repo Men,8, Relativity Media
A Perfect Getaway,17, Rogue
The Alamo,9, Touchstone Pictures
The Internship,14, Regency Enterprises
The Exorcism of Emily Rose,26, Screen Gems
The Skulls,10, Cranium Films
The Legend of Hercules,22,Millennium Films
The Wolf of Wall Street,23, EMJAG Productions
Pan,3, Moving Picture Company (MPC)
The Twilight Saga: Breaking Dawn - Part 2,41, Temple Hill Entertainment
Philomena,9, PathÃ©
Boys and Girls,14,Dimension Films
The Switch,10, Bona Fide Productions
After Earth,11, Overbrook Entertainment
Non-Stop,8,StudioCanal
No Escape,9,Bold Films
The Lord of the Rings: The Fellowship of the Ring,49, The Saul Zaentz Company
The Others,10, Las Producciones del Escorpion
Jumper,6, Hypnotic
Jurassic World,14,Universal Studios
The Mortal Instruments: City of Bones,37, Unique Features
Snitch,6, Spitfire Pictures
A Mighty Heart,14, Revolution Films
Dracula 2000,12, Dimension Films
The Haunted Mansion,19,Walt Disney Pictures
The Musketeer,13, ApolloMedia Distribution
Club Dread,10,Fox Searchlight Pictures
On the Road,11, Vanguard Films
Transsiberian,13, Telecinco Cinema
Public Enemies,14, Forward Pass
The Grudge,10, Colombia Pictures
A Beautiful Mind,16,Imagine Entertainment
Constantine,11, Lonely Film Productions GmbH & Co. KG.
Jack and Jill,13,Columbia Pictures
Open Range,10,Tig Productions
Night at the Museum,19,Ingenious Film Partners
Aloha,5, RatPac Entertainment
The Big Year,12, Sunswept Entertainment
Twilight,8, Goldcrest Pictures
Mamma Mia!,10,Universal Pictures
Oculus,6, MICA Entertainment
Shorts,6,Warner Bros. Pictures
The Four Feathers,17,Paramount Pictures
Erin Brockovich,15,Jersey Films
The Punisher,12, VIP 2 Medienfonds
Cinderella Man,14,Miramax Films
Van Helsing,11, The
The Nanny Diaries,17, FilmColony
State of Play,13,Universal Pictures
Role Models,11, Internationale Filmproduktion Stella-del-SÃ¼d
12 Years a Slave,16, Film4
A Beautiful Mind,16, DreamWorks SKG
Wall Street: Money Never Sleeps,31, Dune Entertainment
Gran Torino,11, Malpaso Productions
Anger Management,16, Happy Madison Productions
Nick and Norah's Infinite Playlist,34, Mandate Pictures
The Secret Life of Walter Mitty,31, Big Screen Productions
Treasure Planet,15, Walt Disney Feature Animation
Kill Bill: Vol. 2,17,Miramax Films
The Purge: Anarchy,18, Platinum Dunes
Fast & Furious 6,16, Original Film
Starsky & Hutch,15,Weed Road Pictures
Gravity,7,Warner Bros.
Scary Movie 2,13,Gold/Miller Productions
Rendition,9, MID Foundation
Into the Blue,13,Columbia Pictures Corporation
Silver Linings Playbook,23,The Weinstein Company
Finding Nemo,12,Walt Disney Pictures
Love in the Time of Cholera,27, Grosvenor Park Media Ltd.
Land of the Lost,16,Universal Pictures
The Girl Next Door,18, Daybreak
The Texas Chainsaw Massacre,27, Radar Pictures
The Hobbit: An Unexpected Journey,33, New Line Cinema
Legend of the Guardians: The Owls of Ga'Hoole,45, Cruel and Unusual Films
St. Vincent,11, Chernin Entertainment
28 Weeks Later,14, Sociedad General de Cine S.A.
The Musketeer,13, MDP Worldwide
A Sound of Thunder,18, Crusader Entertainment
Bridget Jones's Diary,21, Studio Canal
Not Another Teen Movie,22,Original Film
What Happens in Vegas,21, 21 Laps Entertainment
Fire with Fire,14, Paradox Entertainment
The Butterfly Effect,20, BenderSpink
Just Go With It,15,Columbia Pictures
Safe House,10,Universal Pictures
Clash of the Titans,19, Legendary Pictures
What Women Want,15, Wind Dancer Productions
Contraband,10, StudioCanal
The Danish Girl,15, ArtÃ©mis Productions
The Day After Tomorrow,22,Lions Gate Films
Lucy,4,Universal Pictures
Seventh Son,11, Outlaw Sinema
We Are Marshall,15, Wonderland Sound and Vision
The Hurt Locker,15, Voltage Pictures
The Purge: Anarchy,18, 5150 Action
Reno 911!: Miami,16,20th Century Fox
Scott Pilgrim vs. the World,27, Marc Platt Productions
Fifty Shades of Grey,20, Michael De Luca Productions
The Devil Wears Prada,21, Fox 2000 Pictures
A Sound of Thunder,18,Epsilon Motion Pictures
Brick Mansions,14, CinÃ©+
Jumping the Broom,17, TDJ Enterprises / New Dimensions Entertainment
A Sound of Thunder,18, Dante Entertainment
Monster House,13,Columbia Pictures
Big Fish,8, Columbia Pictures Corporation
Frailty,7, David Kirschner Productions
Pitch Black,11, Polygram Filmed Entertainment
The Adventures of Rocky & Bullwinkle,36, Capella International
The Revenant,12, CatchPlay
Xin shao lin si,15,Emperor Motion Pictures
John Tucker Must Die,20, John US Productions
Lilo & Stitch,13,Walt Disney Pictures
The Skulls,10,Universal Pictures
The Jacket,10,Section Eight
Grown Ups 2,11,Columbia Pictures
Pirates of the Caribbean: At World's End,40,Walt Disney Pictures
Orphan,6, Studio Babelsberg StudioBabelsberg Motion Pictures
Dallas Buyers Club,18,Universal Studios
Rules of Engagement,19, Munich Film Partners & Company (MFP) ROE Production
He's Just Not That Into You,27, Flower Films (II)
The Five-Year Engagement,24, Stoller Global Solutions
Shark Tale,10,DreamWorks SKG
Hardball,8,Paramount Pictures
Bridget Jones: The Edge of Reason,33, Atlantic Television
Killer Elite,12,Current Entertainment
The SpongeBob SquarePants Movie,31, Paramount Animation
The Mummy: Tomb of the Dragon Emperor,37, China Film Co-Production Corporation
Spring Breakers,15, Division Films
The Perfect Storm,17, Baltimore Spring Creek Productions
Sherlock Holmes,15, Warner Bros.
U-571,5,Universal Pictures
The SpongeBob Movie: Sponge Out of Water,40, Nickelodeon Animation Studios
Exodus: Gods and Kings,22, Babieka
Into the Wild,13,Paramount Vantage
Ex Machina,10, Film4
The Perks of Being a Wallflower,31,Summit Entertainment
Fantastic Four,14, Marvel Entertainment
Elf,3,New Line Cinema
The Incredibles,15,Walt Disney Pictures
American Hustle,15, Annapurna Pictures
Fast Five,9,Universal Pictures
Enemy at the Gates,18, Swanford Films
Hanna,5, Neunte Babelsberg Film
Miss Congeniality,17, Castle Rock Entertainment
Cast Away,9, Playtone
The Departed,12, Plan B Entertainment
"Dude, Whereâ€™s My Car?",23,Twentieth Century Fox Film Corporation
Memento,7,Summit Entertainment
The Kingdom,11, MDBF Zweite Filmgesellschaft
Failure to Launch,17, Scott Rudin Productions
Contagion,9,Double Feature Films
Zoolander,9, Village Roadshow Pictures
The Longest Yard,16, Happy Madison Productions
Lone Survivor,13,Universal Pictures
This Is the End,15, Mandate Pictures
The Grey,8, Inferno Distribution
Becoming Jane,13, Bueprint Pictures
Grown Ups,9, Happy Madison Productions
Armored,7, Buckaroo Entertainment
Transformers: Revenge of the Fallen,35, Di Bonaventura Pictures
Saw IV,6, Twisted Pictures
Curious George,14, Universal Animation Studios
Rock the Kasbah,15,Shangri-La Entertainment
Wanted,6,Universal Pictures
We Own the Night,16,Columbia Pictures
Jennifer's Body,15, Fox Atomic
R.I.P.D.,8, Original Film
Cold Mountain,13, Castel Film Romania
Thirteen Days,13, Tig Productions
Unknown,7, Canal+
Duplicity,9, Laura Bickford Productions
Lord of War,11,Saturn Films
The Eagle,9, Twins Financing
The Golden Compass,18, Scholastic Productions
Jack the Giant Slayer,21, Original Film
The Brothers Grimm,18,The Weinstein Company
The Big Year,12,Ingenious Media
Finding Forrester,17, Finding Forrester Productions
I Am Number Four,16, Touchstone Pictures
Spider-Man 2,12,Laura Ziskin Productions
Moon,4, Xingu Films
Don't Say a Word,16, Village Roadshow Pictures
Save the Last Dance,19, Cort/Madden Productions
The Core,8, David Foster Productions
Diana,5,Ecosse Films
Burke & Hare,12, Aegis Film Fund
"10,000 BC",9, Legendary Pictures
I Am Legend,11,Village Roadshow Pictures
Ghost Rider,11, Michael De Luca Productions
Shanghai Knights,16, All Knight Productions
Seven Psychopaths,17,Blueprint Pictures
Get Smart,9, Atlas Entertainment
Cradle 2 the Grave,18,Silver Pictures
Unstoppable,11, Millbrook Farm Productions
Mission: Impossible III,23, China Film Co-Production Corporation
13 Going On 30,14, Revolution Studios
My Soul to Take,15,Relativity Media
Down with Love,14,Regency Enterprises
The Hangover Part II,20,Legendary Pictures
Halloween,9,Dimension Films
Hugo,4,Paramount Pictures
Auto Focus,10,Sony Pictures Classics
The Road,8, Nick Wechsler Productions
Body of Lies,12, De Line Pictures
Meet the Fockers,16, Universal Pictures
The Ugly Truth,14, Relativity Media
The Last Samurai,16, Radar Pictures
X-Men,5, Marvel Enterprises
The Lorax,9, Illumination Entertainment
Mad Max: Fury Road,18,Village Roadshow Pictures
Carnage,7, CinÃ©CinÃ©ma
The Smurfs 2,12, Kerner Entertainment Company
Prisoners,9, 8:38 Productions
National Treasure,17,Walt Disney Pictures
Don't Say a Word,16, Kopelson Entertainment
Signs,5, The
Get Smart,9, Warner Bros.
The Apparition,14,StudioCanal
American Gangster,17, Film Rites
Rat Race,8, Alphaville Films
Notes on a Scandal,18, BBC Films
Diana,5, Film i VÃ¤st
Noah,4, Regency Enterprises
