city,ranking,rating,reviews_number,cuisine_style
Amsterdam,1.0,5.0,136.0," Dutch,  European"
Amsterdam,5.0,4.5,316.0," European,  International, Dutch,  Gluten Free Options,  Vegetarian Friendly"
Amsterdam,7.0,4.5,1455.0," International,  Mediterranean,  Vegan Options,  European, French,  Gluten Free Options,  Vegetarian Friendly"
Amsterdam,8.0,4.5,675.0," Vegetarian Friendly,  Vegan Options,  Indonesian,  Gluten Free Options"
Amsterdam,9.0,4.5,923.0,"Japanese,  Asian,  Vegetarian Friendly,  Vegan Options"
Amsterdam,10.0,4.5,450.0," Seafood,  Fast Food, Dutch"
Amsterdam,11.0,4.5,295.0," European,  Gluten Free Options,  Bar, American,  Vegetarian Friendly"
Amsterdam,13.0,4.5,368.0," Vegan Options,  Gluten Free Options, French,  European"
Amsterdam,15.0,4.5,1246.0," Vegan Options,  Vegetarian Friendly,  International,  Dutch,  European,  Gluten Free Options"
Amsterdam,16.0,4.5,1391.0," Gluten Free Options,  Cafe,  Vegan Options,  British,  European,  Vegetarian Friendly, Dutch"
Amsterdam,17.0,4.5,1633.0," Healthy, Dutch,  Gluten Free Options,  Vegetarian Friendly,  European,  International"
Amsterdam,18.0,4.5,958.0,"French,  International,  Seafood,  Gluten Free Options,  Vegetarian Friendly,  Bar"
Amsterdam,19.0,4.5,426.0,"Indian,  Tibetan,  Vegan Options,  Nepali,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,21.0,4.5,1380.0," European, International"
Amsterdam,22.0,4.5,239.0," Vegetarian Friendly,  Seafood, French,  European,  Dutch,  Gluten Free Options,  International"
Amsterdam,29.0,4.5,344.0," Gluten Free Options, Dutch,  Vegetarian Friendly,  International,  European,  Vegan Options"
Amsterdam,32.0,4.5,821.0," Barbecue, Steakhouse,  Gluten Free Options,  Argentinean,  Latin,  South American"
Amsterdam,37.0,4.5,264.0," Gluten Free Options,  Vegetarian Friendly,  European,  Vegan Options, Dutch"
Amsterdam,38.0,4.5,308.0," Cafe,  Vegetarian Friendly, Dutch,  European,  Vegan Options"
Amsterdam,39.0,4.5,697.0," European, Bar,  Vegetarian Friendly,  International"
Amsterdam,42.0,4.5,718.0," Vegan Options,  Vegetarian Friendly,  Gluten Free Options, Indian,  Nepali"
Amsterdam,44.0,4.5,408.0," Seafood, Dutch"
Amsterdam,51.0,4.5,681.0,"Dutch,  European"
Amsterdam,52.0,4.5,1995.0," Vegetarian Friendly,  Gluten Free Options,  Diner,  European, Dutch,  Vegan Options"
Amsterdam,59.0,4.5,555.0,"International,  European,  Vegetarian Friendly"
Amsterdam,61.0,4.5,1091.0,"New Zealand,  European,  Vegetarian Friendly,  Gluten Free Options,  Contemporary,  Cafe"
Amsterdam,65.0,4.5,2428.0," Vegetarian Friendly,  Vegan Options,  Gluten Free Options,  European,  Central European, Dutch"
Amsterdam,67.0,4.5,838.0," International, Dutch,  European,  Vegan Options,  Gluten Free Options,  Vegetarian Friendly"
Amsterdam,68.0,4.5,510.0," Vegetarian Friendly,  European, Dutch"
Amsterdam,71.0,4.5,416.0," Indonesian,  Vegetarian Friendly,  Vegan Options, Asian"
Amsterdam,73.0,4.5,748.0,"American,  Fast Food,  Bar"
Amsterdam,76.0,4.5,425.0," European,  International,  Vegetarian Friendly, Dutch,  Vegan Options"
Amsterdam,79.0,4.5,1313.0," Dutch,  Vegan Options, Belgian,  Fast Food"
Amsterdam,81.0,4.5,681.0," Pizza, Italian,  European,  Vegan Options,  Gluten Free Options,  Vegetarian Friendly"
Amsterdam,87.0,4.5,377.0,"Steakhouse,  Seafood,  Vegetarian Friendly,  Italian,  Gluten Free Options,  Pizza"
Amsterdam,91.0,4.5,888.0," Steakhouse,  Gluten Free Options,  European,  Grill,  Barbecue,  Bar, American"
Amsterdam,94.0,4.5,1480.0," Street Food,  Sushi,  American,  Korean,  Spanish,  Indian,  Gluten Free Options,  French,  Bar,  Vegan Options,  Dutch,  Turkish,  Vietnamese,  Seafood,  Grill,  Italian,  Mediterranean,  Vegetarian Friendly, Asian,  European,  Fast Food"
Amsterdam,96.0,4.5,496.0,"French,  European,  Grill,  International,  Gluten Free Options,  Dutch,  Steakhouse,  Vegetarian Friendly"
Amsterdam,100.0,4.5,563.0,"Dutch,  International,  European,  French,  Seafood,  Gluten Free Options"
Amsterdam,101.0,4.5,696.0,"Irish,  European,  Vegetarian Friendly,  International,  Bar,  Pub,  British"
Amsterdam,102.0,4.5,475.0," Gluten Free Options, Dutch,  Vegetarian Friendly,  European,  Bar,  Central European,  Vegan Options"
Amsterdam,104.0,4.5,1056.0," Indonesian,  Vegetarian Friendly,  Vegan Options, Asian"
Amsterdam,107.0,4.5,409.0,"Bar,  Vegetarian Friendly,  American,  European"
Amsterdam,108.0,4.5,761.0," Pizza,  Vegan Options,  Mediterranean, Italian,  European,  Vegetarian Friendly"
Amsterdam,111.0,4.5,302.0," Gluten Free Options,  European,  German, Pub,  Bar"
Amsterdam,115.0,4.5,388.0," European, French,  Dutch,  Vegan Options,  Vegetarian Friendly,  Cafe,  Gluten Free Options"
Amsterdam,117.0,4.5,1307.0," Italian, Mediterranean,  Vegetarian Friendly,  European"
Amsterdam,119.0,4.5,1160.0,"Steakhouse,  Grill,  International"
Amsterdam,125.0,4.5,1998.0," Asian,  Vegetarian Friendly,  Gluten Free Options,  Vegan Options, Fast Food"
Amsterdam,130.0,4.5,272.0,Pub
Amsterdam,134.0,4.5,508.0," Bar,  Gluten Free Options,  Cafe,  Vegan Options,  European,  Vegetarian Friendly, Dutch"
Amsterdam,135.0,4.5,366.0," Vegetarian Friendly,  European, Dutch,  Vegan Options,  Gluten Free Options"
Amsterdam,139.0,4.5,448.0," Vegetarian Friendly, Italian,  European,  Gluten Free Options,  Vegan Options,  Mediterranean"
Amsterdam,141.0,4.5,385.0," Vegan Options, Italian,  Vegetarian Friendly,  European"
Amsterdam,142.0,5.0,136.0," Swiss,  Vegetarian Friendly, French,  European,  Gluten Free Options,  Central European"
Amsterdam,146.0,4.5,230.0,"Italian,  Vegetarian Friendly,  Vegan Options"
Amsterdam,147.0,5.0,81.0," Vegetarian Friendly, Dutch,  Vegan Options,  European,  Gluten Free Options,  Seafood"
Amsterdam,148.0,4.0,3595.0," European,  Gluten Free Options,  Central European,  Vegetarian Friendly,  Vegan Options, Dutch"
Amsterdam,149.0,4.5,1030.0," Scandinavian, German,  Dutch"
Amsterdam,153.0,4.0,809.0," Vegetarian Friendly,  European,  Central European,  Swiss, Dutch"
Amsterdam,156.0,4.5,482.0," Barbecue,  Argentinean, Steakhouse,  South American,  Vegetarian Friendly,  European"
Amsterdam,162.0,4.0,544.0," Gluten Free Options,  European, Dutch,  Vegetarian Friendly,  Bar"
Amsterdam,163.0,4.5,435.0," Cafe,  Vegetarian Friendly,  Bar, Dutch,  Pub"
Amsterdam,165.0,4.0,1340.0," Vegan Options,  Vegetarian Friendly,  European,  Gluten Free Options, Dutch"
Amsterdam,169.0,4.5,226.0," International, European,  Vegan Options,  Gluten Free Options,  Vegetarian Friendly,  Soups"
Amsterdam,171.0,4.0,540.0," Vegan Options,  Gluten Free Options,  Vegetarian Friendly,  International, European"
Amsterdam,175.0,4.5,328.0," Fast Food,  Vegetarian Friendly, Dutch,  Vegan Options"
Amsterdam,176.0,4.5,498.0,unknown
Amsterdam,178.0,4.0,284.0," Vegetarian Friendly, European,  Gluten Free Options,  Vegan Options"
Amsterdam,180.0,4.5,354.0," Pub,  European, Dutch,  Vegetarian Friendly,  Bar"
Amsterdam,181.0,5.0,72.0,"Lebanese,  Vegetarian Friendly,  Middle Eastern,  Vegan Options,  Fast Food"
Amsterdam,184.0,5.0,220.0," European,  Vegetarian Friendly,  Dutch,  Gluten Free Options"
Amsterdam,186.0,4.0,724.0," Gluten Free Options,  Dutch,  European, French,  Mediterranean,  Vegan Options,  Vegetarian Friendly"
Amsterdam,188.0,4.5,400.0," Pub, Dutch,  Vegetarian Friendly,  Bar,  European"
Amsterdam,189.0,4.0,583.0," Gluten Free Options,  Vegetarian Friendly,  Vegan Options, Japanese,  Asian,  Sushi"
Amsterdam,197.0,4.0,847.0," Grill,  Bar, Dutch,  European,  Vegetarian Friendly"
Amsterdam,198.0,4.0,377.0," Pub,  European,  British,  Gastropub, Bar,  Vegetarian Friendly"
Amsterdam,199.0,4.5,365.0," Vegetarian Friendly,  Spanish,  Gluten Free Options,  European"
Amsterdam,200.0,4.5,111.0," Arabic,  Gluten Free Options, Mediterranean,  Vegan Options,  Halal,  Vegetarian Friendly,  Middle Eastern"
Amsterdam,201.0,4.0,814.0," Mediterranean,  European,  Vegan Options,  Spanish,  Vegetarian Friendly, Italian"
Amsterdam,202.0,4.0,687.0," Vegetarian Friendly,  Gluten Free Options, Cafe,  European"
Amsterdam,203.0,4.0,1222.0," Vegetarian Friendly,  Fast Food, Dutch,  Vegan Options"
Amsterdam,212.0,4.5,343.0," European,  Gluten Free Options,  International,  Central European,  Vegetarian Friendly,  Vegan Options"
Amsterdam,217.0,4.0,582.0," Pub,  Vegetarian Friendly, Irish,  European,  Bar"
Amsterdam,219.0,4.0,403.0," European, Steakhouse,  Gluten Free Options,  Vegetarian Friendly,  Grill"
Amsterdam,223.0,4.0,1046.0," European, Italian,  Vegetarian Friendly,  Vegan Options,  Mediterranean,  Pizza"
Amsterdam,224.0,4.0,402.0," Japanese,  Thai,  Asian,  Gluten Free Options,  Vegetarian Friendly, Chinese,  Vegan Options,  Sushi"
Amsterdam,225.0,4.0,552.0," Gluten Free Options,  Indonesian,  Vegan Options, Asian,  Vegetarian Friendly"
Amsterdam,226.0,4.5,101.0," Gluten Free Options,  European,  Seafood, Dutch"
Amsterdam,228.0,4.5,201.0," Gastropub,  Cafe,  Bar,  European,  Vegetarian Friendly, Dutch"
Amsterdam,229.0,4.5,97.0," Grill, Steakhouse,  Vegetarian Friendly,  Barbecue,  Argentinean"
Amsterdam,230.0,4.0,818.0," Indonesian, Asian,  Vegetarian Friendly,  Vegan Options"
Amsterdam,232.0,4.5,200.0,"Mediterranean,  Gluten Free Options,  Vegetarian Friendly,  European,  Portuguese"
Amsterdam,238.0,4.5,346.0," Vegetarian Friendly,  European,  Bar,  International,  Gluten Free Options"
Amsterdam,244.0,4.0,542.0,"Dutch,  Cafe,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options,  European"
Amsterdam,248.0,4.0,650.0," Vegetarian Friendly,  Fast Food, American"
Amsterdam,249.0,4.5,202.0," Gluten Free Options,  European,  Mediterranean, Italian,  Vegetarian Friendly,  Vegan Options"
Amsterdam,250.0,4.0,827.0," Gluten Free Options, Steakhouse,  Vegetarian Friendly,  European,  Dutch,  Bar,  Central European"
Amsterdam,251.0,4.0,1074.0," Vegan Options, Asian,  Gluten Free Options,  Vegetarian Friendly,  Indonesian"
Amsterdam,254.0,4.5,183.0," Vegetarian Friendly,  Vegan Options,  Gluten Free Options, Cafe,  European"
Amsterdam,257.0,4.0,399.0," Spanish, Italian,  Vegetarian Friendly,  Gluten Free Options,  Mediterranean,  European,  Vegan Options"
Amsterdam,259.0,4.5,342.0,"Mediterranean,  Vegan Options,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,263.0,4.5,255.0,"Mediterranean,  Gluten Free Options,  Turkish,  Vegetarian Friendly,  Halal,  Middle Eastern,  Barbecue,  Vegan Options"
Amsterdam,264.0,4.0,349.0," Vegetarian Friendly,  Pub,  Bar,  European"
Amsterdam,265.0,4.0,796.0," Delicatessen, French,  Dutch,  Vegetarian Friendly,  European,  Gluten Free Options"
