city,cuisine_style,ranking,rating,reviews_number
Lisbon, European,1215.0,3.5,328.0
Munich,unknown,1614.0,5.0,NaN
Vienna,Austrian,380.0,4.0,164.0
London, Vegetarian Friendly,5004.0,4.0,251.0
Vienna,Lebanese,1326.0,5.0,2.0
Paris, European,1772.0,4.0,666.0
Brussels,Belgian,481.0,4.5,87.0
Krakow, European,242.0,4.0,335.0
Paris, Vegetarian Friendly,1762.0,4.5,61.0
Amsterdam, Moroccan,2496.0,4.0,2.0
Copenhagen, Vegetarian Friendly,320.0,3.5,365.0
Copenhagen,Spanish,1320.0,4.0,9.0
Budapest, Fast Food,772.0,4.0,181.0
Rome, Vegan Options,1250.0,4.0,230.0
Paris, European,4972.0,4.5,44.0
Madrid,European,1006.0,4.0,171.0
Amsterdam, Italian,1247.0,4.5,30.0
Krakow, Vegetarian Friendly,488.0,5.0,16.0
Amsterdam, Mediterranean,1614.0,3.5,648.0
Berlin, Vegetarian Friendly,1284.0,5.0,30.0
Amsterdam, Vegan Options,974.0,4.0,193.0
Milan,unknown,5247.0,3.5,2.0
Athens, Diner,782.0,5.0,7.0
Barcelona, Greek,5949.0,3.0,132.0
Paris,French,8341.0,5.0,NaN
Krakow, Pizza,103.0,4.0,440.0
Budapest, Vegetarian Friendly,178.0,4.0,787.0
Warsaw,unknown,1370.0,4.5,2.0
Rome, Austrian,4820.0,3.0,539.0
Prague, Vegetarian Friendly,309.0,4.5,228.0
London,Italian,11009.0,4.5,4.0
Barcelona, Spanish,1759.0,4.0,105.0
Rome, Cafe,5326.0,4.0,13.0
Rome, Moroccan,1539.0,4.0,388.0
Warsaw, Mediterranean,1448.0,4.5,5.0
Athens, Pub,945.0,4.0,32.0
Amsterdam, European,746.0,4.0,129.0
Oporto,unknown,1352.0,3.5,4.0
Berlin,Grill,2825.0,5.0,3.0
Paris, Korean,3569.0,4.5,40.0
Krakow,Italian,1039.0,3.5,42.0
Barcelona, Vegetarian Friendly,2964.0,4.0,117.0
Stockholm,American,939.0,5.0,4.0
Rome,Italian,2125.0,3.5,946.0
Amsterdam, Mediterranean,616.0,4.0,195.0
London, Wine Bar,6404.0,4.0,41.0
Paris, Halal,1481.0,4.0,163.0
London,unknown,12374.0,4.0,NaN
Luxembourg, Healthy,579.0,3.0,NaN
Bratislava, Caucasian,46.0,5.0,77.0
Munich, Greek,1056.0,4.0,73.0
Warsaw,Italian,991.0,4.5,16.0
Lyon, Korean,241.0,4.5,96.0
London, Gluten Free Options,4048.0,4.5,56.0
Dublin, Sushi,502.0,4.0,167.0
Paris,French,5609.0,4.5,9.0
London,Chinese,1771.0,4.0,386.0
Berlin, Vegetarian Friendly,1318.0,4.5,49.0
Brussels,Italian,2609.0,3.5,140.0
Barcelona,Japanese,2629.0,4.5,64.0
Stockholm,Italian,1392.0,3.5,181.0
Hamburg, Delicatessen,767.0,4.5,19.0
London, Vegetarian Friendly,5614.0,4.5,33.0
Brussels, American,405.0,4.5,139.0
London, Wine Bar,7792.0,4.5,14.0
London, Seafood,7820.0,4.5,17.0
Rome, Bar,2148.0,3.5,859.0
Vienna, European,2845.0,3.5,68.0
Rome, Gastropub,2648.0,4.5,97.0
Amsterdam, International,119.0,4.5,1160.0
Berlin,unknown,2030.0,5.0,10.0
Madrid,Spanish,2819.0,4.0,20.0
London, Sushi,4496.0,4.5,67.0
Paris,unknown,11598.0,3.0,55.0
Paris, European,3485.0,4.0,114.0
Warsaw,Chinese,1514.0,4.0,34.0
Lyon, Latin,1112.0,3.5,146.0
London, Pizza,6397.0,4.5,40.0
Hamburg, Vegetarian Friendly,396.0,4.5,40.0
Madrid,Steakhouse,150.0,4.0,963.0
Barcelona, Vegetarian Friendly,582.0,4.5,107.0
Barcelona, Asian,172.0,4.5,922.0
Oslo,Cafe,246.0,4.0,78.0
Berlin, Sushi,3043.0,3.5,75.0
London, Gluten Free Options,1101.0,4.5,375.0
Rome, Vegetarian Friendly,3073.0,4.0,1134.0
London,Cafe,7834.0,4.5,13.0
London, Gluten Free Options,1507.0,4.0,311.0
Amsterdam,Cafe,619.0,4.0,183.0
Berlin, Asian,128.0,4.5,294.0
Paris,French,2028.0,4.0,93.0
Athens, Greek,1396.0,4.0,22.0
Madrid, Vegetarian Friendly,763.0,4.5,121.0
Oslo, Mediterranean,165.0,4.0,46.0
Barcelona,Mediterranean,2441.0,4.5,55.0
London, European,888.0,4.5,411.0
Paris, Mediterranean,11012.0,3.5,3.0
Stockholm,Asian,777.0,4.5,25.0
London,Lebanese,7286.0,3.5,45.0
Milan,Chinese,4801.0,3.5,64.0
Paris,Moroccan,2343.0,4.5,60.0
Prague, Vegetarian Friendly,964.0,4.0,57.0
Copenhagen,European,663.0,3.5,238.0
Stockholm, Swedish,140.0,4.0,382.0
Dublin, Gluten Free Options,104.0,4.0,2591.0
Athens, Greek,71.0,4.5,745.0
Paris,American,643.0,3.5,548.0
Paris,unknown,12442.0,4.5,7.0
London, Uzbek,5775.0,5.0,6.0
Helsinki,Chinese,922.0,3.5,18.0
Barcelona,Mediterranean,4541.0,4.0,48.0
Copenhagen, Vegetarian Friendly,1571.0,3.5,107.0
Prague,European,875.0,4.5,21.0
Athens,unknown,654.0,4.0,61.0
Milan, Vegetarian Friendly,503.0,4.0,401.0
Zurich,European,822.0,3.5,55.0
Barcelona, European,920.0,4.0,1119.0
Dublin, Gluten Free Options,915.0,4.0,64.0
London, Pub,8779.0,3.5,223.0
Vienna,Pub,3413.0,5.0,NaN
Bratislava,unknown,854.0,2.0,NaN
Prague, European,3796.0,3.0,393.0
Barcelona, Delicatessen,2126.0,4.5,74.0
Madrid,unknown,4376.0,4.5,21.0
Geneva, Mediterranean,1279.0,3.0,NaN
Edinburgh, British,44.0,4.5,454.0
Rome,Italian,4182.0,5.0,5.0
Madrid, Sushi,2048.0,4.0,61.0
Berlin,Bar,4235.0,3.5,10.0
Rome, Pizza,3271.0,4.0,85.0
London,Cafe,11439.0,4.0,5.0
Barcelona, Vegetarian Friendly,535.0,4.0,422.0
Lisbon, Vegetarian Friendly,297.0,4.5,234.0
Vienna,Bar,2871.0,4.0,18.0
London,unknown,13849.0,4.0,9.0
London,Bar,5413.0,3.5,145.0
Barcelona,Spanish,6600.0,3.5,15.0
London,Chinese,10195.0,5.0,6.0
Oporto, Soups,437.0,4.5,71.0
Munich, European,465.0,4.0,38.0
Milan,unknown,4412.0,3.5,3.0
Madrid,unknown,5357.0,3.5,15.0
London, Korean,6117.0,5.0,7.0
Lyon,Steakhouse,1972.0,4.0,NaN
Paris, Sushi,155.0,4.5,516.0
Paris, Latin,6518.0,3.5,88.0
Madrid, Vegetarian Friendly,496.0,4.0,1078.0
Madrid,Spanish,3872.0,4.0,14.0
Copenhagen,Cafe,846.0,3.5,108.0
Amsterdam,Italian,772.0,4.5,154.0
Paris, Pub,2989.0,4.0,194.0
Rome,Italian,4614.0,3.5,43.0
Oporto,Japanese,190.0,4.0,256.0
Madrid, Gluten Free Options,190.0,4.5,416.0
Rome, Kosher,5686.0,5.0,6.0
London, Thai,2066.0,4.5,95.0
Munich,unknown,639.0,4.5,28.0
Stockholm,unknown,2190.0,3.0,2.0
Rome, Vegetarian Friendly,240.0,4.5,757.0
Lisbon, European,674.0,4.0,205.0
Stockholm, Gluten Free Options,1039.0,3.5,43.0
Warsaw, European,936.0,3.5,35.0
Barcelona, Spanish,7030.0,3.0,35.0
Paris,unknown,13023.0,4.0,8.0
Brussels, European,2970.0,1.5,195.0
London,European,5286.0,4.5,45.0
Paris,Italian,2396.0,4.0,195.0
Warsaw, Vegetarian Friendly,174.0,4.5,130.0
Dublin, Diner,1389.0,3.5,49.0
Paris, Asian,1262.0,4.0,219.0
Barcelona, Wine Bar,1737.0,4.5,19.0
Berlin,Latin,619.0,4.5,70.0
Vienna, Gluten Free Options,74.0,4.5,317.0
London,unknown,6661.0,5.0,9.0
Budapest,European,313.0,4.0,274.0
Madrid,International,5671.0,4.0,10.0
Vienna, European,1308.0,4.0,19.0
Barcelona, Vegetarian Friendly,252.0,4.5,663.0
Rome,Mediterranean,3827.0,4.0,90.0
Oslo, Gluten Free Options,217.0,4.0,245.0
Lisbon,European,1575.0,5.0,4.0
Brussels, Pub,313.0,4.0,408.0
Madrid,Mexican,7118.0,3.0,58.0
Madrid, Gluten Free Options,237.0,4.0,570.0
Milan,unknown,5748.0,3.0,55.0
London,Turkish,11475.0,4.0,2.0
Milan, Gluten Free Options,905.0,4.0,260.0
Paris, Fast Food,3148.0,4.5,38.0
Barcelona,Italian,5081.0,3.5,32.0
Lisbon,European,1425.0,4.0,16.0
Paris, Vegetarian Friendly,865.0,4.0,411.0
Oporto,Mediterranean,1448.0,2.5,186.0
Berlin, International,2395.0,5.0,4.0
Copenhagen, American,1819.0,3.0,118.0
Paris,French,2568.0,4.5,112.0
London, British,11209.0,3.5,29.0
Rome, Steakhouse,1395.0,4.0,366.0
Milan,Italian,1585.0,4.0,100.0
London, Middle Eastern,6808.0,4.0,69.0
Madrid,Cafe,7351.0,3.0,2.0
Krakow, European,1065.0,3.5,3.0
Lyon,Chinese,1237.0,3.5,141.0
London, Italian,14157.0,3.5,14.0
Lisbon, Vegetarian Friendly,817.0,4.5,43.0
Lyon,Pizza,916.0,4.5,14.0
Lisbon,unknown,3034.0,4.5,24.0
Edinburgh, British,807.0,4.0,239.0
Berlin, Vegetarian Friendly,428.0,3.5,294.0
London,Italian,8910.0,5.0,2.0
Copenhagen, Danish,390.0,5.0,17.0
Helsinki, Vegan Options,92.0,4.5,69.0
London, Vegetarian Friendly,4435.0,4.0,85.0
Madrid, European,6570.0,3.0,121.0
Vienna, International,239.0,4.0,251.0
Rome, European,3054.0,4.0,177.0
Lisbon,Healthy,2357.0,4.5,3.0
Paris,unknown,1617.0,4.5,233.0
Berlin, Vegan Options,153.0,5.0,295.0
Milan,unknown,5580.0,3.5,13.0
Oporto, Mediterranean,1023.0,3.5,64.0
Berlin,Thai,2480.0,4.5,27.0
Barcelona, Latin,453.0,4.5,115.0
Prague,Italian,1145.0,4.5,26.0
Vienna, Vegetarian Friendly,142.0,4.5,116.0
Hamburg, Pizza,1020.0,3.5,54.0
Milan, Vegetarian Friendly,1299.0,3.5,299.0
Amsterdam,unknown,2160.0,5.0,3.0
London, Vegetarian Friendly,1874.0,4.5,261.0
Barcelona,Japanese,4636.0,5.0,4.0
Berlin, European,260.0,4.0,219.0
Brussels, Middle Eastern,1535.0,4.0,36.0
Barcelona, Asian,655.0,4.5,226.0
Amsterdam, Gluten Free Options,267.0,4.0,6777.0
London, Asian,12291.0,3.5,23.0
Paris,unknown,9486.0,4.5,3.0
Barcelona, Asian,1420.0,4.0,229.0
Prague, Bar,50.0,4.5,916.0
London, Fast Food,1204.0,4.5,88.0
Barcelona,International,3269.0,5.0,10.0
Rome, Italian,457.0,4.5,1237.0
Warsaw,Asian,398.0,4.0,31.0
Rome, Seafood,1961.0,4.5,56.0
Milan, Steakhouse,3320.0,3.5,189.0
Athens, Greek,69.0,4.5,2148.0
London, Vegetarian Friendly,1416.0,4.5,297.0
Lisbon, Portuguese,3251.0,3.5,11.0
Vienna, Gluten Free Options,398.0,4.0,195.0
Vienna, European,277.0,4.5,51.0
Barcelona, Vegan Options,826.0,4.0,175.0
London, Pub,1295.0,4.5,205.0
Rome,Italian,1324.0,4.0,534.0
Vienna,Austrian,1484.0,4.5,12.0
Madrid,unknown,4187.0,5.0,NaN
London, Asian,11857.0,3.5,17.0
London,Italian,6151.0,4.0,29.0
Madrid, Spanish,1633.0,4.0,87.0
London, Gluten Free Options,207.0,4.5,1092.0
Oporto, Portuguese,1249.0,4.0,28.0
Rome, European,2453.0,4.0,623.0
Oporto, Mediterranean,526.0,3.5,731.0
Paris,American,9026.0,4.0,6.0
Rome, European,3016.0,3.0,1012.0
Barcelona,unknown,6204.0,4.0,5.0
Munich, Halal,489.0,4.0,99.0
Paris,unknown,7646.0,4.0,22.0
Madrid,unknown,8489.0,2.5,2.0
Prague,European,2558.0,4.0,15.0
Rome, Mediterranean,457.0,4.5,1237.0
Athens,Cafe,938.0,4.0,11.0
Paris,French,4577.0,4.0,53.0
Athens, Greek,1204.0,4.0,8.0
Berlin, Diner,3212.0,3.5,66.0
Brussels,Italian,456.0,3.5,480.0
Berlin,unknown,3036.0,4.5,8.0
Milan,unknown,3806.0,3.5,128.0
Brussels, Chinese,1531.0,4.0,6.0
London, Vegetarian Friendly,4182.0,4.0,116.0
Paris,French,6109.0,3.5,149.0
Prague,Fast Food,1313.0,4.5,14.0
Paris,French,10689.0,4.0,NaN
London,Italian,5951.0,5.0,27.0
Brussels, Vegetarian Friendly,600.0,4.0,127.0
Warsaw,Italian,60.0,4.5,277.0
Athens, Vegetarian Friendly,396.0,4.0,130.0
Edinburgh, British,442.0,4.5,227.0
Berlin, Mediterranean,2591.0,3.5,53.0
Warsaw, Gluten Free Options,54.0,4.5,734.0
Barcelona,unknown,3283.0,4.5,15.0
London, Balti,13305.0,3.0,86.0
Edinburgh, Korean,637.0,5.0,22.0
Milan, Mediterranean,816.0,3.5,1786.0
