correction,misspell
sherbet,sherbert
occupied,occuppied
dangerous,danguages
monkey,minkay
warlord,warloord
behavior,behaviour
synchronization,syncorization
parameters, paranets
broccoli,brocolli
the, thw
consistent,consident
function,fuction
execution,excution
sponsored,sponsered
changing,changeing
engine,engins
came,gamne
intelligent, intellagant
have,havne
respectfully,respecally
intelligent, intellegent
kilometre,lilometer
mischievous,mischievious
voluptuous,volumptuous
favour,faver
volley,volye
help, hellp
tough,taff
circle,cicle
grammar,grammer
defence,defense
trouble,trubbel
absorption,absorbtion
procedures,proceedures
continue,contunie
occasion,ocassion
encapsulation,encapsualtion
majority,majaerly
weird,wierd
monkey, monkay
theoretical, theridically
hello, herlo
inconvenient,inconvenant
consensus,concensus
believe, belive
interested, intertesd
wait,waite
encyclopedia,encyclapidia
implements,implemtes
higher,higer
hello,hallo
announcement,annonsment
existence, existance
tomorrow, tomorow
developments,develepment
browse,bbrose
replacement,replasments
organize,organise
automatically,autoamlly
your,youe
committee, commitee
frustrating,frustartaion
factorization,factontion
circumstances,circumstaces
two,teo
test,tesst
technically,techniquely
help, hlp
immediately,imediaetly
commercials,commerciasl
extensions,extions
several,seferal
precision, precios
compiler,comiler
masks,maks
help,heellp
parameters,paramers
error,errara
ambivalent,ambivilant
festival,fistival
room,roon
problematic,proplematic
memento,momento
arctic,artic
situation,situration
throughout,thruout
psychologist, psicolagest
directly,direcyly
marshal,marshall
flux, flukse
organize, organiz
ward,whard
tunnel_like,tunnellike
intelligent, intelegnent
tests,tets
recurring,reoccurring
cockamamie,cocamena
madness,maddness
necessary,neccessary
smile,smil
intelligent, intelegent
adultery,adultry
permissive,permmasivie
dog,dag
however,howaver
unfortunately, unfortally
intelligent, intellegint
fantasia,phantasia
attentively,atentively
permissible,permissable
happily,hapily
flux,fluk
anonymous,anynomous
distract,distarct
humanity,humaniti
installation,instulation
beginning,beggining
distort,distart
dynamic, dynaic
bush,buch
complicated,compicated
colon,coaln
explicitly,expleyly
hippopotamus,hippopotamous
quiz,quoz
dissect,disect
guard,gaurd
recommend,reccomend
constant, contastant
privilege, priviledge
interested,intertes
discuss,discuess
draft,deaft
psychologist, sicolagest
Presbyterian,presbyterian
respect,respct
unintelligible,unentelegible
roughly,rought
phone,fone
spoke,spoak
sacrilegious,sacreligious
student,stutent
unfortunately, unfortunently
regardless,irregardless
bureau,beauro
companies,companys
stomach,stumach
in_depth,indepth
failure,failer
hyphen, hiphine
peremptory,preemptory
tattoos,tattos
insidious,incedious
objects,objectsion
exercise,excercise
this,ths
nuzzled,nozled
explicitly, explity
description,descrption
swimwear,swim_wear
dinosaur, dinasour
weaken,wicken
mike,mic
efficacy,efficity
in_case,incase
anatomy,anonomy
caller,cauler
believe,beleive
insistent,insistant
vinaigrette,vinagarette
spell,spel
supersede,supercede
oscilloscope,oscilascope
appreciate,appresteate
dependable,dependeble
independent, indepnends
theoretically,thredically
disagree,diagree
occurrence,occurence
commitment, comittmend
during,duren
government, gobernement
octogenarian,octagenarian
housing,houssing
destroy,distroy
insistent, insistenet
desiccate,dessicate
bankrupt,bankrot
dissipate,disippate
incomplete, incomplot
crucifixion,crucifiction
inventions,enventions
eventually,evtually
foresee,forsee
documentation,documtations
safely,saftly
sometimes,sometmes
all_right,alright
repetition,repitition
crucified,crusifed
defiantly,defenly
asymptote,asentote
sneaked,snuck
fantasy,famdasy
cosmopolitan,cosmoplyton
knowing,knawing
preceding,preceeding
computer,comupter
battalion,batallion
bureaucracy, buracracy
deities,dieties
that,taht
liquefy,liquify
redesign,redign
defense,defence
irritable,irritible
cheat,cheet
embarrassment,embarassment
yield,yeild
embed,imbed
running,runnung
alcoholic,alchoholic
elegant, elligit
discussion,disssicion
intelligent, inteligent
accidentally,accidently
existence,egsistence
politician,polation
unnatural, unnaturral
prefixes,prefices
RSX,rsx
initialized, initized
exceed,excede
accommodate,accomodate
practical,practicle
losing,lossing
liaison,liason
noticeably,noticably
efficient,efficat
crazy,crasy
exhilaration,exhileration
contribution,conibation
error, erro
titillate,titalate
beginning, beging
theoretical,teridical
download,doenload
minimum,minum
receive,recieve
horse,hourse
irresistible,irresistable
announce,annuncio
responsible,reposable
writing,writting
congratulations,congradulations
environmental, invermeantial
maximum,maxium
fiery,firey
judgement,judgment
everything,evething
column,columne
etiology,eitiology
simplicity,cimplicity
naive,nieve
behaviour,behavior
hypothesis,hypotathes
maintenance,maintanence
environmental,envireminakl
judgment,judgement
anoint,annoint
infamy,imfamy
coping,copping
hyphen, hifine
phonetic,funetik
butter,buder
substitutions,subisitions
about,abouy
unnatural, unaturral
neighbour,neighbor
encyclopedia, encyclopia
seize,sieze
uranium,uranisium
indent,ident
pursued,presued
elegant,elagent
coolly,cooly
satisfy,satifly
what,whaaat
intelligent, intellgnt
radius,radious
resemblance,reseblence
button,buton
voluntarism,volunteerism
neighbor,neighbour
buoyant,bouyant
colloquialism,colloquilism
amateur,amature
privilege,privielage
court,courst
want,mant
inefficient,inefficite
subpoena,subpena
independent, independenent
more,mroe
committee,comitte
critique, ctitique
tragedy,tradegy
superfluous,superfulous
segments,segements
sense,sence
playwright,playwrite
mosaic,mosaik
lesion,liasion
generally,generly
occasionally,accosinly
asymmetric,asymetric
aggressive,aggresive
except,excpt
under_ladder,underladder
unconstitutional,unconisitional
precision,precion
initialized,initinized
efforts,effots
better,metter
hypothesis, hypotathese
wimp,whimp
development, develpond
cemetery,cemetary
old,olf
enhance,enhence
tyranny,tyrrany
basically,basicly
interpreter,interpretter
