correction,misspell
Nevada,nevade
Presbyterian,presbyterian
Stephen,Steffen
Susan,susan
ability,abilitey
about,abouy
absorption,absorbtion
accidentally,accidently
accommodate,"accomodate,  acommadate"
accord,acord
acquaintance,aquantance
acquire,equire
aggressive,aggresive
alcoholic,alchoholic
alive,allieve
all_right,alright
amateur,amature
ambivalent,ambivilant
amorphous,amourfous
amplification,amification
anatomy,"anonomy,  anotomy"
announce,annuncio
anoint,annoint
anonymous,anynomous
appreciate,appresteate
appreciated,appreceiated
archetype,archeype
architecture," aricticure, aratictature"
arctic,artic
asterisk,asterick
asymmetric,asymetric
asymptote,asentote
at,ast
attentively,atentively
automatically,autoamlly
bankrupt,bankrot
basically,basicly
battalion,batallion
beginning," beging, beggining,  bigginging"
behavior,behaviour
behaviour,behavior
believe," belive, beleive"
benefits,benidifs
better,metter
bleat,blait
boycott,boygot
broccoli,brocolli
browse,bbrose
buoyant,bouyant
bureau,beauro
bureaucracy,"beaurocracy,  buracracy,  burracracy"
bush,buch
butter,"buder,  budr,  budter"
button,buton
by_by,byby
caller,cauler
came,gamne
caveats,cravets
cemetery,cemetary
changing,changeing
cheat,cheet
circle,"cicle,  circue"
circumstances,circumstaces
club,clob
cockamamie,cocamena
colleague,colleaque
colloquialism,colloquilism
colon,coaln
column,columne
combo,cumba
commercials,commerciasl
commitment," comittmen, comitmment,  comittmend"
committed,commited
committee,"comitte,  commitee"
companies,companys
compiler,comiler
complicated,compicated
computer,comupter
congratulations,congradulations
consensus,concensus
consistent,consident
consonant,consident
constant,"contast,  contastant"
continue,contunie
contribution,conibation
coolly,cooly
coping,copping
cosmopolitan,cosmoplyton
court,courst
crazy,crasy
credibility,credetability
critique,"criqitue,  ctitique"
croak,croke
crucified,crusifed
crucifixion,crucifiction
customization,custamisation
daily,daly
dangerous,danguages
dangle,dongle
decision,disition
defence,defense
defense,defence
definite,definate
definitely,definately
deities,dieties
dependable,dependeble
description," descrptn, descrption"
desiccate,dessicate
despair,dispair
desperate,desparate
destroy,distroy
development," develpond, developement"
dictionary,ductioneery
dinosaur,"dinasaur,  dinasour"
directly,direcyly
disagree,diagree
discuss,discuess
discussion,disssicion
dissipate,disippate
distant,destint
distort,distart
distract,distarct
divulge,devulge
documentation,documtations
dog,"dag,  doog"
download,doenload
draft,deaft
drunkenness,drunkeness
due,dur
dynamic,"dymatic,  dynaic"
ecstasy,ecstacy
efficacy,efficity
efficient,efficat
efforts,effots
elegant,"elagent,  elligit"
embarrass," embaress, embarass"
embarrassment,embarassment
embed,imbed
encapsulation,encapsualtion
encyclopedia,"encyclapidia,  encyclopia"
engine,engins
enhance,enhence
enlightenment,enligtment
ennui,ennuui
enough,enought
environment,enviroment
environmental,"envireminakl,  invermeantial"
epitome,epitomy
error,"errara,  erro"
espresso,expresso
etiology,eitiology
evaluation,evaualtion
eventually,evtually
everything,evething
exceed,excede
except,excpt
execution,excution
exercise,excercise
existence," existance, egsistence"
expedient,exspidient
explicitly," explity, expleyly"
extensions,extions
factorization,factontion
failure,failer
fantasia,phantasia
fantasy,famdasy
favor,faver
favour,faver
fax,faxe
festival,fistival
fiery,firey
flattering,flatterring
flux," flukse, fluk"
foresee,forsee
frustrating,frustartaion
function,fuction
generally,generly
gotten,gotton
government,"goberment,  gobernement,  gobernment"
graceful,gracefull
gradually,gradualy
grammar,grammer
guard,gaurd
guts,futs
happily,hapily
harass,harrass
have,havne
height,heighth
hello," helo, hallo,  herlo"
help,"heellp,  hellp"
higher,higer
hippopotamus,hippopotamous
horse,hourse
housing,houssing
however,"howaver,  howver"
humanity,humaniti
hyphen," hyfin,  hifine,  hiphine, hifin"
hypothesis,"hypotathes,  hypotathese"
hysterical,hystrical
illegitimate,illegitament
immanent,immenant
immediately,imediaetly
implements,implemtes
in_case,incase
in_depth,indepth
in_fact,infact
inadvertent,inadvertant
incomplete, incomplot
inconvenience,inconvience
inconvenient,inconvenant
indent,ident
independent," independenent,  indepnends, independant"
indispensable,indispensible
inefficient,inefficite
infamy,imfamy
influential,influencial
initial,inital
initialized," initized, initinized"
inoculate,innoculate
insidious,incedious
insistent," insistenet, insistant"
installation,instulation
intelligent," intellagant,  intellegint, intealignt,  intelignt,  intellegent,  inteligent,  intejilent,  intellgnt,  intelejent,  intelegnent,  intelegent"
interested," intertesd, intertes"
interface,inerface
international,internation
interpret,interpretate
interpreter,interpretter
inventions,enventions
irresistible,irresistable
irritable,irritible
isotope,isotrop
iterate,interate
john,johhn
judgement,judgment
judgment,judgement
kilometer,lilometer
kilometre,lilometer
kipper,kippur
knowing,knawing
laser,luser
layer,lloyer
leave,leasve
leisure,lesure
lesion,liasion
liaison,liason
library,libary
likely,likly
liquefy,liquify
losing,lossing
madness,maddness
maintenance,maintanence
majority,"majaerly,  majoraly"
marshal,marshall
masks,maks
maximum,maxium
media,midia
memento,momento
memory,meory
metaphysical,pataphysical
mike,mic
millennium,millenium
minuscule,miniscule
miscellaneous,misilous
mischievous,mischievious
monkey,"minkay,  monkay"
more,mroe
mosaic,mosaik
most_likely,mostlikely
mouser,mousr
moving,oving
naive,nieve
necessary," necesary,  necesser"
neighbor,neighbour
neighbour,neighbor
nickelodeon,nickleodeon
niece,neice
no_one,noone
not_in,notin
noticeably,noticably
nuzzled,nozled
obfuscate,obsfuscate
objects,objectsion
occasion,ocassion
occasionally," occusionaly, accosinly"
occupied,occuppied
occurrence,occurence
octogenarian,octagenarian
old,olf
opossum,opposim
organize,"organise,  organiz"
orient,orientate
oscilloscope,oscilascope
parameter,parametic
parameters,"paramers,  paranets"
particular,partrucal
pattern,patten
peremptory,preemptory
permissible,permissable
permission,permition
permissive,permmasivie
phenomenal,phenominal
phone,fone
phonetic,funetik
picturesque,picaresque
police,pollice
politic,politict
politician,polation
polygamy,poligamy
polypropylene,polypropalene
portray,protray
possible,possable
practical,practicle
preceding,preceeding
precision,"precion,  precios"
prefixed,prefixt
prefixes,prefices
prerogative,perogative
privilege,privielage
problematic,proplematic
procedures,proceedures
pronunciation," pronounciation, pronensiation,  pronisation"
properly,properally
psychologist," psycolagest, pscolgst,  psicolagest,  sicolagest"
pursue,"persue,  presue"
pursued,presued
quiz,quoz
raccoon,reccona
radius,radious
rampantly,ramplily
rank,wrank
receive,recieve
