Dato,Tid,Eksamen,Lokaler,Klasse
04.06. 2019,08.30-14.30,EL4AU, A2.5/Inn,0
20.05. 2019,08.30-11.30,Administrativ ledelse,AU,0
20.05. 2019,08.30-11.30,Administrativ ledelse, C2.1/03,0
04.06. 2019,08.30-14.30,EL4AU,AU,0
03.06. 2019,0,AK dansk skr., A1.3,1
11.06. 2019,0,AK matm. skr., A1.2,1
04.06. 2019,08.30-14.30,EL4AU, A2.4,0
14.06.2019,2,EL - Elektronik skr.,1,3
11.06. 2019,0,AK matm. skr.,A2.1,1
14.06. 2019,1,EL3 skr.,0,2
20.05. 2019,08.30-11.30,Administrativ ledelse, C1.1,0
03.06. 2019,0,AK dansk skr.,AU,1
