Index,genres,imdb_score
57, Thriller,7.5
2768, Drama,7.2
2305,Action,5.6
2690, Sport,6.9
339, Adventure,8.9
1122, Sci-Fi,7.1
63, Romance,6.6
1063, Horror,5.8
848, Thriller,7.2
2785,Comedy,4.5
615,Action,5.4
1897,Adventure,7.2
2230, Comedy,5.8
4851, Crime,6.4
236, Sci-Fi,7.6
2404,Comedy,6.1
1436, Drama,7.8
4258, Horror,5.3
3923,Documentary,2.7
4742, Romance,6.0
3466,Crime,9.2
2920,Action,5.9
4283, Drama,6.5
973, Thriller,6.7
1830, Thriller,6.2
573, Drama,8.4
3444, Romance,6.0
3477, History,7.5
2807, Horror,3.9
4783,Comedy,7.1
4601, Thriller,6.1
4175, Sci-Fi,7.2
620, Sci-Fi,3.0
360, Crime,5.5
1235, Comedy,5.9
933, Comedy,6.7
2045, Romance,5.1
1531, Thriller,5.3
1660, Thriller,3.7
824,Action,5.9
3729, Thriller,6.2
4534, Mystery,5.7
2223, Fantasy,8.3
971, Fantasy,7.3
110, Family,6.3
3156, Crime,6.8
1371, Drama,7.0
1687, Horror,5.4
3411, Drama,6.4
1562, Thriller,6.8
2092, Drama,5.6
2340, Thriller,5.1
2364, Mystery,5.6
4284, War,8.0
2090, Mystery,5.8
1758, Drama,7.5
3228, Thriller,6.3
373,Adventure,7.1
1822,Crime,5.9
820, Sport,6.0
2847, Crime,6.1
960, Thriller,8.2
2829, Drama,8.3
2229, Romance,6.4
3118,Horror,5.4
1993, Sport,7.9
388, War,6.7
1542, Family,5.1
4086,Comedy,7.0
1975,Biography,6.9
850, War,7.3
3460, Thriller,7.2
3593, Romance,5.1
3363,Drama,7.6
2592, Western,6.6
3403,Comedy,7.2
234, Romance,6.3
3102,Comedy,6.4
1896, Romance,6.5
3123, Thriller,6.5
1249, Drama,6.0
1840, Western,7.5
1271, Music,5.0
318, Sport,5.3
4303,Drama,4.5
1925,Drama,7.6
167, Sci-Fi,5.7
4855, Drama,7.2
4955, Sport,6.7
4384, Romance,6.8
3889, Romance,8.1
2424,Action,5.8
2025, Music,6.5
2931,Adventure,6.6
4254, Sci-Fi,7.6
1721,Action,4.8
2546, Horror,4.8
175, Musical,5.9
2168, Thriller,5.8
3284, Thriller,6.8
1432, Sci-Fi,6.6
2854, Drama,5.9
2064,Comedy,5.6
2558, Mystery,7.9
2479, Family,6.5
3192, Drama,7.1
115, Fantasy,7.6
1621, Thriller,6.9
1291,Action,5.9
3998,Comedy,6.1
2525, Thriller,6.9
3388, Drama,7.1
4259, Thriller,8.5
3772,Drama,7.2
79, Fantasy,7.8
2694, Drama,6.6
341,Action,5.5
2331,Crime,6.4
3901, Drama,7.1
121, Animation,6.7
246, Sci-Fi,7.8
2119,Drama,7.8
1232, Mystery,6.9
2363,Adventure,8.5
4631, Thriller,7.0
3343, Drama,7.0
2975,Drama,6.6
862, Adventure,6.4
3940, Thriller,5.9
4449, Family,7.7
737,Action,5.5
973,Action,6.7
5033, Thriller,7.0
661,Action,6.7
956,Biography,7.6
1506, War,6.8
3131, Thriller,5.2
1300, Romance,6.2
3345, Romance,6.5
2341,Crime,5.5
3114,Comedy,5.8
111, War,6.1
1231, Thriller,7.3
876,Adventure,6.7
3861,Comedy,6.5
2395,Comedy,6.2
3500,Drama,7.6
1293,Drama,7.6
2127,Crime,7.3
1915,Comedy,6.6
2960, Horror,6.7
2230,Adventure,5.8
4189,Comedy,7.6
2121, Thriller,5.8
2007, Drama,7.1
1861,Comedy,6.8
3621, Drama,6.7
1494,Action,6.0
1126, Thriller,7.2
25, Romance,7.2
4962, Horror,7.0
1208,Adventure,7.3
1963, Romance,6.8
3262,Action,6.9
1405, Sci-Fi,5.4
723, Family,5.2
3469,Drama,7.6
807, Mystery,5.5
1976, Adventure,7.3
1934, Music,3.3
1317, Crime,5.8
652, Sci-Fi,5.5
1475,Action,6.5
2986,Drama,7.1
2820, Adventure,5.9
2820, Comedy,5.9
568, Thriller,5.6
1986, Thriller,5.8
2951,Horror,7.0
1375,Action,5.6
1750,Adventure,5.9
1645,Drama,7.5
2227, Thriller,5.9
885,Comedy,5.6
2059,Biography,7.5
2663, Thriller,6.2
2557, Crime,5.5
614, Horror,5.2
4346, Mystery,7.0
1456,Action,6.2
516, Fantasy,7.8
4047, Thriller,7.8
1870,Biography,6.4
1895,Horror,5.8
197, Sci-Fi,4.9
2660, Crime,7.4
2926, Thriller,7.4
10, Adventure,6.9
629,Action,4.2
41, Animation,6.3
4737, Music,6.5
499,Action,6.0
4203,Comedy,5.7
2858, Sci-Fi,7.7
1859, Thriller,6.1
2928,Crime,6.5
1296,Comedy,5.8
1962, Mystery,4.8
3729,Drama,6.2
1933, Drama,7.5
1567, Family,6.9
930,Comedy,7.3
456,Comedy,6.1
1551,Action,4.4
678,Action,5.4
4283,Comedy,6.5
3398, Drama,7.3
1198, Drama,6.4
143, Comedy,5.4
3927,Comedy,6.5
2158, Drama,8.6
4144,Drama,8.0
1611, War,7.5
123, Sci-Fi,6.7
3776,Drama,4.6
1713, War,7.9
2254,Animation,6.4
2436,Comedy,5.3
1949,Action,6.4
2996,Crime,6.3
2414, Drama,7.8
989, Adventure,3.5
646, Thriller,7.0
277,Animation,7.1
3029, Drama,7.9
1498,Comedy,6.9
1695,Adventure,5.1
2655,Comedy,6.0
3121, Drama,5.6
3950, Horror,6.5
2333,Drama,5.3
1315,Comedy,5.9
1097,Action,5.4
188, Sci-Fi,6.7
297, Family,6.9
18, Adventure,6.7
4050,Drama,8.2
1284,Adventure,6.2
173, Drama,7.4
967,Drama,6.7
2423, Drama,5.8
884, Thriller,4.7
2032, War,6.2
3516, Thriller,7.5
3652, Drama,7.3
584,Comedy,5.5
2281, Crime,5.6
1311,Drama,6.2
157, Crime,6.1
196, Drama,6.6
722,Action,6.7
7, Romance,7.8
3042,Drama,7.3
219,Action,6.4
1100, Sport,5.6
475, Adventure,5.1
3856, Drama,7.8
3479, Crime,7.2
170, Adventure,6.4
