Index,imdb_score,genres
0,7.9,"Action,  Adventure,  Fantasy,  Sci-Fi"
1,7.1,"Action,  Adventure,  Fantasy"
2,6.8,"Action,  Adventure,  Thriller"
3,8.5,"Action,  Thriller"
5,6.6,"Action,  Adventure,  Sci-Fi"
6,6.2,"Action,  Adventure,  Romance"
7,7.8,"Adventure,  Animation,  Comedy,  Family,  Fantasy,  Musical,  Romance"
8,7.5,"Action,  Adventure,  Sci-Fi"
9,7.5,"Adventure,  Family,  Fantasy,  Mystery"
10,6.9,"Action,  Adventure,  Sci-Fi"
11,6.1,"Action,  Adventure,  Sci-Fi"
12,6.7,"Action,  Adventure"
13,7.3,"Action,  Adventure,  Fantasy"
14,6.5,"Action,  Adventure,  Western"
15,7.2,"Action,  Adventure,  Fantasy,  Sci-Fi"
16,6.6,"Action,  Adventure,  Family,  Fantasy"
17,8.1,"Action,  Adventure,  Sci-Fi"
18,6.7,"Action,  Adventure,  Fantasy"
19,6.8,"Action,  Adventure,  Comedy,  Family,  Fantasy,  Sci-Fi"
20,7.5,"Adventure,  Fantasy"
21,7.0,"Action,  Adventure,  Fantasy"
22,6.7,"Action,  Adventure,  Drama,  History"
23,7.9,"Adventure,  Fantasy"
24,6.1,"Adventure,  Family,  Fantasy"
25,7.2,"Action,  Adventure,  Drama,  Romance"
26,7.7,"Drama,  Romance"
27,8.2,"Action,  Adventure,  Sci-Fi"
28,5.9,"Action,  Adventure,  Sci-Fi,  Thriller"
29,7.0,"Action,  Adventure,  Sci-Fi,  Thriller"
30,7.8,"Action,  Adventure,  Thriller"
31,7.3,"Action,  Adventure,  Fantasy,  Romance"
32,7.2,"Action,  Adventure,  Sci-Fi"
33,6.5,"Adventure,  Family,  Fantasy"
34,6.8,"Action,  Adventure,  Fantasy,  Sci-Fi,  Thriller"
35,7.3,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
36,6.0,"Action,  Adventure,  Sci-Fi"
37,5.7,"Action,  Adventure,  Sci-Fi"
38,6.4,"Adventure,  Family,  Fantasy"
39,6.7,"Action,  Adventure,  Fantasy,  Sci-Fi"
40,6.8,"Action,  Adventure,  Sci-Fi"
41,6.3,"Adventure,  Animation,  Comedy,  Family,  Sport"
42,5.6,"Action,  Adventure,  Sci-Fi"
43,8.3,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
44,6.6,"Action,  Adventure,  Sci-Fi"
45,7.2,"Action,  Crime,  Thriller"
46,7.0,"Action,  Adventure,  Horror,  Sci-Fi,  Thriller"
47,8.0,"Action,  Adventure,  Fantasy,  Sci-Fi,  Thriller"
48,7.8,"Action,  Adventure,  Sci-Fi"
49,6.3,"Adventure,  Fantasy"
50,7.3,"Drama,  Romance"
51,6.6,"Action,  Adventure,  Fantasy,  Romance"
52,7.0,"Action,  Adventure,  Sci-Fi"
53,6.3,"Action,  Adventure,  Sci-Fi"
54,6.2,"Action,  Adventure,  Fantasy"
56,7.2,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
57,7.5,"Action,  Adventure,  Sci-Fi,  Thriller"
58,8.4,"Adventure,  Animation,  Family,  Sci-Fi"
59,6.2,"Action,  Comedy,  Crime,  Thriller"
60,5.8,"Action,  Adventure,  Sci-Fi"
