Index,genres
1143, Musical
1589, Adventure
2917, Drama
2207,Action
2371, Fantasy
505, Adventure
663,Biography
170, Romance
2433, Crime
1703, Crime
661, Comedy
2593, Romance
603, Thriller
480, Fantasy
284, Thriller
332, Adventure
1599,Comedy
1315,Comedy
1634, Adventure
1239,Comedy
72, Thriller
3192, Drama
976,Adventure
3176, Thriller
545, Thriller
552, Adventure
1944, Drama
2560, Romance
2685, Family
4543,Drama
3583, War
708,Adventure
277, Musical
1651, Romance
3107,Drama
1882, Horror
4538, Mystery
2563, Drama
2580,Drama
2986, Romance
546, Thriller
2059, Sport
591,Action
2998, Mystery
64,Adventure
3491, Drama
1354, Thriller
1998, Adventure
8,Action
1852,Drama
11, Adventure
1138, Thriller
360, Comedy
1743,Biography
1715, Crime
2758,Drama
680,Action
1426,Comedy
215, Adventure
1721,Action
621, Thriller
496, Family
2970, War
200, Fantasy
1976,Action
1952, Romance
2578,Comedy
3570, Romance
1901,Drama
3712, Horror
3119, Music
446, Thriller
858, Crime
344, Adventure
1828,Crime
3930, Fantasy
2681, Horror
2793,Fantasy
622, Thriller
3927,Comedy
3202, Romance
178, Family
794,Action
732, Fantasy
2237,Comedy
1292, Crime
4733, Documentary
555, Drama
1231,Crime
388, Thriller
2961,Comedy
1421, Sci-Fi
2357,Comedy
1827, Drama
481,Action
2170, Crime
1030,Comedy
2392, Crime
2337, Drama
4551, Horror
330,Drama
4570,Drama
2153, Family
5025, Crime
2914, War
3054,Biography
1851, Crime
988, Thriller
1098, Sport
18, Adventure
2531, Romance
2029, Romance
1495, Family
466,Adventure
2316, Crime
3438,Comedy
1987,Comedy
4189,Comedy
2842, Crime
4248, Comedy
2614, War
3737, Family
1737,Comedy
1129,Drama
4384,Drama
4586, War
3359, Family
644, Romance
2016, Romance
3491, Crime
539, Thriller
388,Drama
4778, Fantasy
2906, War
432, Sci-Fi
2769,Adventure
4726, Horror
1957, Fantasy
724, Thriller
3416, Drama
1095,Adventure
1373,Action
89, Animation
940,Drama
249, Sci-Fi
3941,Comedy
529, Family
4486, Crime
3171,Comedy
24, Family
2663, Horror
2484, Thriller
1750,Adventure
2551, Fantasy
502, Sci-Fi
2112, Thriller
452,Mystery
1632, Sport
1786,Comedy
4741, Drama
1276, Sci-Fi
2414,Comedy
1336,Action
2242,Horror
3743,Drama
1092,Action
1627, Fantasy
130, Fantasy
3116, Drama
102,Action
466, Fantasy
4742, Romance
641,Action
4464,Drama
399, Thriller
522,Action
525,Drama
4523, Crime
2757,Drama
1371,Comedy
2979, Crime
1713,Drama
4862, Drama
3550, Mystery
4173, Sci-Fi
2328, Music
330, War
3680,Drama
1135, Crime
1516, Thriller
2494, Family
572,Comedy
1440,Action
4229,Horror
3616, Crime
1153, Crime
352, Sci-Fi
2883, Comedy
3565, Drama
3142, Family
1143,Animation
1106, Adventure
957, Drama
360, Crime
1750, Animation
386, Drama
3468,Comedy
3120, Fantasy
2920, Fantasy
1191, Adventure
79,Adventure
2916,Horror
1576,Drama
1904, Comedy
2281,Action
429, Drama
398,Action
3637, Romance
3529,Drama
3679, Thriller
4081,Comedy
927,Adventure
386,Action
4984,Comedy
1522,Biography
2198, Comedy
802, Sci-Fi
4263, Comedy
3366, Romance
812, Adventure
350, Comedy
4725,Adventure
617, Drama
3576,Drama
2607, Drama
600, Adventure
603,Drama
294,Action
843, Adventure
3572,Drama
756, Comedy
276, Comedy
16, Fantasy
914, Romance
3572, War
286, Thriller
4363,Drama
5027,Drama
1321, War
224, Fantasy
4328,Crime
467,Adventure
756, Fantasy
1212, Music
1074, Crime
1706, Comedy
3469,Drama
1367, Adventure
1424, Family
1111, Animation
1696, Romance
2068, Drama
4208, Crime
563,Action
3615, Drama
1272, Thriller
1281, Romance
2112, Crime
128, Thriller
2456,Adventure
3569,Drama
413,Adventure
4828, Thriller
2970,Adventure
2017, Drama
4576, Drama
329, Thriller
2274, Thriller
4708, Music
885, Drama
630,Action
305, Romance
4407, Drama
4998,Comedy
2726, Sci-Fi
3666,Horror
886, Family
218, Family
2901, Thriller
1398, Drama
4189, Drama
