Index,genres
0," Adventure,  Fantasy,  Sci-Fi, Action"
1," Fantasy,  Adventure, Action"
2,"Action,  Thriller,  Adventure"
3," Thriller, Action"
5," Adventure,  Sci-Fi, Action"
6," Adventure,  Romance, Action"
7," Animation,  Comedy,  Romance,  Musical, Adventure,  Fantasy,  Family"
8," Adventure, Action,  Sci-Fi"
9," Family,  Mystery,  Fantasy, Adventure"
10,"Action,  Adventure,  Sci-Fi"
11,"Action,  Adventure,  Sci-Fi"
12,"Action,  Adventure"
13," Adventure,  Fantasy, Action"
14," Adventure, Action,  Western"
15," Fantasy,  Sci-Fi,  Adventure, Action"
16," Fantasy, Action,  Adventure,  Family"
17," Adventure,  Sci-Fi, Action"
18," Fantasy, Action,  Adventure"
19," Adventure,  Family,  Fantasy,  Comedy,  Sci-Fi, Action"
20,"Adventure,  Fantasy"
21," Fantasy, Action,  Adventure"
22,"Action,  History,  Adventure,  Drama"
23,"Adventure,  Fantasy"
24," Fantasy,  Family, Adventure"
25," Adventure,  Romance,  Drama, Action"
26," Romance, Drama"
27," Adventure, Action,  Sci-Fi"
28,"Action,  Adventure,  Sci-Fi,  Thriller"
29,"Action,  Adventure,  Sci-Fi,  Thriller"
30,"Action,  Adventure,  Thriller"
31,"Action,  Romance,  Fantasy,  Adventure"
32," Sci-Fi,  Adventure, Action"
33,"Adventure,  Family,  Fantasy"
34," Adventure,  Fantasy,  Sci-Fi,  Thriller, Action"
35," Comedy,  Fantasy,  Animation,  Family, Adventure"
36,"Action,  Sci-Fi,  Adventure"
37," Adventure,  Sci-Fi, Action"
38,"Adventure,  Family,  Fantasy"
39," Sci-Fi, Action,  Fantasy,  Adventure"
40," Sci-Fi,  Adventure, Action"
41," Animation,  Comedy,  Sport, Adventure,  Family"
42," Sci-Fi,  Adventure, Action"
43," Fantasy,  Animation,  Comedy,  Family, Adventure"
44," Sci-Fi, Action,  Adventure"
45," Thriller, Action,  Crime"
46," Adventure,  Thriller,  Sci-Fi,  Horror, Action"
47," Adventure,  Fantasy,  Thriller, Action,  Sci-Fi"
48,"Action,  Sci-Fi,  Adventure"
49," Fantasy, Adventure"
50,"Drama,  Romance"
51," Fantasy,  Romance, Action,  Adventure"
52," Adventure, Action,  Sci-Fi"
53," Adventure, Action,  Sci-Fi"
54," Adventure, Action,  Fantasy"
56," Fantasy,  Family,  Comedy, Adventure,  Animation"
57," Sci-Fi,  Adventure, Action,  Thriller"
58," Animation,  Sci-Fi,  Family, Adventure"
59," Thriller, Action,  Comedy,  Crime"
60," Sci-Fi,  Adventure, Action"
61," Fantasy,  Family, Animation,  Drama"
62," Adventure, Action,  Sci-Fi"
63," Romance,  Adventure,  Drama, Action"
64," Fantasy, Adventure,  Family"
65," Adventure,  Sci-Fi, Action"
66," Crime,  Drama,  Thriller, Action"
67,"Adventure,  Animation,  Family,  Comedy"
68,"Action,  Family,  Sci-Fi,  Comedy,  Animation,  Adventure"
69," Sci-Fi, Action,  Adventure"
70," Family, Adventure,  Mystery,  Drama"
71," Western,  Sci-Fi,  Comedy, Action"
72," Adventure, Action,  Thriller,  Horror,  Fantasy"
73," Comedy,  Adventure,  Sci-Fi, Action"
74," Family, Comedy,  Fantasy"
75,"Action,  Sci-Fi,  Adventure"
76," Sci-Fi,  Adventure,  Thriller, Action"
77,"Action,  Adventure,  Thriller,  Sci-Fi"
78," Drama,  Animation,  Family,  Fantasy, Adventure,  Comedy"
79,"Adventure,  Fantasy,  Family,  Drama"
80,"Action,  Sci-Fi,  Adventure"
81," Drama,  Fantasy,  Adventure, Action"
82," Romance, Action,  Family,  Fantasy,  Adventure"
83," Drama,  Adventure, Action,  Sci-Fi"
85," Adventure,  Fantasy,  Drama, Action"
86," Adventure, Action,  Sci-Fi"
87," Fantasy, Adventure,  Comedy,  Animation,  Family"
88,"Action,  Mystery,  Sci-Fi,  Family,  Adventure"
89," Comedy,  Adventure, Action,  Family,  Drama,  Sci-Fi,  Animation"
90," Comedy,  Family,  Sci-Fi,  Animation, Adventure"
91," Family, Adventure,  Fantasy,  Animation"
92," Sci-Fi,  Adventure, Action"
93," Family, Adventure,  Fantasy,  Animation"
94," Sci-Fi, Action"
95,"Action,  Sci-Fi,  Adventure"
96," Sci-Fi, Adventure,  Drama"
97,"Action,  Adventure,  Sci-Fi,  Thriller"
100," Crime, Action,  Thriller"
101," Romance, Drama,  Fantasy"
102," Adventure,  Sci-Fi, Action"
103,"Adventure,  Sci-Fi"
104," Fantasy,  Adventure, Action,  Family"
105,"Action,  Thriller,  Drama,  Adventure"
106,"Adventure,  Family,  Fantasy"
107," Family, Adventure,  Comedy,  Animation,  Fantasy"
108,"Action,  Adventure,  Fantasy"
109," Sci-Fi,  Adventure, Action"
110," Family, Adventure,  Fantasy"
111," War, Action,  Romance,  Drama,  History"
112," Adventure, Action,  Sci-Fi"
113," Biography,  War,  Romance,  Drama,  Adventure,  History, Action"
114," Family,  Fantasy,  Mystery, Adventure"
115," Family,  Mystery,  Fantasy, Adventure"
116," Drama, Action"
117,"Drama,  Sci-Fi,  Horror"
118," Fantasy, Adventure,  Comedy,  Family"
119," Family,  Fantasy, Animation,  Comedy"
120," Adventure, Action"
121," Animation, Action,  Family,  Comedy,  Adventure"
122,"Adventure,  Family,  Fantasy,  Comedy"
123,"Action,  Fantasy,  Adventure,  Thriller,  Sci-Fi"
124,"Action,  Sci-Fi"
125," Fantasy,  Animation,  Musical,  Comedy, Adventure,  Family"
126," Sci-Fi, Action"
127," Adventure,  Fantasy, Action"
128," Adventure, Action,  Sci-Fi,  Thriller"
129," Thriller, Mystery"
130," Adventure, Action,  Fantasy"
131," Animation,  Drama,  Comedy, Adventure,  Family"
132," Fantasy,  Family,  Comedy,  Sci-Fi,  Animation, Action,  Adventure"
133,"Action,  Fantasy,  Adventure"
134,"Comedy,  Fantasy,  Horror"
135," Adventure, Action,  Thriller"
136," Fantasy,  Thriller,  Horror, Drama"
137," Adventure,  Drama, Action,  Romance"
138," Family,  Animation,  Comedy, Adventure"
139," Family, Action,  Animation,  Comedy,  Adventure"
140," Family, Action,  Adventure,  Fantasy"
141," Thriller,  Adventure, Action"
142,"Action,  Thriller,  Drama"
143," Family,  Adventure, Action,  Animation,  Comedy,  Sci-Fi"
144," Family,  Animation,  Comedy, Adventure"
145,"Adventure,  Family,  Fantasy"
146," Sci-Fi,  Family,  Comedy, Adventure,  Animation"
147,Adventure
148," Comedy,  Animation,  Family, Adventure"
149,"Action,  Thriller,  Adventure"
150," Comedy,  Fantasy,  Sci-Fi, Action"
151," Thriller, Action,  Adventure,  Sci-Fi"
152," Fantasy,  Adventure,  Sci-Fi, Action,  Mystery,  Comedy,  Family"
153,"Action,  Adventure,  Fantasy,  Animation"
154," Adventure,  Comedy,  Family, Action,  Animation"
155,"Action,  Thriller,  Adventure"
156," Animation,  Fantasy,  Family, Adventure"
157,"Comedy,  Crime"
158,"Action,  History,  War,  Drama"
159,"Action,  Adventure,  Drama"
160,"Action,  Sci-Fi,  Adventure"
161," Adventure,  Romance, Action,  Fantasy"
162," Comedy,  Family,  Fantasy, Action,  Adventure,  Animation"
163,"Action,  Adventure,  Fantasy"
164," Thriller, Action,  Adventure,  Sci-Fi"
165," Mystery, Action,  Drama,  Sci-Fi"
166,"Action,  Crime,  Thriller"
167,"Action,  Sci-Fi"
168," Thriller, Action,  Adventure,  Sci-Fi"
169," Adventure, Action,  Comedy,  Thriller"
170," Adventure, Action,  Sci-Fi,  Animation,  Fantasy,  Romance"
171,"Action,  Adventure,  Sci-Fi"
172," Thriller,  Adventure, Action"
173," History,  Adventure, Action,  War,  Drama"
174," Fantasy,  Romance, Adventure,  Drama"
175," Musical,  Comedy,  Family, Animation"
176," Adventure, Action,  Sci-Fi"
178," Fantasy,  Family, Adventure"
179,"Adventure,  Western,  Drama,  Thriller"
180," Sport, Adventure,  Family,  Animation,  Comedy"
181," Family, Adventure,  Western,  Comedy,  Animation"
182," Comedy,  Family, Adventure,  Animation"
183," Thriller, Action,  Mystery"
184," Comedy,  Adventure,  Animation,  Family, Action"
185," Sci-Fi,  Adventure, Action,  Comedy"
