Dato,Tid,Eksamen,Fagkode,Lokaler
20.05. 2019,08.30-11.30,Administrativ ledelse,1509A,AU
20.05. 2019,08.30-11.30,Administrativ ledelse,1509A, C1.1
20.05. 2019,08.30-11.30,Administrativ ledelse,1509A, C2.1/03
03.06. 2019,0,AK dansk skr.,801,AU
03.06. 2019,0,AK dansk skr.,801, A1.3
04.06. 2019,08.30-14.30,EL4AU,1507,AU
04.06. 2019,08.30-14.30,EL4AU,1507, A2.4
04.06. 2019,08.30-14.30,EL4AU,1507, A2.5/Inn
11.06. 2019,0,AK matm. skr.,804,A2.1
11.06. 2019,0,AK matm. skr.,804, A1.2
14.06. 2019,1,EL3 skr.,1306,0
14.06.2019,2,EL - Elektronik skr.,18520,1
