deployDate,recoveryDate,between_days
2/17/2009,5/16/2009, 2009-03-08
2/17/2009,5/16/2009,2009-04-22
2/21/2017,5/16/2017, 2017-05-05
3/1/2014,5/21/2014, 2014-03-04
2/23/2008,5/20/2008,2008-05-13
2/17/2009,5/16/2009, 2009-03-15
3/8/2010,5/5/2010,2010-04-09
2/17/2015,5/21/2015, 2015-04-05
3/8/2010,5/5/2010, 2010-04-24
2/15/2016,5/25/2016,2016-05-20
2/17/2009,5/16/2009, 2009-02-23
1/28/2013,5/6/2013, 2013-03-19
3/8/2010,5/5/2010,2010-04-05
1/28/2013,5/6/2013, 2013-04-24
2/17/2015,5/21/2015, 2015-05-02
2/23/2008,5/20/2008,2008-02-23
2/17/2011,5/8/2011, 2011-04-28
1/28/2013,5/6/2013, 2013-04-11
3/8/2010,5/5/2010, 2010-04-07
3/1/2014,5/21/2014, 2014-05-09
3/8/2010,5/5/2010, 2010-05-05
2/17/2011,5/8/2011, 2011-05-07
2/17/2015,5/21/2015, 2015-04-27
2/23/2008,5/20/2008, 2008-03-13
1/28/2013,5/6/2013, 2013-02-06
2/23/2008,5/20/2008, 2008-03-25
2/23/2008,5/20/2008, 2008-03-12
3/1/2014,5/21/2014,2014-04-22
2/17/2009,5/16/2009, 2009-03-27
2/23/2008,5/20/2008, 2008-04-04
2/17/2009,5/16/2009, 2009-02-20
2/23/2008,5/20/2008,2008-04-11
2/17/2009,5/16/2009,2009-05-04
2/17/2009,5/16/2009, 2009-04-20
2/17/2009,5/16/2009, 2009-05-07
2/17/2015,5/21/2015,2015-03-13
3/8/2010,5/5/2010,2010-04-01
2/17/2009,5/16/2009, 2009-03-14
3/1/2014,5/21/2014, 2014-03-03
2/13/2018,5/30/2018,2018-05-29
3/8/2010,5/5/2010, 2010-03-15
2/23/2008,5/20/2008,2008-05-05
2/13/2018,5/30/2018, 2018-05-21
2/23/2008,5/20/2008, 2008-04-30
2/13/2018,5/30/2018, 2018-02-22
2/17/2009,5/16/2009,2009-03-29
2/21/2017,5/16/2017, 2017-04-03
2/17/2011,5/8/2011, 2011-02-28
1/28/2013,5/6/2013, 2013-03-10
2/21/2017,5/16/2017,2017-03-25
2/17/2015,5/21/2015, 2015-04-01
2/13/2018,5/30/2018, 2018-05-26
3/1/2014,5/21/2014, 2014-04-17
2/17/2011,5/8/2011, 2011-04-29
2/17/2015,5/21/2015, 2015-03-31
2/17/2011,5/8/2011, 2011-03-27
2/15/2016,5/25/2016,2016-02-15
2/13/2018,5/30/2018, 2018-02-17
2/17/2011,5/8/2011, 2011-03-08
2/21/2017,5/16/2017, 2017-05-11
2/17/2011,5/8/2011, 2011-04-11
2/17/2011,5/8/2011, 2011-04-23
