Restaurant_id,City,Ranking,Rating,Price Range,Number of Reviews,ID_TA,Cuisine Style
id_1,Zurich,2,4.5,$$ - $$$,418.0,d10169867,"  Vegan Options,   Vegetarian Friendly,   Asian, Indian"
id_1000,Oporto,1001,4.5,NaN,5.0,d12336001,Other
id_1004,Budapest,1005,5.0,NaN,17.0,d3685490,European
id_10057,Paris,10059,4.5,NaN,4.0,d2040769,Other
id_101,Helsinki,102,4.0,$$ - $$$,231.0,d3456729,"  Pizza, Italian,   Vegetarian Friendly"
id_1010,Berlin,1012,3.5,$$ - $$$,440.0,d1507237,"  Gluten Free Options, Asian,   Vegetarian Friendly,   Thai"
id_1010,Hamburg,1012,4.5,NaN,9.0,d1347837,Other
id_1012,Helsinki,1013,3.0,NaN,19.0,d3345223,  Sushi
id_10157,London,10166,5.0,$$ - $$$,4.0,d9602787,Lebanese
id_1018,Brussels,1019,4.5,NaN,45.0,d5599563,Other
id_1025,Warsaw,1026,4.5,NaN,3.0,d12685574,Other
id_10299,Paris,10301,4.0,NaN,4.0,d7147205,Mediterranean
id_10305,London,10314,4.0,$,13.0,d8463851,  Sushi
id_1033,Dublin,1035,3.5,$$ - $$$,230.0,d1553821,Irish
id_1033,London,1035,4.5,$$ - $$$,193.0,d8599829,"  Turkish, Mediterranean,   European,   Middle Eastern,   Vegan Options,   Gluten Free Options"
id_10343,Paris,10345,3.5,NaN,6.0,d12681857,Other
id_1040,Budapest,1041,4.5,$,14.0,d10354665,"  Hungarian, Fast Food"
id_1041,Stockholm,1042,4.0,NaN,37.0,d3529487,Cafe
id_1048,Paris,1049,4.5,$$$$,281.0,d719083,"  European, French"
id_10665,London,10675,4.0,NaN,7.0,d10677156,Other
id_1069,Dublin,1072,4.5,$$ - $$$,17.0,d5536153,  Vegetarian Friendly
id_1076,Warsaw,1077,5.0,$,2.0,d12018194,"  European,   Fusion"
id_1079,Lisbon,1080,4.0,$$ - $$$,167.0,d2703359,  European
id_108,Hamburg,109,4.0,$$ - $$$,371.0,d1353540,"  Gastropub,   Central European,   Bar, German"
id_10876,London,10886,4.0,$$ - $$$,20.0,d4185485,"Indian,   Asian,   Eastern European,   Balti,   Vegetarian Friendly"
id_1089,Lyon,1090,4.0,$$ - $$$,22.0,d10389470,French
id_111,Edinburgh,112,4.5,$$ - $$$,1951.0,d1186842,"  Pub,   Vegetarian Friendly,   European"
id_111,Ljubljana,112,4.5,$,30.0,d5965027,Chinese
id_11121,London,11131,4.5,$$ - $$$,7.0,d8659568,Bar
id_11134,London,11144,4.5,$,8.0,d2225278,"  British, Turkish"
id_1115,Rome,1116,4.5,$$ - $$$,87.0,d7359557,"  Vegan Options, Pizza,   Vegetarian Friendly"
id_11158,London,11168,4.0,NaN,9.0,d12277704,Other
id_11266,London,11276,4.0,$$ - $$$,10.0,d9740703,"  Spanish, Latin"
id_11306,London,11316,3.5,$$ - $$$,47.0,d2643319,"  Pub,   Spanish,   Bar,   European"
id_1132,Paris,1133,4.5,$$$$,255.0,d1877226,"  Asian, Japanese"
id_1133,Brussels,1134,3.5,$$ - $$$,61.0,d1082420,"  Pizza, Italian,   European"
id_1135,Zurich,1140,4.5,NaN,4.0,d6620235,"  Vietnamese, Chinese"
id_11407,London,11417,4.5,NaN,3.0,d10109314,Other
id_1141,Milan,1143,4.5,$$ - $$$,28.0,d12710453,"Indian,   Vegan Options,   Vegetarian Friendly"
id_11432,Paris,11434,4.0,NaN,15.0,d1074698,Other
id_1149,Madrid,1150,4.5,$$ - $$$,53.0,d12099376,  Gluten Free Options
id_11560,Paris,11562,3.5,NaN,129.0,d4227711,Other
id_11602,London,11612,4.0,NaN,16.0,d10392913,Other
id_1167,Brussels,1168,4.0,$$ - $$$,26.0,d11962971,"European,   Contemporary"
id_1168,Lisbon,1169,4.0,$$ - $$$,67.0,d6883153,"  European, Seafood,   Mediterranean,   Portuguese"
id_1182,Copenhagen,1176,5.0,NaN,3.0,d6813236,  Sushi
