Restaurant_id,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,ID_TA
id_198,Zurich,  Vegetarian Friendly,200,4.0,$$$$,211.0,d797737
id_35,Budapest,  European,36,4.5,$$ - $$$,2340.0,d696117
id_1461,Milan,  Seafood,1463,3.5,$,283.0,d2589168
id_8,Ljubljana,  Gluten Free Options,9,4.5,$$ - $$$,816.0,d8124300
id_7038,London,  Pub,7047,4.0,$$ - $$$,97.0,d5414878
id_4653,Madrid,Spanish,4656,4.0,$,18.0,d11754798
id_1409,Budapest,  European,1410,5.0,NaN,NaN,d13197631
id_2601,Paris,  Pizza,2602,4.5,$$ - $$$,76.0,d1503730
id_2946,Vienna,Other,2948,4.0,NaN,6.0,d8319709
id_53,Bratislava,  European,54,4.0,$$$$,313.0,d1112673
id_4463,Paris,  Vegetarian Friendly,4464,3.5,$$ - $$$,396.0,d742407
id_1200,London,European,1202,4.0,$$ - $$$,278.0,d719718
id_1033,London,  Turkish,1035,4.5,$$ - $$$,193.0,d8599829
id_6315,Madrid,  Healthy,6318,4.0,$,16.0,d7792070
id_3287,Rome,Italian,3288,4.5,$,44.0,d9710052
id_8019,London,Seafood,8028,4.0,$$ - $$$,49.0,d8677313
id_1182,Copenhagen,  Sushi,1176,5.0,NaN,3.0,d6813236
id_4845,London,European,4854,4.0,$$ - $$$,206.0,d3400459
id_573,Barcelona,  Gluten Free Options,574,4.0,$$$$,604.0,d986276
id_40,Edinburgh,  Mediterranean,41,4.5,$$ - $$$,834.0,d1871954
id_4294,Paris,  European,4295,4.0,$$ - $$$,69.0,d798936
id_639,Budapest,  Bar,640,4.0,$$ - $$$,93.0,d1489269
id_163,Stockholm,  Middle Eastern,164,4.5,$,99.0,d3478764
id_6720,Madrid,Mediterranean,6723,3.5,$$ - $$$,2.0,d4093995
id_3287,Rome,  Vegan Options,3288,4.5,$,44.0,d9710052
id_887,Lisbon,  Portuguese,888,4.5,$$ - $$$,66.0,d6432242
id_887,Lisbon,  Contemporary,888,4.5,$$ - $$$,66.0,d6432242
id_229,Helsinki,  Vegetarian Friendly,230,4.0,$$ - $$$,47.0,d4476199
id_11306,London,  Pub,11316,3.5,$$ - $$$,47.0,d2643319
id_3695,Barcelona,  European,3696,3.5,$$ - $$$,127.0,d2179945
id_3270,Rome,  Pizza,3271,4.0,$$ - $$$,85.0,d6981542
id_284,Paris,  Vegetarian Friendly,285,5.0,$,93.0,d11929974
id_29,Ljubljana,  Central European,30,4.5,$$ - $$$,87.0,d12089348
id_1168,Lisbon,  European,1169,4.0,$$ - $$$,67.0,d6883153
id_1501,Barcelona,Bar,1502,4.0,$$ - $$$,144.0,d8737446
id_173,Hamburg,Seafood,174,4.0,$$ - $$$,142.0,d1340332
id_13850,London,  Vegetarian Friendly,13860,3.5,$$ - $$$,32.0,d7949523
id_486,Zurich,  European,489,4.0,$$ - $$$,90.0,d1139366
id_883,Amsterdam,Spanish,885,4.5,$$ - $$$,47.0,d12557535
id_5569,Paris,  French,5570,3.5,$$ - $$$,194.0,d1912643
id_213,Helsinki,  International,214,4.5,$,100.0,d784491
id_1585,Lyon,Italian,1586,4.0,$$ - $$$,25.0,d4295258
id_2040,Madrid,Mediterranean,2042,3.5,$$ - $$$,339.0,d1109944
id_6149,Barcelona,Other,6150,3.5,NaN,34.0,d1417391
id_13892,Paris,  Healthy,13894,5.0,$$ - $$$,NaN,d8660001
id_900,Prague,  Central European,901,4.0,$,139.0,d4769383
id_20,Budapest,European,21,4.5,$$$$,956.0,d696038
id_1862,Rome,  Vegetarian Friendly,1863,4.5,$$ - $$$,89.0,d9603011
id_3015,Rome,Italian,3016,3.0,$$ - $$$,1012.0,d2226584
id_307,Oslo,Japanese,308,4.5,$,31.0,d6727449
id_249,Ljubljana,Seafood,250,3.5,$$ - $$$,101.0,d4068550
id_1776,Brussels,  European,1777,4.5,$,3.0,d11445075
id_279,Dublin,  European,280,4.0,$$ - $$$,257.0,d1785149
id_173,Hamburg,  European,174,4.0,$$ - $$$,142.0,d1340332
id_6811,Paris,  Vegetarian Friendly,6812,4.0,$$$$,34.0,d12170386
id_12287,Paris,Other,12289,3.0,NaN,8.0,d11666969
id_655,Paris,Chinese,656,4.5,$$ - $$$,187.0,d2044612
id_1239,Rome,  Mediterranean,1240,4.0,$$ - $$$,302.0,d4023512
id_197,Bratislava,  International,198,4.5,$$ - $$$,6.0,d13203526
id_537,Madrid,Spanish,538,4.0,$$ - $$$,515.0,d991104
id_10157,London,Lebanese,10166,5.0,$$ - $$$,4.0,d9602787
id_451,Lisbon,  Portuguese,452,5.0,$,78.0,d8591395
id_4777,London,Bar,4786,4.5,$$ - $$$,85.0,d2188472
id_3705,London,Mediterranean,3712,4.0,$$ - $$$,187.0,d1016160
id_211,Barcelona,  Contemporary,212,4.5,$$ - $$$,773.0,d2470800
id_1968,Vienna,  Austrian,1970,4.0,$$ - $$$,39.0,d7920021
id_152,Luxembourg,  Sushi,153,4.0,$$ - $$$,80.0,d743790
id_1167,Brussels,European,1168,4.0,$$ - $$$,26.0,d11962971
id_1461,Milan,  Japanese,1463,3.5,$,283.0,d2589168
id_70,Copenhagen,  Bar,71,4.0,$$ - $$$,879.0,d7986173
id_792,London,Australian,793,4.0,$$ - $$$,381.0,d8419110
id_194,Warsaw,  European,195,4.0,$$ - $$$,143.0,d779167
id_4310,London,  Cafe,4317,4.0,$$ - $$$,122.0,d3661709
id_4706,London,Chinese,4714,3.5,$$ - $$$,376.0,d1388962
id_4618,Milan,Other,4621,4.0,NaN,NaN,d8339930
id_229,Helsinki,  European,230,4.0,$$ - $$$,47.0,d4476199
id_885,Dublin,  Bar,886,3.5,$$ - $$$,250.0,d1771808
id_1457,Oporto,  Fusion,1458,4.5,$,2.0,d12147644
id_4481,Milan,  Mediterranean,4484,3.0,$$ - $$$,1063.0,d2204143
id_862,Milan,  Seafood,864,4.0,$$ - $$$,253.0,d1097463
id_788,Krakow,  Fast Food,789,4.0,$,29.0,d4560491
id_2356,Berlin,German,2358,4.5,$,19.0,d4342126
id_1815,Berlin,Italian,1817,3.5,$$ - $$$,1067.0,d1119896
id_4693,London,American,4701,4.0,$$ - $$$,185.0,d1906552
id_615,Hamburg,  Mediterranean,616,5.0,$$ - $$$,16.0,d10302492
id_6074,Madrid,Pizza,6077,3.5,$,18.0,d8427291
id_4066,London,  Pizza,4073,3.5,$$ - $$$,286.0,d2259559
id_4452,Rome,  Wine Bar,4453,4.0,$$ - $$$,171.0,d7995957
id_903,Madrid,  Argentinean,904,4.5,$,28.0,d12500357
id_739,Budapest,  Eastern European,740,4.0,$$ - $$$,98.0,d2171461
id_13175,Paris,  International,13177,3.0,$$ - $$$,121.0,d3405673
id_245,Stockholm,  Vegan Options,246,4.0,$$ - $$$,92.0,d8774485
id_514,Madrid,  European,515,4.0,$$ - $$$,231.0,d4473807
id_307,Oslo,  Asian,308,4.5,$,31.0,d6727449
id_1275,Rome,  European,1276,4.0,$$ - $$$,377.0,d2439603
id_1254,Geneva,Italian,1260,3.0,NaN,6.0,d2625256
id_529,Milan,  Vegan Options,530,4.5,$$ - $$$,233.0,d3691545
id_773,Vienna,  European,774,4.0,$$$$,67.0,d5976718
id_279,Dublin,  Pizza,280,4.0,$$ - $$$,257.0,d1785149
id_9103,Paris,  European,9105,4.0,$$ - $$$,44.0,d718744
id_1504,Rome,  Pub,1505,4.0,$,403.0,d7208833
id_403,Dublin,  Asian,404,4.5,$$ - $$$,275.0,d5533891
id_7510,Barcelona,Spanish,7511,2.5,$$ - $$$,13.0,d4133931
id_3909,Paris,Italian,3910,5.0,$$ - $$$,11.0,d12563331
id_1655,Madrid,  Asian,1657,5.0,$$$$,11.0,d13174390
id_13403,London,Other,13413,3.5,NaN,3.0,d12452377
id_2256,London,  Vegan Options,2261,4.5,$$ - $$$,273.0,d3253550
id_12307,London,  Malaysian,12317,3.5,$$ - $$$,63.0,d1018974
id_6624,Barcelona,  Cafe,6625,3.0,$$ - $$$,169.0,d3292870
id_851,Zurich,  European,855,4.5,$,12.0,d4226084
id_456,Rome,  Mediterranean,457,4.5,$$ - $$$,1237.0,d3134650
id_8235,Paris,Other,8236,5.0,NaN,NaN,d11861153
id_8121,Madrid,  Spanish,8128,2.5,$$ - $$$,1768.0,d697526
id_7701,Paris,  Sushi,7702,3.5,$$ - $$$,51.0,d789885
id_997,Rome,  Gluten Free Options,998,4.0,$$ - $$$,367.0,d2042134
id_661,Barcelona,  Vegetarian Friendly,662,3.5,$$ - $$$,1332.0,d1137212
id_31,Paris,  Vegan Options,32,4.5,$$ - $$$,548.0,d785995
id_18,Dublin,  Pub,19,4.5,$$ - $$$,670.0,d6482548
id_792,London,  Gluten Free Options,793,4.0,$$ - $$$,381.0,d8419110
id_1012,Helsinki,  Sushi,1013,3.0,NaN,19.0,d3345223
id_357,Milan,  Mediterranean,358,4.0,$$ - $$$,472.0,d8076891
id_2355,Barcelona,  Contemporary,2356,4.5,$$$$,15.0,d12254437
id_1905,Barcelona,  European,1906,4.0,$$ - $$$,250.0,d8602690
id_2355,Barcelona,Mediterranean,2356,4.5,$$$$,15.0,d12254437
id_332,Rome,  Vegetarian Friendly,333,4.5,$$ - $$$,153.0,d12423010
id_1167,Brussels,  Contemporary,1168,4.0,$$ - $$$,26.0,d11962971
id_4773,Madrid,  Healthy,4776,4.0,$$ - $$$,7.0,d10859423
id_322,Dublin,Greek,323,4.5,$$ - $$$,55.0,d12564018
id_2236,Lisbon,  Portuguese,2239,3.5,$$ - $$$,185.0,d2091250
id_430,Krakow,  Czech,431,4.5,$,38.0,d8425435
id_156,Budapest,  Vegetarian Friendly,157,4.0,$$ - $$$,438.0,d1648922
id_7470,Madrid,Chinese,7476,4.0,$,5.0,d11931682
id_156,Budapest,  Bar,157,4.0,$$ - $$$,438.0,d1648922
id_866,Athens,Other,868,4.5,NaN,12.0,d7690496
id_1261,Rome,  Vegetarian Friendly,1262,4.0,$,822.0,d4811912
id_1815,Berlin,  Vegan Options,1817,3.5,$$ - $$$,1067.0,d1119896
id_1346,London,  Vegetarian Friendly,1348,4.5,$,156.0,d8125299
id_8,Oslo,  Vegetarian Friendly,9,4.5,$$ - $$$,956.0,d9459585
id_13850,London,  Italian,13860,3.5,$$ - $$$,32.0,d7949523
id_2480,Paris,French,2481,4.5,$$ - $$$,151.0,d1208595
id_6319,Barcelona,Other,6320,3.5,NaN,43.0,d1153049
id_20,Budapest,  Hungarian,21,4.5,$$$$,956.0,d696038
id_2889,Rome,  Argentinean,2890,4.5,$,15.0,d12323685
id_3652,Lisbon,  European,3657,2.0,$$ - $$$,292.0,d1096951
id_158,Warsaw,  Vegan Options,159,4.0,$$ - $$$,187.0,d6369030
id_2721,Amsterdam,Greek,2728,4.0,NaN,NaN,d7787852
id_12307,London,  Thai,12317,3.5,$$ - $$$,63.0,d1018974
id_73,Edinburgh,Indian,74,4.5,$$ - $$$,1806.0,d1545969
id_1862,Rome,  Mediterranean,1863,4.5,$$ - $$$,89.0,d9603011
id_945,Berlin,Italian,946,4.0,$,164.0,d4823847
id_716,Budapest,  European,717,5.0,$,9.0,d12667708
id_4021,Rome,Italian,4022,5.0,$,11.0,d11885698
id_7370,Paris,French,7371,5.0,NaN,5.0,d7132084
id_1820,Milan,Italian,1822,3.5,$,567.0,d1100325
id_1339,London,  Gluten Free Options,1341,4.0,$$ - $$$,1495.0,d3181518
id_2647,Madrid,Other,2649,5.0,NaN,19.0,d8362902
id_400,Madrid,  European,401,4.0,$$ - $$$,774.0,d8415205
id_1272,Barcelona,  Vegan Options,1273,4.0,$$$$,554.0,d1080720
id_1801,Amsterdam,  Vegetarian Friendly,1806,5.0,$,8.0,d8656639
id_1810,Berlin,  Vietnamese,1812,4.0,$,68.0,d5532050
id_9935,Paris,  Spanish,9937,3.5,$$$$,16.0,d7047167
id_1705,Budapest,Other,1706,4.0,NaN,6.0,d9747453
id_14612,London,Other,14623,3.0,NaN,39.0,d7994738
id_3998,Rome,  Pizza,3999,4.0,$$ - $$$,137.0,d2323613
id_4452,Rome,  Bar,4453,4.0,$$ - $$$,171.0,d7995957
id_211,Barcelona,  Vegetarian Friendly,212,4.5,$$ - $$$,773.0,d2470800
id_2904,Vienna,Italian,2906,3.5,NaN,3.0,d12350248
id_3556,Madrid,  Vegetarian Friendly,3558,4.0,$$ - $$$,24.0,d8857488
id_1576,Budapest,Vietnamese,1577,4.0,$,24.0,d7651862
id_1208,Vienna,  Street Food,1209,4.5,$$ - $$$,8.0,d12995806
id_1811,Hamburg,Chinese,1814,4.0,$$ - $$$,2.0,d10250368
id_8229,Madrid,  Diner,8236,2.5,$$ - $$$,55.0,d4731719
id_707,Edinburgh,  Vegetarian Friendly,708,4.0,$$ - $$$,121.0,d2390091
id_2783,Rome,  Pizza,2784,4.0,$,161.0,d3567816
id_1327,Budapest,Other,1328,5.0,NaN,NaN,d8791087
id_131,Dublin,  Vegan Options,132,4.5,$$ - $$$,404.0,d3859070
id_522,Budapest,  European,523,4.5,$$ - $$$,40.0,d9710368
id_2711,Madrid,Bar,2713,4.5,$,9.0,d12354572
id_2928,Paris,Vegetarian Friendly,2929,4.5,$$ - $$$,51.0,d7990468
id_9948,Paris,Other,9950,4.0,NaN,25.0,d12320220
id_1579,Rome,  International,1580,4.5,$$ - $$$,64.0,d10744198
id_3005,London,  Vegan Options,3011,4.5,$$ - $$$,91.0,d2516361
id_6624,Barcelona,  Mediterranean,6625,3.0,$$ - $$$,169.0,d3292870
id_13354,London,Asian,13364,4.0,$,34.0,d3192609
id_7335,London,Bar,7344,4.0,$$ - $$$,50.0,d4600862
id_883,Amsterdam,  Pub,885,4.5,$$ - $$$,47.0,d12557535
id_11602,London,Other,11612,4.0,NaN,16.0,d10392913
id_8120,London,Other,8129,5.0,NaN,3.0,d11842481
id_639,Budapest,American,640,4.0,$$ - $$$,93.0,d1489269
id_6090,London,Indian,6099,3.5,$$ - $$$,136.0,d731204
id_8227,Madrid,Other,8234,3.0,NaN,2.0,d5869951
id_1941,Milan,Other,1943,4.0,NaN,47.0,d10701333
id_3341,Lisbon,  Portuguese,3345,3.5,NaN,3.0,d8772965
id_48,Rome,  Vegan Options,49,4.5,$$ - $$$,1724.0,d8511258
id_2198,Milan,  Pub,2200,4.0,$,75.0,d4909559
id_559,Athens,Mediterranean,560,3.5,$$ - $$$,304.0,d1070166
id_299,Amsterdam,  Vegetarian Friendly,300,4.0,$$ - $$$,1103.0,d779071
id_14,Helsinki,  European,15,4.0,$$ - $$$,1488.0,d850178
id_2575,Paris,  Thai,2576,4.0,$$ - $$$,205.0,d719805
id_31,Paris,  Gluten Free Options,32,4.5,$$ - $$$,548.0,d785995
id_6338,Paris,  Bar,6339,4.0,$$ - $$$,83.0,d1904460
id_934,Athens,Mediterranean,936,4.5,$$ - $$$,28.0,d3654659
