mission_title,Target
STS-35,163
Soyuz TM-33/32,355
Salyut 6,83
STS-42,185
STS-116,453
STS-88,296
13,396
STS­100,405
STS-40,253
STS-42,267
STS-94,360
STS-120,400
STS-72,270
Gemini 8,24
Soyuz 31,90
STS-51-G,171
Soyuz TMA­1/TM­34,395
15,460
STS-62,227
Soyuz 11,42
38,409
STS-30,218
STS-9,63
53,491
STS-69,290
STS-50,223
56,539
18,343
STS-72,344
STS-7,120
Salyut 7,98
STS-5,113
7,311
STS-78,352
STS-83,360
STS-7,119
STS-71,187
Soyuz 11,53
STS-42,131
14,454
Shenzhou 5,434
STS-87,368
Soyuz TM-11/10,242
Apollo 15,55
STS-103,280
STS-112,424
STS-61-A,187
STS-133,462
STS-115,286
STS-94,315
STS-58,215
STS-73,225
48,525
STS-76,273
STS-120,446
37,455
STS-43,171
24,426
20,332
STS-89,374
Soyuz 22,79
Soyuz 38,85
21,345
STS-57,298
3,409
STS-41-C,139
STS-117,459
STS-6,117
STS-63,271
STS-107,433
Apollo 9,18
STS-108,412
STS-70,330
STS-61-C,146
3,206
STS87,371
STS-52,286
STS-61,225
10,183
STS-109,296
49,551
STS-51-L,139
STS-51-C,158
STS-51-D,115
Apollo 7,31
5,422
STS-73,274
1,204
STS-8,127
STS-103,326
STS-26,142
STS-81,326
STS-120,467
STS-29,215
STS-51G,170
STS-51-A,154
STS-129,510
Soyuz 8,34
34,498
STS-60,283
STS-35,129
STS-46,163
STS­60,212
Soyuz 16,51
STS-108,244
STS-74,305
Soyuz 7,42
13,289
4,183
STS-27,213
STS-97,153
STS-99,298
Shenzhou 9,528
STS-96,254
23,513
STS-81,227
Soyuz 5/4,36
STS-68,297
12,277
STS-53,233
STS-109,350
2,308
MA-6,3
STS-61-A,125
STS-112,400
STS-61-C,197
Salyut 6,93
STS-49,231
STS-51-D,160
STS-67,265
STS-39,250
STS-61C,142
Mir Aragatz,108
STS-96,344
Soyuz 7,75
28,444
STS-63,226
1,98
Soyuz 13,70
26,467
STS-44,264
STS-38,216
STS-99,285
Soyuz TMA­5,437
14,409
33,530
46,502
Gemini 11,28
STS-135,499
STS-51-J,185
STS-134,435
STS-121,446
STS-42,122
Skylab 3,62
Salyut 7,107
3,211
Mir EO-15,308
STS-71,223
Soyuz TM-14/13,269
STS-60,196
Salyut 7,70
STS 51-L,157
Salyut 4,75
24,375
STS-52,226
STS-115,341
STS-86,327
STS-79,303
STS-41,234
STS-120,323
STS-114,349
STS-112,425
STS-61C,199
Soyuz TMA-18M/16M,545
STS-87,342
Soyuz TM­33/32,241
STS-131,446
56,557
STS-61A,189
STS-51,302
Soyuz 16,41
STS-125,326
STS-37,244
STS-34,197
STS-58,171
STS-39,144
STS-45,150
STS-70,331
41,540
STS-51-I,181
STS-102,226
6,208
STS-125,377
31,384
25,312
10,314
STS-134,418
Shenzhou 10,533
Soyuz 14,71
STS-125,496
Soyuz TM­33/32,410
STS-121,425
STS-67,327
STS-62,238
Soyuz TMA-18M/16M,544
ASTP,76
Salyut 7,143
Apollo 11,29
STS-70,261
STS-90,378
STS-2,105
STS-55,292
STS-85,366
STS-73,336
STS-61-B,194
10,259
STS­63,118
STS-51-B,165
STS-61-A,109
STS-9,129
Salyut 7,136
STS-125,495
STS-30,193
STS-76,304
STS-123,350
Apollo 17,59
27,388
STS-51,236
15,241
STS-40,255
32,454
STS-116,451
STS-31,150
STS-92,343
STS-50,275
STS-103,282
Soyuz TMA-11/10,464
STS-110,416
5,354
STS-119,490
Soyuz TM-17 / Soyuz TM-16,300
STS-119,404
STS-52,214
STS-88,192
18,424
STS-78,350
24,363
Vostok 4,6
Soyuz TM­32/31,385
12,208
STS-41-D,144
52,535
STS-78,288
22,455
STS-48,158
STS-117,458
STS-55,293
STS-46,156
STS-99,382
STS-77,349
