mission_title,Target
1,"205, 332, 212, 214, 98, 204, 136"
10,"375, 259, 183, 314"
11,"212, 404, 204, 268"
12,"305, 208, 277, 391"
13,"333, 363, 232, 289, 396"
14,"454, 409, 299, 110, 337"
15,"426, 241, 455, 210, 460"
16,"376, 312, 422, 311, 474, 412, 311"
17,"476, 475, 320, 482, 204"
18,"424, 405, 343, 99, 122, 435, 328"
19,"208, 493, 384, 329"
2,"208, 288, 308, 262, 85, 123, 100, 203, 209"
20,"332, 277, 502, 498, 505, 427, 353, 333"
21,"506, 345, 268, 396"
22,"455, 511, 354, 317, 215, 438, 171"
23,"461, 271, 320, 513, 514, 356, 299"
24,"518, 466, 349, 118, 306, 363, 375, 208, 426"
25,"268, 312, 329, 519, 393"
26,"336, 384, 467, 385, 520, 277"
27,"522, 241, 480, 388, 521, 300"
28,"395, 475, 268, 523, 444"
29,"525, 398, 524"
3,"206, 409, 236, 210, 118, 211, 328, 91"
30,"429, 476, 436"
31,"384, 526, 491"
32,"311, 481, 454"
33,"503, 529, 530"
34,"340, 498, 501"
35,"500, 363, 531"
36,"479, 426, 532"
37,"535, 455, 536"
38,"409, 397, 343"
39,"513, 537, 458"
4,"212, 303, 345, 183, 302"
40,"538, 506, 539"
41,"521, 508, 540"
42,"541, 524, 512"
43,"384, 393, 514"
44,"542, 476, 543"
45,475
46,"502, 311, 546"
47,"396, 547, 519"
48,"549, 548, 525"
49,"522, 551, 489"
5,"204, 354, 423, 110, 422"
50,"422, 529, 552"
51,"553, 426"
52,"509, 467, 535"
53,"554, 531, 491"
54,"556, 524, 555"
55,"497, 537, 492"
56,"539, 557, 558"
57,"559, 560, 547, 561, 476"
59,"562, 547, 559"
6,"208, 229, 429, 274, 329"
60,"563, 513, 564"
61,519
7,"99, 232, 362, 311"
8,"206, 271, 268, 241"
9,"212, 251, 435, 384"
ASTP,"76, 23, 77"
Antares,278
Apollo 10,"26, 17, 23"
Apollo 11,"24, 29, 27"
Apollo 12,"44, 20, 28"
Apollo 13,"22, 46, 45"
Apollo 14,"49, 48, 50"
Apollo 15,"54, 55, 25"
Apollo 16,"17, 56, 57"
Apollo 17,"26, 58, 59"
Apollo 7,"7, 30, 31"
Apollo 8,"22, 33, 21"
Apollo 9,"18, 25"
Astro-1,239
Astro-2,239
Atlas-1,130
EP-19,565
Euromir 94,131
Gemini 10,"17, 27"
Gemini 11,"28, 20"
Gemini 12,"29, 22"
Gemini 3,"16, 17"
Gemini 4,"19, 18"
Gemini 5,"20, 8"
Gemini 6A,7
Gemini 7,"21, 22"
Gemini 8,"25, 24"
Gemini 9A,"23, 26"
MA-6,3
Mercury-Atlas 7,4
Mercury-Atlas 8,7
Mercury-Atlas 9,8
Mir Aragatz,108
Mir EO-15,308
Mir EO-21,308
STS 101,308
STS 51-C,157
STS 51-L,157
STS-1,"102, 17"
STS-100,"404, 335, 340, 348, 392, 323"
STS-101,"262, 396, 313, 331, 288, 346"
STS-102,"349, 226, 402, 403"
