imdb_id,cast
tt0120630,"Mel Gibson,  Miranda Richardson,  Timothy Spall,  Imelda Staunton,  Jane Horrocks, Mel Gibson,  Miranda Richardson,  Timothy Spall,  Imelda Staunton,  Jane Horrocks, Mel Gibson,  Miranda Richardson,  Timothy Spall,  Imelda Staunton,  Jane Horrocks, Mel Gibson,  Miranda Richardson,  Timothy Spall,  Imelda Staunton,  Jane Horrocks, Mel Gibson,  Miranda Richardson,  Timothy Spall,  Imelda Staunton,  Jane Horrocks"
tt0120667,"Ioan Gruffudd,  Jessica Alba,  Chris Evans,  Michael Chiklis,  Julian McMahon, Ioan Gruffudd,  Jessica Alba,  Chris Evans,  Michael Chiklis,  Julian McMahon, Ioan Gruffudd,  Jessica Alba,  Chris Evans,  Michael Chiklis,  Julian McMahon, Ioan Gruffudd,  Jessica Alba,  Chris Evans,  Michael Chiklis,  Julian McMahon, Ioan Gruffudd,  Jessica Alba,  Chris Evans,  Michael Chiklis,  Julian McMahon"
tt0120679,"Salma Hayek,  Alfred Molina,  MÃ­a Maestro,  Patricia Reyes SpÃ­ndola,  Diego Luna, Salma Hayek,  Alfred Molina,  MÃ­a Maestro,  Patricia Reyes SpÃ­ndola,  Diego Luna, Salma Hayek,  Alfred Molina,  MÃ­a Maestro,  Patricia Reyes SpÃ­ndola,  Diego Luna, Salma Hayek,  Alfred Molina,  MÃ­a Maestro,  Patricia Reyes SpÃ­ndola,  Diego Luna, Salma Hayek,  Alfred Molina,  MÃ­a Maestro,  Patricia Reyes SpÃ­ndola,  Diego Luna"
tt0120681,"Johnny Depp,  Heather Graham,  Ian Holm,  Robbie Coltrane,  Ian Richardson, Johnny Depp,  Heather Graham,  Ian Holm,  Robbie Coltrane,  Ian Richardson, Johnny Depp,  Heather Graham,  Ian Holm,  Robbie Coltrane,  Ian Richardson, Johnny Depp,  Heather Graham,  Ian Holm,  Robbie Coltrane,  Ian Richardson, Johnny Depp,  Heather Graham,  Ian Holm,  Robbie Coltrane,  Ian Richardson"
tt0120737,"Elijah Wood,  Ian McKellen,  Viggo Mortensen,  Liv Tyler,  Orlando Bloom, Elijah Wood,  Ian McKellen,  Viggo Mortensen,  Liv Tyler,  Orlando Bloom, Elijah Wood,  Ian McKellen,  Viggo Mortensen,  Liv Tyler,  Orlando Bloom, Elijah Wood,  Ian McKellen,  Viggo Mortensen,  Liv Tyler,  Orlando Bloom, Elijah Wood,  Ian McKellen,  Viggo Mortensen,  Liv Tyler,  Orlando Bloom"
tt0120755,"Tom Cruise,  Dougray Scott,  Thandie Newton,  Ving Rhames,  Richard Roxburgh, Tom Cruise,  Dougray Scott,  Thandie Newton,  Ving Rhames,  Richard Roxburgh, Tom Cruise,  Dougray Scott,  Thandie Newton,  Ving Rhames,  Richard Roxburgh, Tom Cruise,  Dougray Scott,  Thandie Newton,  Ving Rhames,  Richard Roxburgh, Tom Cruise,  Dougray Scott,  Thandie Newton,  Ving Rhames,  Richard Roxburgh"
tt0120804,"Milla Jovovich,  Michelle Rodriguez,  Eric Mabius,  Ryan McCluskey,  Oscar Pearce, Milla Jovovich,  Michelle Rodriguez,  Eric Mabius,  Ryan McCluskey,  Oscar Pearce, Milla Jovovich,  Michelle Rodriguez,  Eric Mabius,  Ryan McCluskey,  Oscar Pearce, Milla Jovovich,  Michelle Rodriguez,  Eric Mabius,  Ryan McCluskey,  Oscar Pearce, Milla Jovovich,  Michelle Rodriguez,  Eric Mabius,  Ryan McCluskey,  Oscar Pearce"
tt0120903,"Patrick Stewart,  Hugh Jackman,  Ian McKellen,  Halle Berry,  Famke Janssen, Patrick Stewart,  Hugh Jackman,  Ian McKellen,  Halle Berry,  Famke Janssen, Patrick Stewart,  Hugh Jackman,  Ian McKellen,  Halle Berry,  Famke Janssen, Patrick Stewart,  Hugh Jackman,  Ian McKellen,  Halle Berry,  Famke Janssen, Patrick Stewart,  Hugh Jackman,  Ian McKellen,  Halle Berry,  Famke Janssen"
tt0120912,"Tommy Lee Jones,  Will Smith,  Rip Torn,  Lara Flynn Boyle,  Johnny Knoxville, Tommy Lee Jones,  Will Smith,  Rip Torn,  Lara Flynn Boyle,  Johnny Knoxville, Tommy Lee Jones,  Will Smith,  Rip Torn,  Lara Flynn Boyle,  Johnny Knoxville, Tommy Lee Jones,  Will Smith,  Rip Torn,  Lara Flynn Boyle,  Johnny Knoxville, Tommy Lee Jones,  Will Smith,  Rip Torn,  Lara Flynn Boyle,  Johnny Knoxville"
tt0120913,"Matt Damon,  Bill Pullman,  Drew Barrymore,  John Leguizamo,  Nathan Lane, Matt Damon,  Bill Pullman,  Drew Barrymore,  John Leguizamo,  Nathan Lane, Matt Damon,  Bill Pullman,  Drew Barrymore,  John Leguizamo,  Nathan Lane, Matt Damon,  Bill Pullman,  Drew Barrymore,  John Leguizamo,  Nathan Lane, Matt Damon,  Bill Pullman,  Drew Barrymore,  John Leguizamo,  Nathan Lane"
