Index,budget,revenue,original_title,release_year,genres
0,150000000,1513528810,Jurassic World,2015,"Adventure, Action, Science Fiction, Thriller"
1,150000000,378436354,Mad Max: Fury Road,2015,"Science Fiction, Adventure, Action, Thriller"
2,110000000,295238201,Insurgent,2015,"Science Fiction, Thriller, Adventure"
3,200000000,2068178225,Star Wars: The Force Awakens,2015,"Action, Science Fiction, Fantasy, Adventure"
4,190000000,1506249360,Furious 7,2015,"Crime, Action, Thriller"
5,135000000,532950503,The Revenant,2015,"Thriller, Western, Adventure, Drama"
6,155000000,440603537,Terminator Genisys,2015,"Adventure, Action, Science Fiction, Thriller"
7,108000000,595380321,The Martian,2015,"Drama, Science Fiction, Adventure"
8,74000000,1156730962,Minions,2015,"Comedy, Family, Adventure, Animation"
9,175000000,853708609,Inside Out,2015,"Family, Animation, Comedy"
10,245000000,880674609,Spectre,2015,"Action, Adventure, Crime"
11,176000003,183987723,Jupiter Ascending,2015,"Action, Science Fiction, Adventure, Fantasy"
12,15000000,36869414,Ex Machina,2015,"Science Fiction, Drama"
13,88000000,243637091,Pixels,2015,"Comedy, Action, Science Fiction"
14,280000000,1405035767,Avengers: Age of Ultron,2015,"Adventure, Action, Science Fiction"
15,44000000,155760117,The Hateful Eight,2015,"Crime, Drama, Mystery, Western"
16,48000000,325771424,Taken 3,2015,"Crime, Thriller, Action"
17,130000000,518602163,Ant-Man,2015,"Science Fiction, Adventure, Action"
18,95000000,542351353,Cinderella,2015,"Family, Drama, Romance, Fantasy"
19,160000000,650523427,The Hunger Games: Mockingjay - Part 2,2015,"Adventure, Science Fiction, War"
20,190000000,209035668,Tomorrowland,2015,"Science Fiction, Action, Family, Mystery, Adventure"
21,30000000,91709827,Southpaw,2015,"Drama, Action"
22,110000000,470490832,San Andreas,2015,"Drama, Thriller, Action"
23,40000000,569651467,Fifty Shades of Grey,2015,"Romance, Drama"
24,28000000,133346506,The Big Short,2015,"Drama, Comedy"
25,150000000,682330139,Mission: Impossible - Rogue Nation,2015,Action
26,68000000,215863606,Ted 2,2015,Comedy
27,81000000,403802136,Kingsman: The Secret Service,2015,"Comedy, Action, Crime, Adventure"
28,20000000,88346473,Spotlight,2015,"History, Thriller, Drama"
29,61000000,311256926,Maze Runner: The Scorch Trials,2015,"Science Fiction, Action, Thriller"
30,0,29355203,Mr. Holmes,2015,"Drama, Mystery"
31,49000000,102069268,Chappie,2015,"Crime, Science Fiction, Action"
32,29000000,287506194,Pitch Perfect 2,2015,"Comedy, Music"
33,40000000,162610473,Bridge of Spies,2015,"Thriller, Drama"
34,58000000,150170815,Goosebumps,2015,"Comedy, Horror, Adventure"
35,6000000,35401758,Room,2015,"Drama, Thriller"
36,0,22354572,Solace,2015,"Drama, Mystery, Crime"
37,175000000,331926147,The Good Dinosaur,2015,"Adventure, Family, Fantasy, Comedy, Animation"
38,50000000,71561644,Run All Night,2015,"Crime, Thriller, Drama, Mystery, Action"
39,11000000,62076141,Brooklyn,2015,"Drama, Romance"
40,28000000,201634991,Straight Outta Compton,2015,"Drama, Music"
41,90000000,140396650,The Last Witch Hunter,2015,"Fantasy, Adventure, Action"
42,30000000,34441873,Steve Jobs,2015,"History, Drama"
43,75000000,108145109,The Man from U.N.C.L.E.,2015,"Comedy, Adventure, Action"
44,25000000,42629776,The Age of Adaline,2015,"Drama, Romance, Fantasy"
45,10000000,14333790,Hardcore Henry,2015,"Action, Science Fiction, Adventure"
46,135000000,368871007,Home,2015,"Science Fiction, Animation, Fantasy, Comedy, Family"
47,12000000,85512300,Paper Towns,2015,"Mystery, Romance, Drama"
48,30000000,0,Wild Card,2015,"Crime, Drama, Thriller"
49,4000000,9064511,The Lobster,2015,"Science Fiction, Comedy, Thriller, Romance, Drama"
50,11800000,40272135,Carol,2015,"Romance, Drama"
51,35000000,194564672,The Intern,2015,Comedy
52,55000000,203427584,Everest,2015,"Drama, Adventure"
53,60000000,101134059,Joy,2015,"Drama, Comedy"
54,105000000,133718711,Point Break,2015,"Thriller, Crime, Action"
55,20000000,36606743,Burnt,2015,Drama
56,26000000,30523226,Self/less,2015,"Mystery, Science Fiction, Thriller"
57,60000000,30418560,Mortdecai,2015,"Adventure, Comedy"
58,15000000,64191523,The Danish Girl,2015,Drama
59,70000000,17752940,Blackhat,2015,"Crime, Thriller, Action, Drama, Mystery"
60,30000000,84025816,Sicario,2015,"Thriller, Action, Crime, Drama, Mystery"
61,120000001,167977596,Fantastic Four,2015,"Action, Science Fiction, Adventure"
62,3500000,40423945,The Witch,2015,"Mystery, Horror"
63,65000000,235666219,Spy,2015,"Comedy, Crime, Action"
64,50100000,153962963,Focus,2015,"Drama, Romance, Comedy, Crime"
65,35000000,82347656,Hitman: Agent 47,2015,"Action, Thriller, Crime"
66,100000000,93820758,In the Heart of the Sea,2015,"History, Thriller, Adventure, Action, Drama"
67,20000000,0,Survivor,2015,"Thriller, Crime, Action"
68,35000000,137935567,Creed,2015,Drama
69,35000000,140795793,Trainwreck,2015,Comedy
70,13000000,32848185,Eye in the Sky,2015,"War, Drama, Thriller"
71,25000000,42972994,Legend,2015,"Thriller, Crime"
72,0,45895,Beyond the Reach,2015,Thriller
73,150000000,128388320,Pan,2015,"Family, Adventure, Fantasy"
74,0,0,Mythica: The Darkspore,2015,"Action, Fantasy, Adventure"
75,0,0,Me and Earl and the Dying Girl,2015,"Drama, Comedy"
76,99000000,246233113,The Peanuts Movie,2015,"Family, Adventure, Animation, Comedy"
77,35000000,48623572,Concussion,2015,Drama
78,25000000,52395996,The Night Before,2015,Comedy
79,2500000,5214043,Knock Knock,2015,"Thriller, Drama, Horror"
80,34000000,63013281,The Longest Ride,2015,"Romance, Drama"
81,80000000,466183544,Hotel Transylvania 2,2015,"Comedy, Family, Animation"
82,17000000,24000000,Love the Coopers,2015,"Family, Comedy"
83,35000000,61181942,The Walk,2015,"Drama, Adventure, Thriller"
84,11000000,1863315,Tracers,2015,"Action, Crime, Drama"
85,31000000,104384188,Vacation,2015,"Comedy, Adventure"
86,35000000,95437994,Poltergeist,2015,"Thriller, Horror"
87,4000000,187112,Maggie,2015,Horror
88,0,2000000,Equals,2015,"Drama, Romance, Science Fiction"
89,50000000,3324330,Child 44,2015,"Crime, Thriller"
90,5000000,58978653,The Gift,2015,"Thriller, Mystery"
91,50000000,240360392,Daddy's Home,2015,Comedy
92,0,0,Mythica: The Necromancer,2015,"Fantasy, Adventure, Action"
93,10000000,0,Vice,2015,"Science Fiction, Action, Adventure, Thriller"
94,64000000,97571250,The Little Prince,2015,"Animation, Adventure, Fantasy"
95,0,233755553,Alvin and the Chipmunks: The Road Chip,2015,"Family, Comedy, Adventure, Animation"
96,11930000,18340000,The Dressmaker,2015,Drama
97,8500000,43528634,The DUFF,2015,"Romance, Comedy"
98,10000000,52882018,Sinister 2,2015,Horror
99,30000000,107597242,Paul Blart: Mall Cop 2,2015,"Action, Comedy, Adventure, Family"
100,0,0,Frozen Fever,2015,"Adventure, Animation, Family"
101,0,0,High-Rise,2015,"Drama, Science Fiction, Action"
102,4000000,50163103,The Boy Next Door,2015,Thriller
103,0,0,Spooks: The Greater Good,2015,"Action, Thriller"
104,30000000,49263404,Entourage,2015,Comedy
105,23000000,79799880,The Wedding Ringer,2015,Comedy
106,15000000,14860766,Scouts Guide to the Zombie Apocalypse,2015,"Comedy, Horror"
107,5000000,98450062,The Visit,2015,"Thriller, Horror"
108,53000000,99775678,Black Mass,2015,"Drama, Crime"
109,8900000,50136,Heist,2015,"Crime, Action, Thriller"
110,15000000,61548707,Krampus,2015,"Comedy, Horror, Fantasy"
111,20000000,208588,Dark Places,2015,"Drama, Mystery, Thriller"
112,5000000,54418872,No Escape,2015,"Thriller, Action"
113,700000,17986781,Dope,2015,"Crime, Drama, Comedy"
114,28000000,28208085,American Ultra,2015,"Comedy, Action"
115,11000000,61619773,Woman in Gold,2015,Drama
116,0,0,The Scorpion King: The Lost Throne,2015,"Fantasy, Adventure, Action"
117,30000000,105011053,Sisters,2015,Comedy
118,12000000,32248241,Project Almanac,2015,"Thriller, Science Fiction"
119,0,5189646,Absolutely Anything,2015,"Science Fiction, Comedy"
120,25000000,72629670,The Transporter Refueled,2015,"Crime, Action, Thriller"
121,55000000,74679822,Crimson Peak,2015,"Horror, Mystery, Drama, Thriller, Fantasy"
122,0,0,Everly,2015,"Thriller, Action"
123,14800000,122413057,Magic Mike XXL,2015,"Drama, Music, Comedy"
124,10000000,78099553,Paranormal Activity: The Ghost Dimension,2015,"Thriller, Horror"
125,0,229094,Slow West,2015,"Thriller, Romance, Western"
126,15000000,8235661,Trumbo,2015,Drama
127,19500000,32189727,Secret in Their Eyes,2015,"Mystery, Crime, Drama"
128,0,2500431,Mistress America,2015,Comedy
129,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,2015,"Animation, Family"
130,0,4719695,True Story,2015,"Crime, Drama, Mystery"
131,20000000,43967255,Max,2015,"Drama, Family, Adventure"
132,0,59700000,Shaun the Sheep Movie,2015,"Animation, Adventure, Family, Comedy"
133,11000000,0,Louder Than Bombs,2015,Drama
134,0,1702433,A Perfect Day,2015,"Comedy, Drama"
135,40000000,10664749,The Gunman,2015,"Crime, Action, Drama"
136,1000000,62882090,Unfriended,2015,"Thriller, Horror"
137,35000000,51680201,Hot Pursuit,2015,"Crime, Action, Comedy"
138,10000000,104303851,Insidious: Chapter 3,2015,"Drama, Horror, Thriller"
139,0,118483,Z for Zachariah,2015,"Drama, Science Fiction, Thriller"
140,0,0,Dragonheart 3: The Sorcerer's Curse,2015,"Fantasy, Adventure, Action"
141,6000000,41387687,The Lady in the Van,2015,"Comedy, Drama"
142,40000000,34227298,Victor Frankenstein,2015,"Drama, Science Fiction, Thriller"
143,0,0,Brothers of the Wind,2015,"Drama, Family, Adventure"
144,8000000,3759286,Anomalisa,2015,"Drama, Comedy, Romance, Animation"
145,1800000,0,Bone Tomahawk,2015,"Western, Drama, Adventure, Horror"
146,0,17671101,Regression,2015,"Mystery, Horror, Thriller"
147,0,0,Pawn Sacrifice,2015,Drama
148,0,11472454,The Man Who Knew Infinity,2015,Drama
149,20000000,0,Momentum,2015,"Action, Thriller"
150,2000000,1477002,The Diary of a Teenage Girl,2015,"Romance, Drama"
151,0,0,Pay the Ghost,2015,"Thriller, Horror"
152,0,0,The Voices,2015,"Thriller, Comedy, Horror, Crime"
153,0,3643591,Last Knights,2015,"Adventure, Action"
154,12000000,0,Il racconto dei racconti,2015,"Horror, Fantasy, Romance"
155,11000000,27391084,Irrational Man,2015,"Drama, Mystery"
156,15000000,0,Queen of the Desert,2015,"Drama, History"
157,18000000,41325328,Ricki and the Flash,2015,"Comedy, Music, Drama"
158,0,0,Miss You Already,2015,"Comedy, Romance, Drama"
159,630019,0,Kung Fury,2015,"Action, Comedy, Science Fiction, Fantasy"
160,12000000,60273173,The Perfect Guy,2015,"Thriller, Drama"
161,0,1936524,A Bigger Splash,2015,"Crime, Drama, Thriller, Mystery"
162,10000000,7587485,While We're Young,2015,"Comedy, Drama"
163,40000000,106511453,Get Hard,2015,Comedy
164,0,0,Kidnapping Mr. Heineken,2015,"Action, Drama, Thriller, Crime"
165,60000000,0,The Ridiculous 6,2015,"Western, Comedy"
166,0,0,Kill Me Three Times,2015,"Comedy, Thriller"
167,25000000,24902723,The 33,2015,"History, Drama"
168,14000000,16002420,Suffragette,2015,"Drama, History"
169,0,0,45 Years,2015,Drama
170,6000000,11122090,We Are Your Friends,2015,"Romance, Music, Drama"
171,0,6075,Barely Lethal,2015,"Action, Comedy, Adventure"
172,0,13192457,Macbeth,2015,"Drama, War, History"
173,0,16775,Extraction,2015,"Thriller, Action"
174,0,0,Jenny's Wedding,2015,"Comedy, Drama"
175,0,0,Descendants,2015,"Comedy, Music, Action, Family, Adventure"
176,0,0,Tumbledown,2015,"Comedy, Romance, Music"
177,0,30229977,Far from the Madding Crowd,2015,"Romance, Drama"
178,0,3002884,The End of the Tour,2015,Drama
179,10000000,85978266,The Second Best Exotic Marigold Hotel,2015,"Comedy, Drama"
180,20000000,6420319,Little Boy,2015,"War, Comedy, Drama"
181,0,0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,2015,"Animation, Action, Family, Adventure"
182,0,1986615,Remember,2015,"Drama, Thriller"
183,37000000,26250020,Aloha,2015,"Adventure, Comedy, Romance"
184,26000000,0,Accidental Love,2015,"Romance, Comedy"
185,0,0,Halo: The Fall of Reach,2015,"Science Fiction, Action, Animation"
186,28000000,7002261,Our Brand Is Crisis,2015,"Drama, Comedy"
187,0,0,Into the Forest,2015,"Science Fiction, Drama"
188,0,231737,The Invitation,2015,Thriller
189,0,0,The Benefactor,2015,Drama
190,0,0,Open Season: Scared Silly,2015,"Animation, Family, Adventure, Comedy"
191,0,134552,Cop Car,2015,Thriller
192,0,0,Mojave,2015,Thriller
193,0,3214116,Sleeping with Other People,2015,Comedy
194,11000000,0,Forsaken,2015,"Drama, Western"
195,0,8413144,Amy,2015,"Documentary, Music"
196,0,0,Madame Bovary,2015,Drama
197,0,0,The Hallow,2015,"Fantasy, Horror"
198,0,0,Barbie in Princess Power,2015,"Animation, Family"
199,0,0,Howl,2015,Horror
200,7000000,573335,Freeheld,2015,"Drama, Romance"
201,0,0,Man Up,2015,"Comedy, Romance"
202,3000000,695269,Love,2015,"Drama, Romance"
