Index,budget,revenue,original_title,genres,release_year
649,30000000,174600318,The Grand Budapest Hotel,Comedy,2014
641,127000000,349424282,Night at the Museum: Secret of the Tomb,Comedy,2014
10641,0,0,Scarecrow,Thriller,1973
3156,2000000,0,No Man's Land: The Rise of Reeker,Thriller,2008
3093,0,0,Frozen River,Thriller,2008
1049,0,0,Lovesick,Comedy,2014
3524,13000000,0,Intruders,Drama,2011
325,5000000,0,Area 51,Science Fiction,2015
8721,63600000,19412993,Get Carter,Crime,2000
1549,22000000,0,Middle Men,Crime,2009
10484,0,0,Allan Quatermain and the Lost City of Gold,Comedy,1986
2197,0,0,Altitude,Action,2010
8125,8,16,The Prophecy,Horror,1995
4166,0,0,Sweet Sixteen,Crime,2002
7159,27000000,13000000,Suspect Zero,Crime,2004
10322,0,16589540,Heart and Souls,Fantasy,1993
7593,0,0,Shelter,Romance,2007
5220,0,0,A Detective Story,Animation,2003
9724,5500000,42300873,Bullitt,Crime,1968
832,0,0,The Little Death,Comedy,2014
2751,14000000,10424470,Head Over Heels,Romance,2001
1721,0,0,Princess Protection Program,Comedy,2009
7209,0,4678405,The Woodsman,Drama,2004
6870,2300000,0,Peter & the Wolf,Animation,2006
10654,2200000,136400000,Love Story,Romance,1970
9486,16000000,0,Alien Nation,Crime,1988
1551,0,32474120,Fighting,Crime,2009
4885,0,0,Girls Against Boys,Drama,2012
3152,0,0,Einstein and Eddington,History,2008
7992,39000000,75800000,Superman III,Science Fiction,1983
7982,0,0,Beat Street,Music,1984
1999,47000000,10539000,Jonah Hex,Thriller,2010
9109,0,15,Dance With Me,Music,1998
3517,36000000,9612469,Trespass,Thriller,2011
9930,0,0,The Omega Man,Action,1971
3035,0,0,Camp Rock,Drama,2008
8319,0,0,Encino Man,Comedy,1992
306,0,228136,A Royal Night Out,Thriller,2015
7851,35000000,31755742,1941,Action,1979
8902,0,0,Pink Floyd: The Wall,Music,1982
1779,0,0,Ricky,Science Fiction,2009
6826,8000000,0,See No Evil,Horror,2006
8126,0,0,The Basketball Diaries,Crime,1995
8364,0,7286388,Lorenzo's Oil,Drama,1992
3189,0,0,Fly Me to the Moon,Action,2008
6807,30000000,41480851,Gridiron Gang,Action,2006
4389,44500000,232324128,Argo,Drama,2012
5014,6000000,0,11:14,Crime,2003
3191,0,0,Johnny Mad Dog,Drama,2008
5456,46000000,122126687,Prisoners,Thriller,2013
2433,73000000,151493655,The Bone Collector,Drama,1999
6756,18000000,1196307,Seraphim Falls,Western,2006
8846,0,0,Jalla! Jalla!,Comedy,2000
5477,30000000,36894225,The Family,Crime,2013
9873,0,0,Panic in Year Zero!,Thriller,1962
9512,30000000,38413606,Midnight Run,Comedy,1988
10720,0,0,Ship of Fools,Drama,1965
1269,3000000,0,Something Wicked,Mystery,2014
10710,0,0,The Heroes of Telemark,History,1965
1292,0,0,Ardennes Fury,Action,2014
1101,0,0,Iron Man & Captain America: Heroes United,Adventure,2014
8179,35000000,64350171,Sudden Death,Thriller,1995
2168,0,0,And Soon the Darkness,Crime,2010
1823,0,0,Night Train,Action,2009
