Index,popularity,budget,revenue,original_title,genres,release_year
3702,0.30289,0,0,Red Dog,Comedy,2011
3673,0.353745,25000000,0,Ironclad,Romance,2011
5472,1.626627,5000000,31724284,Spring Breakers,Drama,2013
3645,0.401778,20000000,0,Setup,Crime,2011
4633,0.363004,0,0,Battlestar Galactica: Blood & Chrome,Science Fiction,2012
383,0.40436300000000003,3500000,0,Justice League: Throne of Atlantis,Action,2015
3616,0.444626,0,0,Age of Heroes,Thriller,2011
729,1.5368899999999999,0,18612,Two Night Stand,Romance,2014
6976,2.241935,165000000,305875730,The Polar Express,Fantasy,2004
6280,0.767076,100000000,202026112,Fun with Dick and Jane,Comedy,2005
8971,2.770692,90000000,304320254,Mulan,Animation,1998
9762,0.9060870000000001,85000,30859000,The Texas Chain Saw Massacre,Horror,1974
1113,0.202449,0,0,Boys of Abu Ghraib,Drama,2014
6796,0.49022899999999997,700000,0,Half Nelson,Drama,2006
4976,1.622536,140000000,456758981,The Last Samurai,Action,2003
184,0.813893,26000000,0,Accidental Love,Romance,2015
2540,0.258844,0,0,Summer of Sam,Drama,1999
10747,0.14894000000000002,0,0,Castle Keep,Drama,1969
6974,2.499507,160000000,300257475,Van Helsing,Adventure,2004
761,1.026924,0,3396726,Enemy,Mystery,2014
4666,0.32216300000000003,0,0,Take This Waltz,Drama,2012
5001,1.024891,60000000,96269812,Paycheck,Action,2003
4077,0.462287,12000000,61141030,Crossroads,Adventure,2002
6357,0.439824,0,0,FrÃ¡giles,Horror,2005
2523,0.41132399999999997,0,0,An American Tail 4: The Mystery of the Night Monster,Fantasy,1999
1378,0.108321,0,0,Empire of the Ants,Science Fiction,1977
9985,1.6959110000000002,22000000,424208848,Dances with Wolves,Western,1990
5928,0.28222600000000003,3000000,0,Open Road,Action,2013
10133,0.15720499999999998,0,0,Barabbas,History,1961
2893,1.982998,75000000,258270008,Wanted,Thriller,2008
2698,0.6980609999999999,0,0,One Night at McCool's,Comedy,2001
10220,2.571339,14600000,70906973,Groundhog Day,Drama,1993
1336,0.912502,0,0,The Many Adventures of Winnie the Pooh,Family,1977
8970,2.993102,140000000,553799566,Armageddon,Adventure,1998
3664,0.548602,4000000,1104682,Red State,Action,2011
3963,1.011362,70000000,33561137,I Spy,Adventure,2002
993,0.332041,0,0,7500,Thriller,2014
8889,2.900556,10500000,792910554,E.T. the Extra-Terrestrial,Family,1982
1610,0.426762,3700000,0,Blood and Bone,Thriller,2009
1851,0.11886,108,0,Stan Helsing,Comedy,2009
2222,0.279938,0,0,Ben Hur,Action,2010
8427,0.177964,0,0,The Great Muppet Caper,Comedy,1981
2143,0.44380699999999995,20000000,346594,The Tempest,Drama,2010
7319,0.8148569999999999,5000000,26010864,The Elephant Man,Drama,1980
3443,1.205338,40000000,60965854,Colombiana,Crime,2011
5333,0.419759,0,0,Robinson Crusoe,Action,1997
6601,1.2083899999999999,15000000,69623713,The Hills Have Eyes,Thriller,2006
2118,0.513524,0,0,Sherlock Holmes,Horror,2010
4047,0.441684,2000000,0,Spun,Comedy,2002
9265,0.269455,0,20036737,Say Anything...,Romance,1989
3102,0.399327,0,0,Lost Boys: The Tribe,Thriller,2008
10666,0.284436,0,0,Colossus: The Forbin Project,Thriller,1970
139,1.161812,0,118483,Z for Zachariah,Science Fiction,2015
10343,0.288407,0,1499795,M. Butterfly,Romance,1993
3790,0.070508,0,0,Magic Beyond Words: The JK Rowling Story,Drama,2011
1490,0.7967609999999999,40000000,60462347,Ninja Assassin,Crime,2009
5255,1.212565,250000,12021272,Chasing Amy,Comedy,1997
8674,1.513108,110000000,215294342,The Patriot,Drama,2000
663,3.4891059999999996,145000000,609123048,How to Train Your Dragon 2,Fantasy,2014
8836,0.16315,65000000,0,Autumn in New York,Romance,2000
7937,0.362732,0,11129057,Falling in Love,Romance,1984
10370,0.181982,0,3956913,Fong Sai Yuk,Action,1993
8129,0.67066,0,0,Powder,Drama,1995
8291,0.524767,0,0,Freejack,Science Fiction,1992
2561,0.257431,50000000,13260050,The Mod Squad,Mystery,1999
9551,0.20646799999999998,0,29300000,Shoot to Kill,Crime,1988
5608,0.668508,0,21833,V/H/S/2,Horror,2013
3403,1.888096,110000000,712171856,The Twilight Saga: Breaking Dawn - Part 1,Adventure,2011
9553,0.20545300000000002,23000000,0,Tequila Sunrise,Adventure,1988
6799,0.298124,75000000,42285169,Lady in the Water,Drama,2006
10283,0.565312,6000000,5617391,Batman: Mask of the Phantasm,Action,1993
7178,0.263897,65000,28575078,Super Size Me,Comedy,2004
2970,0.822831,0,0,BURNâ€¢E,Animation,2008
645,5.787396,125000000,477200000,Teenage Mutant Ninja Turtles,Action,2014
5452,2.1092470000000003,130000000,371876278,G.I. Joe: Retaliation,Action,2013
1414,1.752134,150000000,413106170,Night at the Museum: Battle of the Smithsonian,Action,2009
3123,0.359106,12000000,0,Franklyn,Science Fiction,2008
383,0.40436300000000003,3500000,0,Justice League: Throne of Atlantis,Adventure,2015
3823,0.155675,0,0,The Theatre Bizarre,Horror,2011
2766,0.37985599999999997,15000000,12000000,Knockaround Guys,Crime,2001
4658,0.32771500000000003,0,0,Hello I Must Be Going,Drama,2012
6385,0.369596,20000000,67192859,Boogeyman,Drama,2005
8594,0.347013,0,0,The Adventures of Pinocchio,Family,1996
1035,0.289951,0,0,The One I Love,Romance,2014
689,2.4451650000000003,40000000,123494610,Blended,Comedy,2014
7817,0.020513999999999998,0,0,Bring It On: In It To Win It,Comedy,2007
8141,0.570524,10000000,0,Dead Presidents,History,1995
6866,0.200935,0,201275,Deliver Us from Evil,Crime,2006
2982,0.7596729999999999,20000000,54586584,Milk,History,2008
5432,3.97246,225000000,662845518,Man of Steel,Fantasy,2013
10311,0.41173999999999994,0,0,Babylon 5: The Gathering,Science Fiction,1993
7175,0.267871,0,0,Frankenfish,Horror,2004
4224,0.6655449999999999,0,0,Death and the Maiden,Mystery,1994
700,2.1367580000000004,50000000,222809600,Non-Stop,Mystery,2014
4455,0.9935200000000001,35000000,0,Get the Gringo,Action,2012
6685,0.621317,0,57806952,Invincible,Drama,2006
2365,0.25427,0,0,Holy Rollers,Drama,2010
5334,1.086558,30000000,51376861,Mortal Kombat: Annihilation,Fantasy,1997
1824,0.15559,0,0,Infestation,Science Fiction,2009
4465,0.903283,10000000,3428048,Disconnect,Thriller,2012
6321,0.564298,10000000,17297244,The Matador,Action,2005
8669,1.7684630000000001,100000000,169327687,The Emperor's New Groove,Comedy,2000
1378,0.108321,0,0,Empire of the Ants,Horror,1977
60,2.487849,30000000,84025816,Sicario,Thriller,2015
8486,0.9754729999999999,92000000,494471524,Twister,Adventure,1996
8807,0.22519699999999998,9000000,0,Down to You,Comedy,2000
8680,1.209516,90000000,237202299,Gone In Sixty Seconds,Action,2000
2613,0.10516800000000001,0,0,Plunkett & MacLeane,Drama,1999
9955,0.26766,0,0,The Anderson Tapes,Action,1971
10763,0.745447,0,0,The Driver,Action,1978
10564,0.231591,0,17768900,The Delta Force,Thriller,1986
1882,0.073533,0,0,CinÃ©man,Comedy,2009
1333,1.104997,10000000,0,Pete's Dragon,Family,1977
3362,0.030366000000000004,0,0,The Little Mermaid: Ariel's Beginning,Family,2008
219,0.6295609999999999,0,0,Septembers of Shiraz,Thriller,2015
9220,0.4907,0,11567217,Police Academy 6: City Under Siege,Crime,1989
8630,0.21936399999999998,13000000,0,Titanic,Romance,1996
