Index,popularity,budget,original_title,release_year,genres
0,32.985763,150000000,Jurassic World,2015,"Action, Thriller, Science Fiction, Adventure"
1,28.419936,150000000,Mad Max: Fury Road,2015,"Thriller, Action, Science Fiction, Adventure"
2,13.112507,110000000,Insurgent,2015,"Science Fiction, Adventure, Thriller"
3,11.173103999999999,200000000,Star Wars: The Force Awakens,2015,"Adventure, Action, Fantasy, Science Fiction"
4,9.335014,190000000,Furious 7,2015,"Crime, Thriller, Action"
5,9.1107,135000000,The Revenant,2015,"Western, Thriller, Drama, Adventure"
6,8.654359,155000000,Terminator Genisys,2015,"Action, Thriller, Adventure, Science Fiction"
7,7.6674,108000000,The Martian,2015,"Drama, Adventure, Science Fiction"
8,7.404164999999999,74000000,Minions,2015,"Comedy, Animation, Adventure, Family"
9,6.326804,175000000,Inside Out,2015,"Animation, Comedy, Family"
10,6.200282,245000000,Spectre,2015,"Crime, Adventure, Action"
11,6.189369,176000003,Jupiter Ascending,2015,"Action, Science Fiction, Fantasy, Adventure"
12,6.118847,15000000,Ex Machina,2015,"Science Fiction, Drama"
13,5.984995,88000000,Pixels,2015,"Action, Comedy, Science Fiction"
14,5.944927,280000000,Avengers: Age of Ultron,2015,"Adventure, Science Fiction, Action"
15,5.8984,44000000,The Hateful Eight,2015,"Mystery, Crime, Drama, Western"
16,5.749758,48000000,Taken 3,2015,"Crime, Thriller, Action"
17,5.5731839999999995,130000000,Ant-Man,2015,"Action, Science Fiction, Adventure"
18,5.556818,95000000,Cinderella,2015,"Romance, Fantasy, Drama, Family"
19,5.476958,160000000,The Hunger Games: Mockingjay - Part 2,2015,"Adventure, War, Science Fiction"
20,5.4621379999999995,190000000,Tomorrowland,2015,"Adventure, Mystery, Science Fiction, Family, Action"
21,5.337064,30000000,Southpaw,2015,"Action, Drama"
22,4.907832,110000000,San Andreas,2015,"Action, Drama, Thriller"
23,4.710401999999999,40000000,Fifty Shades of Grey,2015,"Romance, Drama"
24,4.648046,28000000,The Big Short,2015,"Drama, Comedy"
25,4.566713,150000000,Mission: Impossible - Rogue Nation,2015,Action
26,4.5645489999999995,68000000,Ted 2,2015,Comedy
27,4.503789,81000000,Kingsman: The Secret Service,2015,"Adventure, Comedy, Crime, Action"
28,4.062293,20000000,Spotlight,2015,"Drama, Thriller, History"
29,3.968891,61000000,Maze Runner: The Scorch Trials,2015,"Science Fiction, Action, Thriller"
30,3.927333,0,Mr. Holmes,2015,"Drama, Mystery"
31,3.899557,49000000,Chappie,2015,"Action, Crime, Science Fiction"
32,3.877764,29000000,Pitch Perfect 2,2015,"Music, Comedy"
33,3.6482099999999997,40000000,Bridge of Spies,2015,"Thriller, Drama"
34,3.6445410000000003,58000000,Goosebumps,2015,"Adventure, Comedy, Horror"
35,3.557846,6000000,Room,2015,"Thriller, Drama"
36,3.358321,0,Solace,2015,"Crime, Drama, Mystery"
37,3.3391349999999997,175000000,The Good Dinosaur,2015,"Animation, Comedy, Adventure, Fantasy, Family"
38,3.23737,50000000,Run All Night,2015,"Action, Thriller, Mystery, Crime, Drama"
