Index,popularity,budget,original_title,genres,release_year
2663,1.213215,25000000,Jimmy Neutron: Boy Genius,Animation,2001
2838,0.210173,5000000,The Forsaken,Adventure,2001
162,0.9376200000000001,10000000,While We're Young,Comedy,2015
3265,0.158418,0,Faubourg 36,Drama,2008
9820,0.45031099999999996,0,Picnic at Hanging Rock,Drama,1975
3446,1.128994,30000000,Machine Gun Preacher,Crime,2011
9931,0.630778,20000000,Bedknobs and Broomsticks,Fantasy,1971
4475,0.8191109999999999,20000000,The Iceman,Drama,2012
7238,0.126695,0,Creep,Mystery,2004
4746,0.22016999999999998,0,Tower Block,Thriller,2012
815,0.740796,22000000,Son of God,Drama,2014
6298,0.67686,0,The Family Stone,Comedy,2005
2915,1.468543,130000000,Australia,Drama,2008
8032,0.31140100000000004,10000000,Rumble Fish,Crime,1983
337,0.35651900000000003,0,War Pigs,War,2015
10247,0.8342350000000001,42000000,Super Mario Bros.,Adventure,1993
7592,0.420933,1500000,Young People Fucking,Romance,2007
8487,0.962736,80000000,Ransom,Thriller,1996
6231,1.265401,40000000,Corpse Bride,Music,2005
2106,0.534468,3000000,Please Give,Comedy,2010
2927,1.300453,20000000,Never Back Down,Action,2008
4412,1.58709,30000000,Looper,Thriller,2012
6880,0.16958299999999998,0,Going to Pieces: The Rise and Fall of the Slasher Film,Horror,2006
1551,0.547651,0,Fighting,Drama,2009
1342,0.541642,0,Smokey and the Bandit,Action,1977
3933,1.5685280000000001,5000000,National Lampoonâ€™s Van Wilder,Romance,2002
2635,4.436367,15000000,Mulholland Drive,Mystery,2001
10668,0.268472,0,The Twelve Chairs,Comedy,1970
1594,0.45893199999999995,17000000,My Life in Ruins,Romance,2009
3911,8.095275,79000000,The Lord of the Rings: The Two Towers,Adventure,2002
851,0.615729,1000000,Honeymoon,Horror,2014
4911,0.040607,0,Belle du Seigneur,Drama,2012
6242,1.08379,57000000,Elizabethtown,Comedy,2005
3011,0.634256,12000000,The Secret of Moonacre,Romance,2008
3970,0.936666,75000000,We Were Soldiers,War,2002
2415,2.5787310000000003,40000000,The Sixth Sense,Thriller,1999
2963,0.879116,120000000,Speed Racer,Action,2008
8913,0.519602,0,The Last Unicorn,Fantasy,1982
1566,0.515547,0,Redline,Fantasy,2009
7170,0.283493,0,Breakin' All the Rules,Comedy,2004
7951,0.263961,0,Johnny Dangerously,Crime,1984
3073,0.457004,0,The Cottage,Thriller,2008
5408,0.147816,0,Kull the Conqueror,Action,1997
10431,0.094057,0,The Gnome-Mobile,Comedy,1967
5238,2.391809,110000000,Tomorrow Never Dies,Adventure,1997
8237,0.052554,0,The Doom Generation,Crime,1995
4690,0.291458,6000000,One in the Chamber,Thriller,2012
7596,0.5666100000000001,0,Lissi und der wilde Kaiser,Comedy,2007
3422,1.46909,66000000,Killer Elite,Thriller,2011
4442,1.1163049999999999,68000000,The Watch,Comedy,2012
4490,0.728259,30000000,Passion,Crime,2012
9195,1.190512,30000000,Star Trek V: The Final Frontier,Thriller,1989
8149,0.525474,500000,Living in Oblivion,Drama,1995
10026,0.447245,0,Bird on a Wire,Adventure,1990
4691,0.290977,0,Populaire,Comedy,2012
8346,0.345107,0,White Sands,Crime,1992
2565,0.246669,6000000,200 Cigarettes,Comedy,1999
4924,0.023496,0,Mental,Drama,2012
2473,0.637814,27000000,Lake Placid,Action,1999
