Index,popularity,budget,revenue,original_title,release_year,genres
0,32.985763,150000000,1513528810,Jurassic World,2015,"Thriller, Adventure, Science Fiction, Action"
1,28.419936,150000000,378436354,Mad Max: Fury Road,2015,"Adventure, Science Fiction, Action, Thriller"
2,13.112507,110000000,295238201,Insurgent,2015,Thriller
3,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,2015,"Science Fiction, Action, Adventure, Fantasy"
4,9.335014,190000000,1506249360,Furious 7,2015,"Action, Thriller"
5,9.1107,135000000,532950503,The Revenant,2015,"Adventure, Drama, Western"
6,8.654359,155000000,440603537,Terminator Genisys,2015,"Thriller, Science Fiction, Adventure"
7,7.6674,108000000,595380321,The Martian,2015,"Adventure, Science Fiction"
8,7.404164999999999,74000000,1156730962,Minions,2015,"Family, Adventure, Animation, Comedy"
9,6.326804,175000000,853708609,Inside Out,2015,"Animation, Comedy"
10,6.200282,245000000,880674609,Spectre,2015,"Crime, Adventure"
11,6.189369,176000003,183987723,Jupiter Ascending,2015,"Adventure, Science Fiction, Action"
12,6.118847,15000000,36869414,Ex Machina,2015,"Drama, Science Fiction"
13,5.984995,88000000,243637091,Pixels,2015,"Action, Science Fiction"
14,5.944927,280000000,1405035767,Avengers: Age of Ultron,2015,"Science Fiction, Action"
15,5.8984,44000000,155760117,The Hateful Eight,2015,"Crime, Mystery, Drama, Western"
16,5.749758,48000000,325771424,Taken 3,2015,Thriller
17,5.5731839999999995,130000000,518602163,Ant-Man,2015,"Science Fiction, Adventure, Action"
18,5.556818,95000000,542351353,Cinderella,2015,"Family, Romance, Drama"
19,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,2015,"Adventure, Science Fiction, War"
20,5.4621379999999995,190000000,209035668,Tomorrowland,2015,"Family, Mystery, Adventure, Action"
21,5.337064,30000000,91709827,Southpaw,2015,"Action, Drama"
22,4.907832,110000000,470490832,San Andreas,2015,"Thriller, Drama, Action"
23,4.710401999999999,40000000,569651467,Fifty Shades of Grey,2015,"Romance, Drama"
24,4.648046,28000000,133346506,The Big Short,2015,"Drama, Comedy"
25,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,2015,Action
26,4.5645489999999995,68000000,215863606,Ted 2,2015,Comedy
27,4.503789,81000000,403802136,Kingsman: The Secret Service,2015,"Adventure, Comedy, Crime"
28,4.062293,20000000,88346473,Spotlight,2015,Thriller
29,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,2015,Thriller
30,3.927333,0,29355203,Mr. Holmes,2015,Drama
32,3.877764,29000000,287506194,Pitch Perfect 2,2015,"Comedy, Music"
33,3.6482099999999997,40000000,162610473,Bridge of Spies,2015,"Thriller, Drama"
34,3.6445410000000003,58000000,150170815,Goosebumps,2015,"Adventure, Comedy, Horror"
35,3.557846,6000000,35401758,Room,2015,"Thriller, Drama"
36,3.358321,0,22354572,Solace,2015,"Crime, Drama"
37,3.3391349999999997,175000000,331926147,The Good Dinosaur,2015,"Comedy, Adventure, Fantasy, Animation"
38,3.23737,50000000,71561644,Run All Night,2015,"Crime, Mystery, Action, Thriller"
39,3.227329,11000000,62076141,Brooklyn,2015,"Romance, Drama"
40,3.2027189999999996,28000000,201634991,Straight Outta Compton,2015,Music
41,3.080505,90000000,140396650,The Last Witch Hunter,2015,"Adventure, Fantasy, Action"
42,3.0795220000000003,30000000,34441873,Steve Jobs,2015,History
43,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,2015,"Action, Adventure"
44,3.025852,25000000,42629776,The Age of Adaline,2015,"Drama, Romance, Fantasy"
45,3.023253,10000000,14333790,Hardcore Henry,2015,"Adventure, Action, Science Fiction"
46,2.976436,135000000,368871007,Home,2015,"Fantasy, Science Fiction, Animation, Comedy"
47,2.968254,12000000,85512300,Paper Towns,2015,Drama
48,2.93234,30000000,0,Wild Card,2015,"Crime, Drama, Thriller"
49,2.8851259999999996,4000000,9064511,The Lobster,2015,"Comedy, Drama, Thriller"
50,2.883233,11800000,40272135,Carol,2015,"Romance, Drama"
51,2.8148020000000002,35000000,194564672,The Intern,2015,Comedy
52,2.7980169999999998,55000000,203427584,Everest,2015,"Drama, Adventure"
