Index,popularity,revenue,original_title,release_year,genres
0,32.985763,1513528810,Jurassic World,2015,"Action, Adventure, Science Fiction, Thriller"
1,28.419936,378436354,Mad Max: Fury Road,2015,"Action, Adventure, Science Fiction, Thriller"
2,13.112507,295238201,Insurgent,2015,"Adventure, Science Fiction, Thriller"
3,11.173103999999999,2068178225,Star Wars: The Force Awakens,2015,"Action, Adventure, Science Fiction, Fantasy"
4,9.335014,1506249360,Furious 7,2015,"Action, Crime, Thriller"
5,9.1107,532950503,The Revenant,2015,"Western, Drama, Adventure, Thriller"
6,8.654359,440603537,Terminator Genisys,2015,"Science Fiction, Action, Thriller, Adventure"
7,7.6674,595380321,The Martian,2015,"Drama, Adventure, Science Fiction"
8,7.404164999999999,1156730962,Minions,2015,"Family, Animation, Adventure, Comedy"
9,6.326804,853708609,Inside Out,2015,"Comedy, Animation, Family"
10,6.200282,880674609,Spectre,2015,"Action, Adventure, Crime"
11,6.189369,183987723,Jupiter Ascending,2015,"Science Fiction, Fantasy, Action, Adventure"
12,6.118847,36869414,Ex Machina,2015,"Drama, Science Fiction"
13,5.984995,243637091,Pixels,2015,"Action, Comedy, Science Fiction"
14,5.944927,1405035767,Avengers: Age of Ultron,2015,"Action, Adventure, Science Fiction"
15,5.8984,155760117,The Hateful Eight,2015,"Crime, Drama, Mystery, Western"
16,5.749758,325771424,Taken 3,2015,"Crime, Action, Thriller"
17,5.5731839999999995,518602163,Ant-Man,2015,"Science Fiction, Action, Adventure"
18,5.556818,542351353,Cinderella,2015,"Romance, Fantasy, Family, Drama"
19,5.476958,650523427,The Hunger Games: Mockingjay - Part 2,2015,"War, Adventure, Science Fiction"
20,5.4621379999999995,209035668,Tomorrowland,2015,"Action, Family, Science Fiction, Adventure, Mystery"
21,5.337064,91709827,Southpaw,2015,"Action, Drama"
22,4.907832,470490832,San Andreas,2015,"Action, Drama, Thriller"
23,4.710401999999999,569651467,Fifty Shades of Grey,2015,"Drama, Romance"
24,4.648046,133346506,The Big Short,2015,"Comedy, Drama"
25,4.566713,682330139,Mission: Impossible - Rogue Nation,2015,Action
26,4.5645489999999995,215863606,Ted 2,2015,Comedy
27,4.503789,403802136,Kingsman: The Secret Service,2015,"Crime, Comedy, Action, Adventure"
28,4.062293,88346473,Spotlight,2015,"Drama, Thriller, History"
29,3.968891,311256926,Maze Runner: The Scorch Trials,2015,"Action, Science Fiction, Thriller"
30,3.927333,29355203,Mr. Holmes,2015,"Mystery, Drama"
31,3.899557,102069268,Chappie,2015,"Crime, Action, Science Fiction"
32,3.877764,287506194,Pitch Perfect 2,2015,"Comedy, Music"
33,3.6482099999999997,162610473,Bridge of Spies,2015,"Thriller, Drama"
34,3.6445410000000003,150170815,Goosebumps,2015,"Adventure, Horror, Comedy"
35,3.557846,35401758,Room,2015,"Drama, Thriller"
36,3.358321,22354572,Solace,2015,"Crime, Drama, Mystery"
37,3.3391349999999997,331926147,The Good Dinosaur,2015,"Adventure, Animation, Comedy, Family, Fantasy"
38,3.23737,71561644,Run All Night,2015,"Action, Crime, Drama, Mystery, Thriller"
39,3.227329,62076141,Brooklyn,2015,"Drama, Romance"
40,3.2027189999999996,201634991,Straight Outta Compton,2015,"Drama, Music"
