Index,popularity,revenue,original_title,genres,release_year
0,32.985763,1513528810,Jurassic World,Action,2015
0,32.985763,1513528810,Jurassic World,Adventure,2015
0,32.985763,1513528810,Jurassic World,Science Fiction,2015
0,32.985763,1513528810,Jurassic World,Thriller,2015
1,28.419936,378436354,Mad Max: Fury Road,Action,2015
1,28.419936,378436354,Mad Max: Fury Road,Adventure,2015
1,28.419936,378436354,Mad Max: Fury Road,Science Fiction,2015
1,28.419936,378436354,Mad Max: Fury Road,Thriller,2015
2,13.112507,295238201,Insurgent,Adventure,2015
2,13.112507,295238201,Insurgent,Science Fiction,2015
2,13.112507,295238201,Insurgent,Thriller,2015
3,11.173103999999999,2068178225,Star Wars: The Force Awakens,Action,2015
3,11.173103999999999,2068178225,Star Wars: The Force Awakens,Adventure,2015
3,11.173103999999999,2068178225,Star Wars: The Force Awakens,Science Fiction,2015
3,11.173103999999999,2068178225,Star Wars: The Force Awakens,Fantasy,2015
4,9.335014,1506249360,Furious 7,Action,2015
4,9.335014,1506249360,Furious 7,Crime,2015
4,9.335014,1506249360,Furious 7,Thriller,2015
5,9.1107,532950503,The Revenant,Western,2015
5,9.1107,532950503,The Revenant,Drama,2015
5,9.1107,532950503,The Revenant,Adventure,2015
5,9.1107,532950503,The Revenant,Thriller,2015
6,8.654359,440603537,Terminator Genisys,Science Fiction,2015
6,8.654359,440603537,Terminator Genisys,Action,2015
6,8.654359,440603537,Terminator Genisys,Thriller,2015
6,8.654359,440603537,Terminator Genisys,Adventure,2015
7,7.6674,595380321,The Martian,Drama,2015
7,7.6674,595380321,The Martian,Adventure,2015
7,7.6674,595380321,The Martian,Science Fiction,2015
8,7.404164999999999,1156730962,Minions,Family,2015
8,7.404164999999999,1156730962,Minions,Animation,2015
8,7.404164999999999,1156730962,Minions,Adventure,2015
8,7.404164999999999,1156730962,Minions,Comedy,2015
9,6.326804,853708609,Inside Out,Comedy,2015
9,6.326804,853708609,Inside Out,Animation,2015
9,6.326804,853708609,Inside Out,Family,2015
10,6.200282,880674609,Spectre,Action,2015
10,6.200282,880674609,Spectre,Adventure,2015
10,6.200282,880674609,Spectre,Crime,2015
11,6.189369,183987723,Jupiter Ascending,Science Fiction,2015
11,6.189369,183987723,Jupiter Ascending,Fantasy,2015
11,6.189369,183987723,Jupiter Ascending,Action,2015
11,6.189369,183987723,Jupiter Ascending,Adventure,2015
12,6.118847,36869414,Ex Machina,Drama,2015
12,6.118847,36869414,Ex Machina,Science Fiction,2015
13,5.984995,243637091,Pixels,Action,2015
13,5.984995,243637091,Pixels,Comedy,2015
13,5.984995,243637091,Pixels,Science Fiction,2015
14,5.944927,1405035767,Avengers: Age of Ultron,Action,2015
14,5.944927,1405035767,Avengers: Age of Ultron,Adventure,2015
14,5.944927,1405035767,Avengers: Age of Ultron,Science Fiction,2015
15,5.8984,155760117,The Hateful Eight,Crime,2015
15,5.8984,155760117,The Hateful Eight,Drama,2015
15,5.8984,155760117,The Hateful Eight,Mystery,2015
15,5.8984,155760117,The Hateful Eight,Western,2015
16,5.749758,325771424,Taken 3,Crime,2015
16,5.749758,325771424,Taken 3,Action,2015
16,5.749758,325771424,Taken 3,Thriller,2015
17,5.5731839999999995,518602163,Ant-Man,Science Fiction,2015
17,5.5731839999999995,518602163,Ant-Man,Action,2015
