Player Name,Points,Year
1,31,1958-59
Max Meylor,30,2015-16
1,36,1957-58
Tim Woller,31,1990-91
1,31,1958-59
Jordan Schultz,32,2004-05
0,38,1993-94
Max Meylor,31,2015-16
1,31,1957-58
0,34,1994-95
Todd May,32,1983-84
Todd May,33,1983-84
Don Peterson ,47,1980-81
Duane Anderson ,30,0
Mark Losby,34,2000-01
Todd May,31,1983-84
1,38,1958-59
Matt Kleppe,30,1999-00
Duane Anderson ,34,0
0,38,1994-95
Milt Bakken,34,1955-56
0,33,1994-95
Gary Greve,35,1956-57
0,30,1993-94
0,31,1993-94
Milt Bakken,32,1955-56
Gary Greve,30,1956-57
Duane Anderson,38,0
Jason Schuepbach    ,34,1995-96
0,30,1994-95
1,35,1958-59
Todd May,31,1983-84
Mark Emerson,46,1971-72
Milt Bakken,39,1955-56
Jason Larson,32,2018-19
1,35,1957-58
Pete Schmitt,32,2002-03
