Index,cast,revenue
1049, Mark Duplass,12434778
1058, Marin Ireland,114281051
1065, Zachary Gordon,77112176
1064, John Krasinski,8138788
1051, Rob LaBelle,85446075
988, Jamie Elman,471222889
1017,Jessica Chastain,132820716
979, Martin Sheen,752215857
979, Emma Stone,752215857
1000,Channing Tatum,167221571
1041, Martin Short,81491068
1067, David Oyelowo,50365377
1043, Vera Farmiga,208076205
982, Brie Larson,201585328
1036,Emily Blunt,53909751
1063,Kodi Smit-McPhee,107139399
1017, Joel Edgerton,132820716
984,John Leguizamo,877244782
987, Samuel Joslin,180274123
1033, Danny Huston,2106557
999,Jason Biggs,234989584
1046, Christopher Walken,19422261
973,Jamie Foxx,425368238
1027, Kirby Bliss Blanton,100000000
1003, Channing Tatum,196114570
1023, Steve Buscemi,358375603
1079, Carmen Ejogo,24637469
971, Stephen Rea,132400000
1045, Elizabeth Banks,46221189
1069, Michael Shannon,31083599
1014, CiarÃ¡n Hinds,284139100
1058, Tommy Lee Jones,114281051
1014, Lynn Collins,284139100
1078, Li Bingbing,240159255
1041, Winona Ryder,81491068
1000, Cody Horn,167221571
983, Adil Hussain,609016565
1027,Oliver Cooper,100000000
1076, Julianna Guill,9627492
1042, Andy Samberg,58058367
1080, Rachael Markarian,32726956
1007, James Kidnie,8106475
1062, Billy Connolly,59520298
1068, Jane Levy,11417362
1054, Caroline Goodall,16863583
973, Christoph Waltz,425368238
1036, Chris Pratt,53909751
995, Famke Janssen,376141306
992,Colin Farrell,198802074
1055, Brit Marling,35485056
990, Michael Stuhlbarg,624026776
1003,Rachel McAdams,196114570
987, Tom Holland,180274123
983,Suraj Sharma,609016565
973, Leonardo DiCaprio,425368238
1019,Sam Worthington,301000000
1074,Michael Ealy,96070507
978, Chris Tucker,205738714
993, Hugo Weaving,130482868
981, Charlize Theron,396600000
1027, Thomas Mann,100000000
987,Naomi Watts,180274123
1046, Woody Harrelson,19422261
1022, Emilio Rivera,81272766
1076,Ashley Greene,9627492
