Index,revenue,original_title,cast
970,1519557910,The Avengers," Scarlett Johansson, Robert Downey Jr.,  Mark Ruffalo"
971,132400000,Underworld: Awakening," India Eisley,  Theo James, Kate Beckinsale,  Michael Ealy"
972,1081041287,The Dark Knight Rises, Tom Hardy
974,1108561013,Skyfall," Javier Bardem,  Naomie Harris"
975,276572938,The Bourne Legacy," Edward Norton, Jeremy Renner,  Rachel Weisz,  Scott Glenn"
976,1017003568,The Hobbit: An Unexpected Journey," Martin Freeman, Ian McKellen,  Andy Serkis"
977,403170142,Prometheus," Charlize Theron, Noomi Rapace"
978,205738714,Silver Linings Playbook," Jacki Weaver,  Robert De Niro,  Jennifer Lawrence"
979,752215857,The Amazing Spider-Man,"Andrew Garfield,  Denis Leary,  Emma Stone,  Rhys Ifans"
980,538983207,Brave," Billy Connolly,  Julie Walters,  Kevin McKidd, Kelly Macdonald,  Emma Thompson"
981,396600000,Snow White and the Huntsman," Chris Hemsworth,  Charlize Theron, Kristen Stewart,  Ian McShane"
982,201585328,21 Jump Street," Dave Franco,  Ellie Kemper,  Brie Larson,  Jonah Hill, Channing Tatum"
983,609016565,Life of Pi," Irrfan Khan,  Ayush Tandon,  Gautam Belur, Suraj Sharma"
984,877244782,Ice Age: Continental Drift," Denis Leary,  Ray Romano,  Seann William Scott,  Chris Wedge"
985,549368315,Ted," Giovanni Ribisi,  Joel McHale,  Mila Kunis,  Seth MacFarlane"
986,218340595,Jack Reacher," David Oyelowo,  Rosamund Pike,  Richard Jenkins"
987,180274123,Lo imposible," Oaklee Pendergast,  Ewan McGregor,  Tom Holland,  Samuel Joslin"
988,471222889,Wreck-It Ralph," Jack McBrayer, John C. Reilly"
989,115350426,Pitch Perfect," Skylar Astin,  Brittany Snow,  Rebel Wilson,  Anna Camp"
990,624026776,Men in Black 3,"Will Smith,  Emma Thompson,  Tommy Lee Jones,  Michael Stuhlbarg"
991,691210692,The Hunger Games," Liam Hemsworth,  Elizabeth Banks,  Woody Harrelson,  Josh Hutcherson"
992,198802074,Total Recall," Bill Nighy,  Jessica Biel,  Kate Beckinsale, Colin Farrell"
993,130482868,Cloud Atlas,"Tom Hanks,  Jim Sturgess,  Halle Berry"
994,312573423,The Expendables 2," Jason Statham, Sylvester Stallone,  Arnold Schwarzenegger"
995,376141306,Taken 2," Famke Janssen,  Luke Grimes,  Rade Serbedzija,  Maggie Grace"
996,245527149,Dark Shadows,"Johnny Depp,  Jonny Lee Miller,  Jackie Earle Haley"
997,33400000,The Perks of Being a Wallflower," Ezra Miller,  Emma Watson, Logan Lerman"
998,232324128,Argo," Victor Garber,  John Goodman,  Bryan Cranston"
