Index,cast,revenue,original_title
1012, Russell Crowe,441809770,Les MisÃ©rables
1013, Martin Klebba,183018522,Mirror Mirror
1011, Brooklyn Decker,303025485,Battleship
1066, Oscar Isaac,9622846,For Greater Glory - The True Story of Cristiada
985, Giovanni Ribisi,549368315,Ted
976, Martin Freeman,1017003568,The Hobbit: An Unexpected Journey
987, Oaklee Pendergast,180274123,Lo imposible
1024, Natalie Martinez,48126384,End of Watch
993,Tom Hanks,130482868,Cloud Atlas
1030,Shia LaBeouf,53676580,Lawless
1077, Juliette Binoche,6063556,Cosmopolis
1034,Hugh Grant,118338361,The Pirates! In an Adventure with Scientists!
1004, Josh Hutcherson,355692760,Journey 2: The Mysterious Island
1004, Kristin Davis,355692760,Journey 2: The Mysterious Island
1010, Jason Cope,41037742,Dredd
986, David Oyelowo,218340595,Jack Reacher
1001, Chris Hemsworth,66486080,The Cabin in the Woods
1079, Mike Epps,24637469,Sparkle
1048, Michael Nyqvist,3428048,Disconnect
1073,Billy Crystal,119772232,Parental Guidance
1061,Katherine Heigl,36893721,One for the Money
1075, Vincent D'Onofrio,4636169,Fire with Fire
1016,Kristen Stewart,829000000,The Twilight Saga: Breaking Dawn - Part 2
1077, Samantha Morton,6063556,Cosmopolis
1052, Carrie-Anne Moss,52302796,Silent Hill: Revelation 3D
1002,Chris Pine,306941670,Rise of the Guardians
995, Famke Janssen,376141306,Taken 2
1037,Paul Rudd,88058786,This Is 40
1072, Garrett Hedlund,8784318,On the Road
1034, Jeremy Piven,118338361,The Pirates! In an Adventure with Scientists!
1048,Jason Bateman,3428048,Disconnect
1064, Rosemarie DeWitt,8138788,Promised Land
1065, Rachael Harris,77112176,Diary of a Wimpy Kid: Dog Days
1036,Emily Blunt,53909751,The Five-Year Engagement
1046,Colin Farrell,19422261,Seven Psychopaths
1059,Eddie Murphy,22044277,A Thousand Words
1041, Martin Short,81491068,Frankenweenie
1053, James Gandolfini,37930465,Killing Them Softly
1006, Anthony Mackie,112265139,Abraham Lincoln: Vampire Hunter
1042, Susan Sarandon,58058367,That's My Boy
1074, Jerry Ferrara,96070507,Think Like a Man
1069,Joseph Gordon-Levitt,31083599,Premium Rush
1069, Dania Ramirez,31083599,Premium Rush
1009,Bruce Willis,68263166,Moonrise Kingdom
1058, Tommy Lee Jones,114281051,Hope Springs
995, Luke Grimes,376141306,Taken 2
979,Andrew Garfield,752215857,The Amazing Spider-Man
1047, John Krasinski,24719215,Big Miracle
1017, Chris Pratt,132820716,Zero Dark Thirty
980, Billy Connolly,538983207,Brave
980, Julie Walters,538983207,Brave
1001, Fran Kranz,66486080,The Cabin in the Woods
1038, Joseph Gilgun,32204030,Lockout
1045, Edward Burns,46221189,Man on a Ledge
995, Rade Serbedzija,376141306,Taken 2
1031, Alice Eve,29657751,The Raven
992, Bill Nighy,198802074,Total Recall
1070, Olivia Wilde,13231461,The Words
1068, Jane Levy,11417362,Fun Size
1014, Mark Strong,284139100,John Carter
1018, Channing Tatum,33372606,Haywire
1065, Peyton List,77112176,Diary of a Wimpy Kid: Dog Days
1026,Sacha Baron Cohen,179379533,The Dictator
1053, Ben Mendelsohn,37930465,Killing Them Softly
1001,Kristen Connolly,66486080,The Cabin in the Woods
1042, Andy Samberg,58058367,That's My Boy
1007, Timothy Spall,8106475,Upside Down
983, Irrfan Khan,609016565,Life of Pi
1060, Matthew Fox,30353232,Alex Cross
990,Will Smith,624026776,Men in Black 3
971, India Eisley,132400000,Underworld: Awakening
1065, Zachary Gordon,77112176,Diary of a Wimpy Kid: Dog Days
1048, Paula Patton,3428048,Disconnect
1074, Meagan Good,96070507,Think Like a Man
974, Javier Bardem,1108561013,Skyfall
1026, Megan Fox,179379533,The Dictator
1060, Rachel Nichols,30353232,Alex Cross
1057, SofÃ­a Vergara,54819301,The Three Stooges
1072,Kristen Stewart,8784318,On the Road
1070, Jeremy Irons,13231461,The Words
1012,Hugh Jackman,441809770,Les MisÃ©rables
998, Victor Garber,232324128,Argo
1055, Tim Roth,35485056,Arbitrage
1024,Jake Gyllenhaal,48126384,End of Watch
999, Chris Klein,234989584,American Reunion
1061, Sherri Shepherd,36893721,One for the Money
997, Ezra Miller,33400000,The Perks of Being a Wallflower
1018,Gina Carano,33372606,Haywire
1036, Rhys Ifans,53909751,The Five-Year Engagement
1057, Jane Lynch,54819301,The Three Stooges
991, Liam Hemsworth,691210692,The Hunger Games
1020, Jessica Guadix,140470746,Step Up Revolution
1018, Michael Fassbender,33372606,Haywire
1047, Vinessa Shaw,24719215,Big Miracle
989, Skylar Astin,115350426,Pitch Perfect
974, Naomie Harris,1108561013,Skyfall
1059, Clark Duke,22044277,A Thousand Words
1038, Peter Stormare,32204030,Lockout
971, Theo James,132400000,Underworld: Awakening
1020, Megan Boone,140470746,Step Up Revolution
1000, Cody Horn,167221571,Magic Mike
1057,Sean Hayes,54819301,The Three Stooges
1045,Sam Worthington,46221189,Man on a Ledge
999,Jason Biggs,234989584,American Reunion
1005, Robert John Burke,40346186,Safe
980, Kevin McKidd,538983207,Brave
996,Johnny Depp,245527149,Dark Shadows
1023, David Spade,358375603,Hotel Transylvania
997, Emma Watson,33400000,The Perks of Being a Wallflower
1079,Whitney Houston,24637469,Sparkle
1078, Aryana Engineer,240159255,Resident Evil: Retribution
970, Scarlett Johansson,1519557910,The Avengers
1054,Henry Cavill,16863583,The Cold Light of Day
1075, 50 Cent,4636169,Fire with Fire
1023, Steve Buscemi,358375603,Hotel Transylvania
1044, Salma Hayek,47000000,Savages
972, Tom Hardy,1081041287,The Dark Knight Rises
990, Emma Thompson,624026776,Men in Black 3
1051, Madison Davenport,85446075,The Possession
1035, Philip Seymour Hoffman,28258060,The Master
988, Jack McBrayer,471222889,Wreck-It Ralph
1056, Isabel Lucas,44806783,Red Dawn
1032, Diego Boneta,59418613,Rock of Ages
1080, Rachael Markarian,32726956,Katy Perry: Part of Me
980,Kelly Macdonald,538983207,Brave
1075, Rosario Dawson,4636169,Fire with Fire
1051, Kyra Sedgwick,85446075,The Possession
1054, Bruce Willis,16863583,The Cold Light of Day
1066, Peter O'Toole,9622846,For Greater Glory - The True Story of Cristiada
1065, Steve Zahn,77112176,Diary of a Wimpy Kid: Dog Days
1055, Monica Raymund,35485056,Arbitrage
1027, Dax Flame,100000000,Project X
1014, CiarÃ¡n Hinds,284139100,John Carter
1010, Lena Headey,41037742,Dredd
983, Ayush Tandon,609016565,Life of Pi
975, Edward Norton,276572938,The Bourne Legacy
1078, Michelle Rodriguez,240159255,Resident Evil: Retribution
1031,John Cusack,29657751,The Raven
992, Jessica Biel,198802074,Total Recall
1044, Benicio del Toro,47000000,Savages
986, Rosamund Pike,218340595,Jack Reacher
1021, Anna Wood,145000000,Chronicle
1079, Cee Lo Green,24637469,Sparkle
982, Dave Franco,201585328,21 Jump Street
1016, Taylor Lautner,829000000,The Twilight Saga: Breaking Dawn - Part 2
