pop,name
0,"Airport, Airport,  cemetery,  etc,  Staten Island, park"
7,"park,  cemetery,  Staten Island,  etc"
93,"park,  cemetery,  Brooklyn,  etc"
418," cemetery, park,  etc,  Brooklyn"
436," Queens,  cemetery, park,  etc"
540," cemetery,  etc,  Bronx, park"
1662," cemetery,  Manhattan, park,  etc"
1785," cemetery,  etc,  Queens, park"
1849," etc,  Manhattan,  cemetery, park"
1906,"park,  etc,  cemetery,  Bronx"
11091,Rikers Island
12780,Rikers Island
13354,Starrett City
14621,Starrett City
15238," Ft. Wadsworth, Grasmere,  Arrochar"
16079,"Grasmere,  Ft. Wadsworth,  Arrochar"
16784," Silver Lake, New Brighton"
17370,West Brighton
17373,"Fresh Meadows,  Utopia"
17525,"New Brighton,  Silver Lake"
17750,West Brighton
17812," Utopia, Fresh Meadows"
18042,Port Richmond
18072,Crotona Park East
18332," Richmond Valley,  Tottenville, Charleston"
18677,Cambria Heights
18894," Woodrow, Rossville"
18950," Brookville, Springfield Gardens South"
19101," Cooper Village, Stuyvesant Town"
19309,Queensboro Hill
19655,Prospect Heights
19834," Clifton, Grymes Hill,  Fox Hills"
19849,Prospect Heights
19996,Auburndale
20030," Ravenswood, Queensbridge,  Long Island City"
20088," Lower Manhattan, Battery Park City"
20132,"Springfield Gardens South,  Brookville"
20191,Port Richmond
20201,Auburndale
20242,"New Dorp,  Midland Beach"
20269,Hollis
20277,Crotona Park East
20299,Ocean Parkway South
20556,Ocean Parkway South
20747,Hollis
20763," Woodrow, Rossville"
20779,Windsor Terrace
20800,Queensboro Hill
20944,Cambria Heights
20988,Windsor Terrace
21049," Cooper Village, Stuyvesant Town"
21052,Ozone Park
21104,"Queensbridge,  Ravenswood,  Long Island City"
21183,East Elmhurst
21376,Ozone Park
21407,College Point
21751,"Ft. Totten,  Clearview,  Bay Terrace"
21896," Midland Beach, New Dorp"
22049," Oakwood Beach, Oakwood"
22266," Oakwood Beach, Oakwood"
22426," New Hyde Park,  Floral Park, Glen Oaks"
22460," Fox Hills, Grymes Hill,  Clifton"
22548,"Brooklyn Heights,  Cobble Hill"
22571," Floral Park, Glen Oaks,  New Hyde Park"
22731," Bay Terrace,  Clearview, Ft. Totten"
22887," Cobble Hill, Brooklyn Heights"
22950,Manhattanville
23017," Dongan Hills, Old Town,  South Beach"
23082,Longwood
23150,East Elmhurst
23278,Kew Gardens
23313,"Charleston,  Richmond Valley,  Tottenville"
23790,Westerleigh
23888,Kew Gardens
24048," Rosebank, Stapleton"
24102,Westerleigh
24275,College Point
24338,"Elmhurst,  Maspeth"
24356," Little Neck,  Douglaston, Douglas Manor"
24453,Laurelton
24464,Bellerose
24739,"Douglas Manor,  Douglaston,  Little Neck"
24772,Manhattanville
24835," South Beach, Old Town,  Dongan Hills"
24996,Arden Heights
25063,Rosedale
25142,Hunts Point
25238,Arden Heights
25287,Bellerose
25409,Springfield Gardens North
25441,Springfield Gardens North
25480,"Jamaica Estates,  Holliswood"
25502,Rosedale
25521," Maspeth, Elmhurst"
25768,"Westchester,  Unionport"
25807," Midtown South, Midtown"
25967,Belmont
26061,"Jamaica Estates,  Holliswood"
26079,Fort Greene
26148,"Lindenwood,  Howard Beach"
26184,Gramercy
26196,Longwood
26375,Laurelton
26376," Huguenot, Annadale,  Eltingville,  Prince's Bay"
26453,"Stapleton,  Rosebank"
26516,East Flushing
26583," Country Club,  City Island, Pelham Bay"
26711," Rockwy Prk,  Broad Chnl,  Belle Harbor, Breezy Point"
26880,Fordham South
26982,East Flushing
27135," Westchester Square,  Morris Park, Van Nest"
27140,"Pelham Bay,  City Island,  Country Club"
27204,Hunts Point
27248,"Westchester,  Unionport"
27378,Belmont
27624,East New York (Pennsylvania Ave)
27770," Prince's Bay,  Huguenot,  Eltingville, Annadale"
27814,Old Astoria
27860," Fieldston, North Riverdale,  Riverdale"
27873,Oakland Gardens
27957," Graniteville,  Port Ivory, Mariner's Harbor,  Arlington"
27988,Gramercy
28013," Riverdale,  Fieldston, North Riverdale"
28018," Broad Chnl,  Belle Harbor,  Rockwy Prk, Breezy Point"
28121," Howard Beach, Lindenwood"
28149," Bathgate, Claremont"
28237,Oakland Gardens
28260,Rego Park
28262,Fordham South
28335,Fort Greene
28510," Pelham Gardens, Allerton"
28572,Bath Beach
28630,"Midtown,  Midtown South"
28847,Old Astoria
28903," Pelham Gardens, Allerton"
28916,Maspeth
29250," Westchester Square,  Morris Park, Van Nest"
29257,Gravesend
29343,East New York (Pennsylvania Ave)
29353,Parkchester
29404,Rego Park
29436,Gravesend
29797," Melrose, Morrisania"
29821,Parkchester
29872," Kingsbridge, Spuyten Duyvil"
29931,Bath Beach
29938,Erasmus
30006,Pelham Parkway
30067,Ocean Hill
30073,Pelham Parkway
30161,"Spuyten Duyvil,  Kingsbridge"
30516,Maspeth
30714,"Todt Hill,  Heartland Villg,  Emersn Hill,  Lighthse Hill"
30762,"Todt Hill,  Emersn Hill,  Lighthse Hill,  Heartland Villg"
30773,Whitestone
30847," Downtown Brklyn,  Vinegar Hill, DUMBO,  Boerum Hill"
31071,Glendale
31078,"Claremont,  Bathgate"
31356,Whitestone
31392,Erasmus
31474," Arlington,  Graniteville, Mariner's Harbor,  Port Ivory"
31645," Arverne,  Edgemere, Hammels"
31734," Hillcrest,  Flushing Heights, Pomonok"
31878,East Williamsburg
31935,Ocean Hill
31965," Coney Island, Seagate"
32154,"West New Brighton,  New Brighton,  St. George"
32269,Williamsburg
32496,"Kingsbridge Heights, Glendale"
32926,Williamsburg
33195," Mott Haven North, Melrose South"
33286,Kingsbridge Heights
33292,Clinton Hill
33551," New Brighton,  St. George, West New Brighton"
33844,Highbridge
34034,"Pomonok,  Flushing Heights,  Hillcrest"
34158,East Williamsburg
34267,"Seagate,  Coney Island"
34309,Bronxdale
34495," Vinegar Hill,  Boerum Hill, DUMBO,  Downtown Brklyn"
34517,"Eastchester,  Edenwald,  Baychester"
34542,"West Farms,  Bronx River"
34603,Baisley Park
34719,Greenpoint
34791,Clinton Hill
35011," Bronx River, West Farms"
35137,"Soundview,  Bruckner"
35181,South Jamaica
35244,Brighton Beach
35422," Edenwald, Eastchester,  Baychester"
35538,Bronxdale
35547,Brighton Beach
35634," Bruckner, Soundview"
35729,Baisley Park
36052,Kew Gardens Hills
36757," Little Italy, SoHo,  TriBeCa,  Civic Center"
36885," Arverne, Hammels,  Edgemere"
36891," Ocean Parkway, Kensington"
36937," Ocean Parkway, Kensington"
37479,Kew Gardens Hills
37629,Middle Village
37727,Highbridge
37821,Greenpoint
37865," Melrose, Morrisania"
37929,Middle Village
38327," Columbia Street, Carroll Gardens,  Red Hook"
38353,"Carroll Gardens,  Columbia Street,  Red Hook"
38675," Jamaica Hills, Briarwood"
38894,South Jamaica
38917,Madison
39075,Central Harlem South
39076,Madison
39138,"Briarwood,  Jamaica Hills"
39214," Mott Haven North, Melrose South"
39280,East Tremont
39282,West Concourse
39309,"New Springville,  Travis,  Bloomfield"
39332,Dyker Heights
39557,West Concourse
39597,"New Springville,  Travis,  Bloomfield"
39670,Crown Heights South
39699,"Battery Park City,  Lower Manhattan"
40130," South Side, North Side"
40494,Norwood
40595,Clinton
40676," Op City, Co"
40720,Great Kills
40817,Norwood
41680,Great Kills
41746,East Village
42370,Crown Heights South
42419,Dyker Heights
42483," Wakefield, Woodlawn"
