name,pop
 City Line,49223
Bronxdale,34309
Mott Haven,52413
Carroll Gardens,38327
Crown Heights North,103169
 Broad Chnl,26711
Corona,57658
 Mill Basin,45231
 etc,7
Georgetown,42940
 Mill Basin,42940
 Belle Harbor,28018
 cemetery,1849
 Floral Park,22571
 Inwood,49087
 Huguenot,26376
Fort Greene,26079
Soundview,50753
Old Town,24835
 Fieldston,27860
 South Beach,23017
 Baychester,34517
Glen Oaks,22571
Windsor Terrace,20779
West Concourse,39557
New Dorp,21896
 Oakwood Beach,22049
 Bay Terrace,22731
Baisley Park,34603
 Hillcrest,34034
 St. George,32154
Glen Oaks,22426
Central Harlem South,43383
Airport,0
 Sunnyside,63271
Westchester,27248
Ocean Parkway South,20299
Auburndale,20201
 Chelsea,70150
 Bayside Hills,43808
Pomonok,34034
 Marine Park,42940
 Woodrow,18894
Starrett City,14621
Hunts Point,27204
Kensington,36937
Port Richmond,20191
Breezy Point,26711
West Farms,34542
 Emersn Hill,30762
Flatlands,64762
East Tremont,39280
West Concourse,39282
Ridgewood,69317
Laurelton,26375
 Throgs Neck,43712
 Edenwald,35422
 Midland Beach,20242
East New York (Pennsylvania Ave),27624
 Arverne,36885
Springfield Gardens North,25441
SoHo,36757
 Fordham North,55329
Springfield Gardens North,25409
 Bayswater,48344
 Rockwy Prk,28018
 Tottenville,18332
 Manhattan,1662
West Village,68483
 Concourse Village,58961
West Village,66880
Van Nest,29250
Queens Village,57704
 Bathgate,31078
 Harding Park,53686
 Op City,40676
East New York,91958
South Ozone Park,78906
 Red Hook,38327
 Roosevelt Island,76631
 South Side,40130
 Mott Haven North,33195
 Olinville,61321
Rugby,57934
Oakwood,22266
 etc,1785
 Coney Island,31965
East Harlem North,57148
Oakland Gardens,27873
Highbridge,37727
College Point,24275
Fresh Meadows,17812
St. Albans,50046
Bellerose,25287
Queensboro Hill,19309
Jamaica,53751
North Side,40130
Elmhurst,87972
North Riverdale,28013
 Inwood,46746
 Manhattn Bch,64518
 Port Ivory,31474
Dyker Heights,39332
Co,40676
Bushwick North,57138
 Melrose,37865
Westerleigh,23790
 City Island,27140
Astoria,89122
Windsor Terrace,20988
Washington Heights South,84438
 Ocean Parkway,36937
Rego Park,29404
Schuylerville,44167
Mount Hope,51807
 Flushing Heights,31734
Madison,39076
 Jamaica Hills,39138
Manhattanville,24772
 Bronx,540
East Concourse,62284
 Rosebank,26453
Rossville,20763
Bushwick South,72101
Ft. Totten,22731
Bushwick North,56093
Pelham Bay,26583
 Farragut,50355
 Edgemere,31645
Lincoln Square,55239
Eastchester,35422
 Port Ivory,27957
Pomonok,31734
 Throgs Neck,44167
 East Midtown,49737
 Edgewater Park,43712
 Lower Manhattan,39699
Hammels,31645
 Union Square,55839
park,540
Cambria Heights,20944
 Queens,1785
Co,43752
Murray Hill,51739
Highbridge,33844
Bedford,70713
Bedford Park,55329
Bath Beach,28572
Middle Village,37629
 Morris Heights,54188
 Lighthse Hill,30714
Midwood,52835
 cemetery,1906
Oakland Gardens,28237
Schuylerville,43712
 Utopia,17373
 Pelham Gardens,28903
 etc,1849
Upper West Side,132378
 Fox Hills,22460
Old Town,23017
Fort Greene,28335
 Polo Grounds,70016
Crown Heights South,42370
 Coney Island,34267
Marble Hill,46746
 Roosevelt Island,80771
Flushing,69362
 Westchester Square,27135
Bedford Park,54415
Cypress Hills,48961
 Tottenville,23313
Parkchester,29821
Rosedale,25502
Queensbridge,21104
 Eltingville,26376
 Lighthse Hill,30762
Morrisania,29797
Corona,52082
New Dorp,20242
 Polo Grounds,75282
Upper West Side,136954
Claremont,28149
Douglas Manor,24739
Murray Hill,53009
Longwood,23082
Far Rockaway,50058
 Morris Park,27135
 Ravenswood,21104
 Belle Harbor,26711
 Columbia Street,38353
East Harlem North,58019
 Marine Park,45231
Ft. Totten,21751
Gravesend,29436
Stuyvesant Town,21049
 Op City,43752
Melrose South,39214
Fordham South,26880
 TriBeCa,36757
Stuyvesant Heights,63504
 Sunnyside,61947
Brooklyn Heights,22887
 Ft. Wadsworth,15238
 Edenwald,34517
Norwood,40494
Kensington,36891
Lower East Side,72957
Homecrest,45679
Bensonhurst West,88727
 Riverdale,28013
 Howard Beach,26148
Erasmus,29938
 Cobble Hill,22887
Canarsie,85058
New Brighton,17525
Central Harlem North,75282
North Corona,52037
Lindenwood,28121
Mott Haven,49030
Arden Heights,24996
Flatlands,66726
Washington Heights North,67136
 Riverdale,27860
Prospect Heights,19655
 etc,418
 Little Neck,24356
Hunters Point,63271
Woodlawn,42483
 Remsen Village,57934
Brighton Beach,35547
 Columbia Street,38327
 Heartland Villg,30762
Woodhaven,56674
Auburndale,19996
 Arlington,27957
Soundview,35634
 Unionport,27248
Van Cortlandt Village,50607
 Gerritsen Beach,64596
Maspeth,28916
 City Line,48961
Washington Heights North,73457
Hollis,20269
 etc,1906
 Melrose,29797
Hamilton Heights,48520
 Utopia,17812
 Farragut,56033
Gramercy,27988
Flushing,72008
Ocean Hill,31935
Middle Village,37929
Kingsbridge Heights,33286
 Wingate,70300
 Gowanus,67263
Canarsie,83693
 Bergen Beach,42940
Soundview,35137
 Dongan Hills,24835
Bensonhurst East,62978
 Westchester Square,29250
Dyker Heights,42419
Grasmere,16079
Lenox Hill,80771
Van Cortlandt Village,50100
Bensonhurst East,58566
 TriBeCa,42742
 Lower Manhattan,20088
Marble Hill,49087
Glendale,31071
Upper East Side,61207
East Flushing,26516
Woodside,43846
East Williamsburg,34158
Midwood,55440
 Castle Hill,50753
Flatbush,110875
Breezy Point,28018
Rossville,18894
Rikers Island,11091
Annadale,27770
 Little Italy,42742
 Ocean Parkway,36891
Central Harlem North,70016
 Holliswood,25480
 Vinegar Hill,34495
Belmont,25967
 Richmond Valley,23313
East Village,44136
Ozone Park,21052
 cemetery,1662
Old Astoria,27814
Yorkville,76768
Steinway,53604
Lower East Side,72258
 Cooper Village,21049
 Bronx River,35011
South Jamaica,35181
Chinatown,47844
Woodlawn,43583
 Civic Center,36757
New Springville,39309
New Springville,39597
Arden Heights,25238
Pelham Bay,27140
 Bloomfield,39597
Norwood,40817
 Staten Island,7
 Clason Point,50753
Clinton Hill,33292
park,7
Williamsbridge,61321
North Corona,47156
 cemetery,436
Sunset Park East,66150
 Boerum Hill,34495
 New Brighton,33551
Belmont,27378
 St. George,33551
Baisley Park,35729
University Heights,54188
Stuyvesant Heights,61827
Williamsburg,32926
Turtle Bay,51231
Borough Park,101055
Pelham Parkway,30073
Hudson Yards,70150
St. Albans,48593
 Kingsbridge,30161
Seagate,34267
Rego Park,28260
 cemetery,93
Georgetown,45231
Central Harlem South,39075
 Chelsea,55839
park,0
Allerton,28903
Gravesend,29257
Greenpoint,37821
Rugby,55326
 Edgemere,36885
 Arlington,31474
Hammels,36885
East Williamsburg,31878
 Bayswater,50058
Park Slope,67263
park,1662
 Bayside Hills,44371
 Rosebank,24048
 Bloomfield,39309
 Bronx,1906
 Kingsbridge,29872
East Village,41746
Lenox Hill,76631
 Little Neck,24739
 Long Island City,20030
Airport,0
Lindenwood,26148
South Jamaica,38894
 Floral Park,22426
Bellerose,24464
 Maspeth,25521
park,436
Clinton Hill,34791
 Clason Point,53686
Westchester,25768
Elmhurst,25521
 Midland Beach,21896
Hamilton Heights,50555
Parkchester,29353
 Olinville,57420
 Gerritsen Beach,64518
 Dongan Hills,23017
Ozone Park,21376
Starrett City,13354
 etc,540
Williamsbridge,57420
 Graniteville,31474
Manhattanville,22950
 Concourse Village,62284
Maspeth,30516
Clinton,40595
 etc,93
 Graniteville,27957
 Port Morris,49030
 etc,0
Elmhurst,88427
Washington Heights South,93671
 New Hyde Park,22426
 Civic Center,42742
 Country Club,26583
Pelham Parkway,30006
Midtown,28630
Springfield Gardens South,20132
 Prince's Bay,27770
Forest Hills,85046
Murray Hill,48419
 Staten Island,0
Stapleton,26453
Kew Gardens,23278
Todt Hill,30714
 Morris Heights,54335
 Travis,39597
 cemetery,1785
Melrose South,33195
Forest Hills,83728
 Maspeth,24338
 Douglaston,24356
New Brighton,16784
Bensonhurst West,84640
Morrisania,37865
 City Island,26583
DUMBO,30847
Prospect Lefferts Gardens,67459
Madison,38917
 Arrochar,15238
 Long Island City,21104
 Brooklyn,418
Bushwick South,64617
 Wakefield,43583
Richmond Hill,62985
East Tremont,43423
Charleston,23313
Old Astoria,28847
 Hillcrest,31734
 Midtown South,25807
Jamaica,51849
Kew Gardens,23888
 Unionport,25768
Prospect Heights,19849
 Howard Beach,28121
 Flushing Heights,34034
 Clearview,22731
Glendale,32496
park,93
Park Slope,67649
East Flushing,26982
Gramercy,26184
Lincoln Square,61489
