popularity,release_date,title,year,imdb_id,runtime,genre,imdb_rating,votes,gross_us,month
11.790999999999999,3/31/2016,Hunt for the Wilderpeople,2016,4698684,101, Drama,7.9,112324,5.2,3
16.963,10/1/2006,Paprika,2006,851578,90, Drama,7.7,71781,0.88,10
17.351,9/25/1992,The Last of the Mohicans,1992,104691,112,Action,7.7,151353,75.51,9
20.814,12/14/2011,The Girl with the Dragon Tattoo,2009,1132620,152, Mystery,7.8,209325,10.1,12
14.18,11/30/1982,Gandhi,1982,83987,191, History,8.0,218110,52.77,11
48.413999999999994,12/14/2016,Rogue One: A Star Wars Story,2016,3748528,133, Sci-Fi,7.8,558889,532.18,12
14.532,12/13/1995,Sense and Sensibility,1995,114388,136,Drama,7.6,103063,43.18,12
20.123,4/9/2004,Shaun of the Dead,2004,365748,99,Comedy,7.9,513632,13.54,4
10.317,8/15/1996,Shine,1996,117631,105,Biography,7.7,51460,35.81,8
28.714000000000002,9/2/1992,Reservoir Dogs,1992,105236,99,Crime,8.3,922257,2.83,9
56.836999999999996,12/25/2019,Little Women,2019,3281548,135,Drama,7.8,145776,108.1,12
15.992,12/22/1965,Doctor Zhivago,1965,59113,197, War,8.0,70142,111.72,12
16.207,12/19/2006,Letters from Iwo Jima,2006,498380,141, Drama,7.9,154270,13.76,12
14.207,6/6/2007,Gone Baby Gone,2007,452623,114, Drama,7.6,251388,20.3,6
16.096,12/25/2003,Big Fish,2003,319061,125,Adventure,8.0,416297,66.26,12
21.329,2/5/2002,City of God,2002,317248,130, Drama,8.6,701447,7.56,2
16.169,4/26/1954,Seven Samurai,1954,47478,207,Action,8.6,316958,0.27,4
21.214000000000002,11/23/2016,Moana,2016,3521164,107, Adventure,7.6,274563,248.76,11
13.062000000000001,2/8/2008,In Bruges,2008,780536,107, Crime,7.9,391378,7.76,2
16.45,9/29/2000,In the Mood for Love,2000,118694,98,Drama,8.1,125262,2.73,9
29.483,8/27/2014,Birdman or (The Unexpected Virtue of Ignorance),2014,2562232,119,Comedy,7.7,582295,42.34,8
8.922,2/9/2009,The Secret of Kells,2009,485601,75,Animation,7.6,31995,0.69,2
21.214000000000002,11/23/2016,Moana,2016,3521164,107, Comedy,7.6,274563,248.76,11
14.207,6/6/2007,Gone Baby Gone,2007,452623,114, Mystery,7.6,251388,20.3,6
11.274000000000001,9/21/1990,Miller's Crossing,1990,100150,115,Crime,7.7,126136,5.08,9
9.503,10/26/1993,Farewell My Concubine,1993,106332,171, Music,8.1,25209,5.22,10
13.963,12/25/1993,Batman: Mask of the Phantasm,1993,106364,76, Crime,7.8,43875,5.62,12
7.432,5/15/1991,The Double Life of Véronique,1991,101765,98,Drama,7.8,42692,2.0,5
26.074,12/5/1990,Edward Scissorhands,1990,99487,105, Fantasy,7.9,448672,56.36,12
