Milestones,Status,Need for Technical Assistance?,Financial Support needed,Priority,Supporting Attachment (to be uploaded in the specified link),Indicator it corresponds to
Plan,0,0,0,0,0,A
Structure + Membership,0,0,0,0,0,0
Training + Capacity Building,0,0,0,0,0,D
Training + Capacity Building,0,0,0,0,0,E
Training + Capacity Building,0,0,0,0,0,F
Tools,0,0,0,0,0,1
Implement Oversight activities (over a period of 6 months at least),0,0,0,0,0,D
Plan composition (number and repartition),0,0,0,0,0,2
Formal decision to renew composition and membership by CCM,0,0,0,0,0,2
Membership Renewal Calendar,0,0,0,0,0,2
Implementation of renewal (including constituency mobilization),0,0,0,0,0,G
Implementation of renewal (including constituency mobilization),0,0,0,0,0,H
Implementation of renewal (including constituency mobilization),0,0,0,0,0,I
Implementation of renewal (including constituency mobilization),0,0,0,0,0,K
Implementation of renewal (including constituency mobilization),0,0,0,0,0,P
Implementation of renewal (including constituency mobilization),0,0,0,0,0,J
Implementation of renewal (including constituency mobilization),0,0,0,0,0,M
0,0,0,0,0,0,2
Policy developped and endorsed by CCM,0,0,0,0,0,N
Implementation (including signature of COI forms),0,0,0,0,0,3
0,0,0,0,0,0,3
Organogram and Terms of Reference,0,0,0,0,0,0
Conduct Structural reform,0,0,0,0,0,0
0,0,0,0,0,0,0
Government Sector,0,0,0,0,0,1
Partners,0,0,0,0,0,1
Civil Society and Private Sector,0,0,0,0,0,1
Communication Plan,0,0,0,0,0,L
Implementation of Communication Plan,0,0,0,0,0,F
Implementation of Communication Plan,0,0,0,0,0,C
