Name,First Game,Venue (Permanent Seating),Most Recent Per Team Payout (+ Revenue Pool),Title Sponsor,Previous Name(s)
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","$4,000,000",Northwestern Mutual, Vizio^
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","$4,000,000",PlayStation, IBM OS/2 Fiesta Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","$4,000,000",PlayStation, Sunkist Fiesta Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","$4,000,000",Northwestern Mutual, Citi^
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","$6,000,000 (as semifinal)",Goodyear, Mobil Cotton Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","$4,000,000",Northwestern Mutual, Rose Bowl Game presented by: AT&T^
Orange Bowl,1935,"Hard Rock Stadium (75,540)","$6,000,000 (as semifinal)",Capital One,Orange Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","$4,000,000",PlayStation, Vizio Fiesta Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","$4,000,000",PlayStation, Tostitos Fiesta Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","$4,000,000",PlayStation,Fiesta Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","$4,000,000",PlayStation, Fiesta Bowl
Sugar Bowl,1935,"Mercedes-Benz Superdome (73,208)","$4,000,000",Allstate, Nokia Sugar Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","$4,000,000",Northwestern Mutual,Tournament East-West football game; Rose Bowl
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","$6,000,000 (as semifinal)",Goodyear, Southwestern Bell Cotton Bowl Classic
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","$6,000,000 (as semifinal)",Goodyear, Cotton Bowl
Orange Bowl,1935,"Hard Rock Stadium (75,540)","$6,000,000 (as semifinal)",Capital One, FedEx Orange Bowl
Sugar Bowl,1935,"Mercedes-Benz Superdome (73,208)","$4,000,000",Allstate,Sugar Bowl
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","$6,000,000 (as semifinal)",Goodyear,Cotton Bowl
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","$6,000,000 (as semifinal)",Goodyear, SBC Cotton Bowl Classic
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","$4,000,000",Northwestern Mutual, Sony PlayStation 2^
Orange Bowl,1935,"Hard Rock Stadium (75,540)","$6,000,000 (as semifinal)",Capital One, Discover Orange Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","$4,000,000",PlayStation, BattleFrog Fiesta Bowl
Peach Bowl,1968,"Mercedes-Benz Stadium (71,000)","$4,000,000",Chick-fil-A,Peach Bowl
Sugar Bowl,1935,"Mercedes-Benz Superdome (73,208)","$4,000,000",Allstate, USF&G Sugar Bowl
Peach Bowl,1968,"Mercedes-Benz Stadium (71,000)","$4,000,000",Chick-fil-A, Chick-fil-A Bowl
Peach Bowl,1968,"Mercedes-Benz Stadium (71,000)","$4,000,000",Chick-fil-A, Chick-fil-A Peach Bowl
