Name,First Game,Venue (Permanent Seating),City,Most Recent Per Team Payout (+ Revenue Pool),Title Sponsor,Previous Name(s)
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","Glendale, Arizona (1971–2005: Tempe, Arizona)","$4,000,000",PlayStation, Fiesta Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","Pasadena, California (1942: Durham, North Carolina*)","$4,000,000",Northwestern Mutual, Rose Bowl Game presented by: AT&T^
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","Arlington, Texas (1937–2008: Dallas, Texas)","$6,000,000 (as semifinal)",Goodyear, SBC Cotton Bowl Classic
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","Arlington, Texas (1937–2008: Dallas, Texas)","$6,000,000 (as semifinal)",Goodyear, Mobil Cotton Bowl
Peach Bowl,1968,"Mercedes-Benz Stadium (71,000)","Atlanta, Georgia","$4,000,000",Chick-fil-A, Chick-fil-A Peach Bowl
Sugar Bowl,1935,"Mercedes-Benz Superdome (73,208)","New Orleans (2005: Atlanta, Georgia†)","$4,000,000",Allstate, USF&G Sugar Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","Glendale, Arizona (1971–2005: Tempe, Arizona)","$4,000,000",PlayStation, BattleFrog Fiesta Bowl
Sugar Bowl,1935,"Mercedes-Benz Superdome (73,208)","New Orleans (2005: Atlanta, Georgia†)","$4,000,000",Allstate, Nokia Sugar Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","Pasadena, California (1942: Durham, North Carolina*)","$4,000,000",Northwestern Mutual,Tournament East-West football game; Rose Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","Glendale, Arizona (1971–2005: Tempe, Arizona)","$4,000,000",PlayStation,Fiesta Bowl
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","Arlington, Texas (1937–2008: Dallas, Texas)","$6,000,000 (as semifinal)",Goodyear, Cotton Bowl
Orange Bowl,1935,"Hard Rock Stadium (75,540)","Miami Gardens, Florida (1934–1995, 1998: Miami, Florida)","$6,000,000 (as semifinal)",Capital One, FedEx Orange Bowl
Peach Bowl,1968,"Mercedes-Benz Stadium (71,000)","Atlanta, Georgia","$4,000,000",Chick-fil-A, Chick-fil-A Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","Pasadena, California (1942: Durham, North Carolina*)","$4,000,000",Northwestern Mutual, Citi^
Orange Bowl,1935,"Hard Rock Stadium (75,540)","Miami Gardens, Florida (1934–1995, 1998: Miami, Florida)","$6,000,000 (as semifinal)",Capital One,Orange Bowl
Orange Bowl,1935,"Hard Rock Stadium (75,540)","Miami Gardens, Florida (1934–1995, 1998: Miami, Florida)","$6,000,000 (as semifinal)",Capital One, Discover Orange Bowl
