Hispanic American,Column1,Dollars,M/F,Contract,prime comment,Prime,Districts
3531 TRUCKING,43.0,660000.0,0.0,1.0,C.A.RASMUSSEN INC,1.0,4.0
A & M CONSULTING ENGINEERS,-4142.0,190800.0,0.0,10.0,"GHILOTTI BROS., INC.        
GOLDEN STATE BRIDGE, INC.
O.C. JONES & SONS INC
Q&D CONSTRUCTION LLC",4.0,"3.0, 4.0"
ABSL CONSTRUCTION,-4142.0,4918680.5,0.0,35.0,"AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC
BAY CITIES PAVING & GRADING, INC.
BALDWIN CONTRACTING COMPANY
BRIDGEWAY CIVIL CONSTRUCTORS, INC
CALPORTLAND COMPANY
COFFMAN SPECIALTIES
DESILVA GATES CONSTRUCTION
FLATIRON WEST INC
GEORGE REED INC
GHILOTTI BROTHERS INC
GHILOTTI CONSTRUCTION COMPANY INC
GORDON N. BALL, INC.
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY 
HAT CREEK CONSTRUCTION & MATERIALS, INC.
LAMON CONSTRUCTION CO INC
M.C.M. CONSTRUCTION INC
O.C. JONES & SONS, INC.
TEICHERT CONSTRUCTION


",17.0,"3.0, 6.0, 5.0, 1.0, 8.0"
ALL STATE TRUCKING,43.0,658690.0,0.0,3.0,SEMA CONSTRUCTION INC,1.0,"7.0, 6.0"
"ANCO IRON & CONSTRUCTION, INC.",-4142.0,1206045.56,0.0,1.0,"GOLDEN STATE BRIDGE, INC.
",1.0,3.0
AUSTIN ENTERPRISE ,-4142.0,3705737.28,1.0,21.0,"BAY CITIES PAVING & GRADING, INC.               
BRIDGEWAY CIVIL CONSTRUCTORS, INC
BROSAMER & WALL INC
CALPORTLAND COMPANY
GHILOTTI BROS., INC.     
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
DISNEY CONSTRUCTION COMPANY
OHL USA
RV CONCRETE, INC
SECURITY PAVING COMPANY
SEMA CONSTRUCTION
A. TEICHERT & SON, INC. DBA TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC
PAPICH CONSTRUCTION COMPANY INC",15.0,"6.0, 5.0, 4.0, 7.0"
AVISION CONSTRUCTION INC,-4142.0,374132.19,0.0,1.0,AVISION CONSTRUCTION INC,1.0,6.0
BARGAS ENVIRONMENTAL CONSULTING,-4142.0,189900.0,1.0,3.0,"C. A. RASMUSSEN, INC.     
ORTIZ ENTERPRISES, INC.   
SULLY-MILLER CONTRACTING COMPANY
",3.0,8.0
BLANCO CONSTRUCTION,-4142.0,5693130.0,0.0,3.0,"AUTOBAHN CONSTRUCTION INC
J. MCLOUGHLIN ENGINEERING CO INC",2.0,8.0
CENTRAL COAST TRAFFIC SAFETY,-4142.0,113189.06,0.0,2.0,"BRIDEWAY CIVIL CONSTRUCTORS INC
R. BURKE CORPORATION",2.0,5.0
CHAVEZ TRUCKING,43.0,1834360.73,1.0,6.0,"BAY CITIES PAVING & GRADING, INC.
DESILVA GATES CONSTRUCTION 
GHILOTTI CONSTRUCTION COMPANY
O.C. JONES & SONS INC",4.0,4.0
CLAY MIRANDA TRUCKING,43.0,403200.0,1.0,1.0,TEICHERT CONSTRUCTION,1.0,6.0
"CONSTRUCTION AREA SIGNS, INC.",33.0,453400.16,1.0,3.0,"FLATIRON WEST INC
O.C. JONES & SONS
ROAD AND HIGHWAY BUILDERS LLC
SEMA CONSTRUCTION INC",4.0,"8.0, 3.0"
CONTERA CONSTRUCTION CORPORATION,-4142.0,3167532.8,0.0,2.0,"OHL USA
ORTIZ ENTERPRISES INC",2.0,5.0
D.B. ELECTRIC INC,-4142.0,407510.0,0.0,3.0,"BAY CITIES PAVING & GRADING, INC.
COFFMAN SPECIALTIES
SEMA CONSTRUCTION",3.0,"8.0, 4.0"
DON MAHAFFEY DRILLING COMPANY,-4142.0,2427504.0,1.0,2.0,"FLATIRON WEST, INC.",1.0,11.0
