Native American,Column1,Dollars,M/F,Prime,Districts
S.T. RHOADES,-4142.0,2167900.0,1,5,2
DISABLED AMERICAN VETERAN,33.0,1888728.8,1,2,10
ADANTA INC,-4142.0,9750.0,0,5,10
RAPER ELCETRICAL ,33.0,221018.91,1,3,5
FINE GRADE EQUIPMENT,-4142.0,13311224.29,0,2,6
AMERICAN STEEL PLACERS,33.0,732108.28,1,1,6
DISABLED AMERICAN VETERAN,33.0,1888728.8,1,2,6
S.T. RHOADES,-4142.0,2167900.0,1,5,1
SPIRIT ROAD OILS,NaN,15981.38,0,2,4
SPIRIT ROAD OILS,NaN,15981.38,0,2,5
RAPER ELCETRICAL ,33.0,221018.91,1,3,3
KRC SAFETY COMPANY,-4142.0,4475589.5,1,10,3
RAPER ELCETRICAL ,33.0,221018.91,1,3,10
ADANTA INC,-4142.0,9750.0,0,5,7
KRC SAFETY COMPANY,-4142.0,4475589.5,1,10,8
KRC SAFETY COMPANY,-4142.0,4475589.5,1,10,7
KRC SAFETY COMPANY,-4142.0,4475589.5,1,10,5
KRC SAFETY COMPANY,-4142.0,4475589.5,1,10,9
KRC SAFETY COMPANY,-4142.0,4475589.5,1,10,6
GR SUNDBERG INC,-4142.0,881575.17,1,3,4
SAMS EQUIPMENT ,43.0,83205.0,1,1,1
ADANTA INC,-4142.0,9750.0,0,5,5
GLOBAL TRANSLOADING,43.0,6120.0,0,1,7
FORCE TRAFFIC CONTROL,-4142.0,385930.0,1,2,10
DISABLED AMERICAN VETERAN,33.0,1888728.8,1,2,5
CREST EQUIPMENT INC,-4142.0,140000.0,0,1,11
