Native American,Column1,Dollars,Contract,Prime,Districts
ADANTA INC,-4142.0,9750.0,6,5,7
KRC SAFETY COMPANY,-4142.0,4475589.5,22,10,4
RAPER ELCETRICAL ,33.0,221018.91,4,3,3
KRC SAFETY COMPANY,-4142.0,4475589.5,22,10,3
DISABLED AMERICAN VETERAN,33.0,1888728.8,3,2,10
SAMS EQUIPMENT ,43.0,83205.0,1,1,1
TRINITY VALLEY CONSULTING ENGINEERS,NaN,25200.0,1,1,2
AMERICAN STEEL PLACERS,33.0,732108.28,1,1,6
FORCE TRAFFIC CONTROL,-4142.0,385930.0,3,2,10
KRC SAFETY COMPANY,-4142.0,4475589.5,22,10,9
GR SUNDBERG INC,-4142.0,881575.17,5,3,4
CREST EQUIPMENT INC,-4142.0,140000.0,1,1,11
KRC SAFETY COMPANY,-4142.0,4475589.5,22,10,6
S.T. RHOADES,-4142.0,2167900.0,6,5,1
DISABLED AMERICAN VETERAN,33.0,1888728.8,3,2,6
FINE GRADE EQUIPMENT,-4142.0,13311224.29,2,2,6
GR SUNDBERG INC,-4142.0,881575.17,5,3,1
