Native American,Column1,Dollars,M/F,Contract,Prime,Districts
DISABLED AMERICAN VETERAN,33.0,1888728.8,1,3,2,5
KRC SAFETY COMPANY,-4142.0,4475589.5,1,22,10,7
AMERICAN STEEL PLACERS,33.0,732108.28,1,1,1,6
ADANTA INC,-4142.0,9750.0,0,6,5,7
SPIRIT ROAD OILS,NaN,15981.38,0,3,2,5
GR SUNDBERG INC,-4142.0,881575.17,1,5,3,4
KRC SAFETY COMPANY,-4142.0,4475589.5,1,22,10,4
FORCE TRAFFIC CONTROL,-4142.0,385930.0,1,3,2,10
SAMS EQUIPMENT ,43.0,83205.0,1,1,1,1
ADANTA INC,-4142.0,9750.0,0,6,5,5
RAPER ELCETRICAL ,33.0,221018.91,1,4,3,3
GLOBAL TRANSLOADING,43.0,6120.0,0,1,1,7
DISABLED AMERICAN VETERAN,33.0,1888728.8,1,3,2,6
RAPER ELCETRICAL ,33.0,221018.91,1,4,3,10
S.T. RHOADES,-4142.0,2167900.0,1,6,5,1
CREST EQUIPMENT INC,-4142.0,140000.0,0,1,1,11
FINE GRADE EQUIPMENT,-4142.0,13311224.29,0,2,2,6
KRC SAFETY COMPANY,-4142.0,4475589.5,1,22,10,8
KRC SAFETY COMPANY,-4142.0,4475589.5,1,22,10,6
KRC SAFETY COMPANY,-4142.0,4475589.5,1,22,10,9
DISABLED AMERICAN VETERAN,33.0,1888728.8,1,3,2,10
TRINITY VALLEY CONSULTING ENGINEERS,NaN,25200.0,1,1,1,2
KRC SAFETY COMPANY,-4142.0,4475589.5,1,22,10,5
